mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0025285443981722462,0.8,2.4537551403045654,8,0.05098095770193983,sage,permutation,kernel_thinning,gaussian,4,32,8.0,0.011905193328857422,8
0.0025376851760616774,1.0,1.244720697402954,16,0.0231367383345657,sage,permutation,kernel_thinning,gaussian,4,32,16.0,0.012529850006103516,16
0.0012288735326664419,1.0,2.217053174972534,32,0.010910787133487532,sage,permutation,kernel_thinning,gaussian,4,32,32.0,0.012122631072998047,32
0.0010746102589417963,1.0,4.142853736877441,64,0.004911515902452368,sage,permutation,kernel_thinning,gaussian,4,32,64.0,0.012232780456542969,63
0.001391100928797794,1.0,8.106963634490967,128,0.002521900856547854,sage,permutation,kernel_thinning,gaussian,4,32,128.0,0.012703895568847656,125
0.20883446746466575,0.4,0.7221763134002686,8,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,8.0,0.04970240592956543,1
0.20427942007171435,0.6,1.505591630935669,16,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,16.0,0.05098080635070801,1
0.20740888624429246,0.6,2.0326433181762695,32,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,32.0,0.050969839096069336,1
0.20573903020028125,0.6,3.981379508972168,64,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,64.0,0.0507049560546875,1
0.20295908356123746,0.8,8.123605251312256,128,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,128.0,0.0493927001953125,1
0.0024351590001836826,0.8,0.7625877857208252,8,0.04946004142586058,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,8.0,0.011577129364013672,8
0.001998293807526904,1.0,1.2007222175598145,16,0.024436179922828927,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,16.0,0.011281967163085938,16
0.001054289596531474,1.0,2.1870696544647217,32,0.010481966465297032,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,32.0,0.011391639709472656,31
0.0010645337991369147,1.0,3.9753832817077637,64,0.004981783594881162,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,64.0,0.011125802993774414,64
0.001204910345945033,0.8,8.097131729125977,128,0.0028243806532954885,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,128.0,0.011390924453735352,127
0.0024417916125200707,0.8,0.6177020072937012,8,0.05098095770193983,sage,permutation,kernel_thinning,matern,4,32,8.0,0.014959096908569336,8
0.001640341910373099,1.0,1.2036819458007812,16,0.02184226442309889,sage,permutation,kernel_thinning,matern,4,32,16.0,0.015181303024291992,16
0.0022017880521423843,1.0,2.1804776191711426,32,0.010218638451640005,sage,permutation,kernel_thinning,matern,4,32,32.0,0.0450747013092041,32
0.0012695275302787568,0.8,4.015322923660278,64,0.004808241666534097,sage,permutation,kernel_thinning,matern,4,32,64.0,0.01529550552368164,64
0.0009630728346724646,0.8,8.025914430618286,128,0.002573374193744926,sage,permutation,kernel_thinning,matern,4,32,128.0,0.015136957168579102,128
0.0021866976100115582,1.0,0.695345401763916,8,0.05098095770193983,sage,permutation,kernel_thinning,gaussian,4,32,8.0,0.012037277221679688,8
0.0016331470494993865,1.0,1.3065166473388672,16,0.0231367383345657,sage,permutation,kernel_thinning,gaussian,4,32,16.0,0.012294530868530273,16
0.0011126579808902715,1.0,2.1252591609954834,32,0.010125602425587577,sage,permutation,kernel_thinning,gaussian,4,32,32.0,0.012210845947265625,32
0.0018425558492204122,1.0,4.967367649078369,64,0.0051548028465445705,sage,permutation,kernel_thinning,gaussian,4,32,64.0,0.012225151062011719,64
0.0011783608061398188,1.0,7.974190950393677,128,0.002637899462644311,sage,permutation,kernel_thinning,gaussian,4,32,128.0,0.026375293731689453,126
0.20456235036811507,0.8,0.8280186653137207,8,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,8.0,0.05017232894897461,1
0.20439247539658834,0.8,1.2647826671600342,16,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,16.0,0.05133247375488281,1
0.20336639142511798,0.8,2.5973458290100098,32,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,32.0,0.049733638763427734,1
0.2034740469213099,0.6,3.9953198432922363,64,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,64.0,0.05068325996398926,1
0.20190705224843433,0.6,8.251620769500732,128,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,128.0,0.04943037033081055,1
0.0022175801691101085,0.8,0.7355690002441406,8,0.04946004142586058,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,8.0,0.011415481567382812,8
0.0024207353295611534,1.0,1.2748079299926758,16,0.024436179922828927,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,16.0,0.010987997055053711,16
0.001706819026679838,0.8,2.145432233810425,32,0.01056462942648384,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,32.0,0.011373758316040039,32
0.001053112804360064,1.0,4.0765602588653564,64,0.005022471633660042,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,64.0,0.01103973388671875,64
0.0009347752389748622,1.0,8.061001300811768,128,0.002627355014880539,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,128.0,0.011377096176147461,127
0.0025686348869640137,0.8,0.6281962394714355,8,0.05098095770193983,sage,permutation,kernel_thinning,matern,4,32,8.0,0.015162944793701172,8
0.0017656504611623092,1.0,1.5778117179870605,16,0.02184226442309889,sage,permutation,kernel_thinning,matern,4,32,16.0,0.015513420104980469,16
0.0013788128971367044,1.0,2.1420915126800537,32,0.010276162595426241,sage,permutation,kernel_thinning,matern,4,32,32.0,0.01459360122680664,32
0.0014903189026887608,1.0,4.539207458496094,64,0.004654675034633626,sage,permutation,kernel_thinning,matern,4,32,64.0,0.01467585563659668,64
0.0013699035707974406,1.0,7.962412357330322,128,0.002565908530341554,sage,permutation,kernel_thinning,matern,4,32,128.0,0.014984607696533203,128
0.0028455911506764632,1.0,0.691058874130249,8,0.05098095770193983,sage,permutation,kernel_thinning,gaussian,4,32,8.0,0.012219429016113281,8
0.002117673749618533,1.0,1.0345284938812256,16,0.0231367383345657,sage,permutation,kernel_thinning,gaussian,4,32,16.0,0.012231111526489258,16
0.0014627005219707652,1.0,2.1860620975494385,32,0.01069716737846349,sage,permutation,kernel_thinning,gaussian,4,32,32.0,0.01227426528930664,32
0.0014307672245074923,0.8,4.043864488601685,64,0.004955623873702797,sage,permutation,kernel_thinning,gaussian,4,32,64.0,0.012259244918823242,64
0.0010639475478255776,1.0,7.9765965938568115,128,0.002551087098629279,sage,permutation,kernel_thinning,gaussian,4,32,128.0,0.012299776077270508,128
0.19992568746218556,0.6,0.8010320663452148,8,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,8.0,0.05043482780456543,1
0.2120479620588331,0.8,1.1913394927978516,16,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,16.0,0.050515174865722656,1
0.20430413304417208,0.8,2.13165020942688,32,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,32.0,0.050249338150024414,1
0.20069878652974688,0.8,5.791047096252441,64,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,64.0,0.049794673919677734,1
0.2056589141695732,0.8,8.014450311660767,128,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,128.0,0.049506425857543945,1
0.0019592729489703296,1.0,0.690871000289917,8,0.04946004142586058,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,8.0,0.011404037475585938,8
0.0025537018169145592,0.8,1.1930501461029053,16,0.024436179922828927,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,16.0,0.01135563850402832,16
0.001412833740570344,0.8,2.1503496170043945,32,0.010077878245347338,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,32.0,0.011298656463623047,32
0.0012858008353824899,1.0,4.170750141143799,64,0.004970583217110247,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,64.0,0.011292457580566406,64
0.0008996811727102746,0.8,8.018750429153442,128,0.0027820376827404347,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,128.0,0.011444091796875,125
0.0029251292159959493,1.0,0.6530594825744629,8,0.05098095770193983,sage,permutation,kernel_thinning,matern,4,32,8.0,0.015003681182861328,8
0.0017430461287926368,1.0,1.319493055343628,16,0.02184226442309889,sage,permutation,kernel_thinning,matern,4,32,16.0,0.014876365661621094,16
0.0014613794089549442,1.0,2.055159091949463,32,0.010196942898623829,sage,permutation,kernel_thinning,matern,4,32,32.0,0.015111684799194336,32
0.0007792751282347005,1.0,4.032794952392578,64,0.004875903204693999,sage,permutation,kernel_thinning,matern,4,32,64.0,0.01477670669555664,64
0.001083227899305351,1.0,7.918951988220215,128,0.002503016641838829,sage,permutation,kernel_thinning,matern,4,32,128.0,0.015211820602416992,128
0.0025712703399323055,1.0,0.632443904876709,8,0.05098095770193983,sage,permutation,kernel_thinning,gaussian,4,32,8.0,0.013192415237426758,8
0.002007366395305366,1.0,1.4417636394500732,16,0.0231367383345657,sage,permutation,kernel_thinning,gaussian,4,32,16.0,0.011872529983520508,16
0.0018353966895049514,1.0,2.1280999183654785,32,0.010921335019667855,sage,permutation,kernel_thinning,gaussian,4,32,32.0,0.012465715408325195,32
0.0011737681323553961,1.0,3.937300682067871,64,0.004854743359059499,sage,permutation,kernel_thinning,gaussian,4,32,64.0,0.012198209762573242,64
0.0008914706064854585,1.0,7.8260297775268555,128,0.0025395719141893536,sage,permutation,kernel_thinning,gaussian,4,32,128.0,0.012077569961547852,126
0.20193777364270712,0.6,0.593083381652832,8,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,8.0,0.049504756927490234,1
0.20695521278208848,0.6,1.2254974842071533,16,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,16.0,0.04938077926635742,1
0.1985420816077771,0.6,2.162466287612915,32,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,32.0,0.049582481384277344,1
0.20681170281890326,0.6,3.9672999382019043,64,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,64.0,0.07063531875610352,1
0.23334587259758655,0.6,8.185718297958374,128,0.8657326793630586,sage,permutation,kernel_thinning,sobolev,4,32,128.0,0.04978752136230469,1
0.002524642130780408,1.0,0.690528392791748,8,0.04946004142586058,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,8.0,0.011496305465698242,8
0.0025988757942436106,0.8,1.1030323505401611,16,0.024436179922828927,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,16.0,0.010916948318481445,16
0.0017914160206460182,1.0,2.194641590118408,32,0.010839479153777976,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,32.0,0.011181116104125977,32
0.001383334443555249,1.0,4.310142278671265,64,0.005454128882281195,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,64.0,0.011035442352294922,63
0.001051963251627929,1.0,8.01767110824585,128,0.002675256164646589,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,128.0,0.011414527893066406,128
0.0019905206528122157,0.8,0.6465346813201904,8,0.05098095770193983,sage,permutation,kernel_thinning,matern,4,32,8.0,0.014582157135009766,8
0.0017128908235445593,1.0,1.1900477409362793,16,0.02184226442309889,sage,permutation,kernel_thinning,matern,4,32,16.0,0.015718460083007812,16
0.001811045107602547,0.8,2.034912347793579,32,0.0106567839306283,sage,permutation,kernel_thinning,matern,4,32,32.0,0.014973878860473633,32
0.0009996321691667835,1.0,4.0492119789123535,64,0.00473848656701803,sage,permutation,kernel_thinning,matern,4,32,64.0,0.015171051025390625,64
0.0011202634531717757,1.0,8.684893369674683,128,0.0027035504898605955,sage,permutation,kernel_thinning,matern,4,32,128.0,0.01516103744506836,128
0.002709641218153846,1.0,0.7610368728637695,8,0.05098095770193983,sage,permutation,kernel_thinning,gaussian,4,32,8.0,0.012531518936157227,8
0.002170358517368851,1.0,1.416471242904663,16,0.0231367383345657,sage,permutation,kernel_thinning,gaussian,4,32,16.0,0.011858701705932617,16
0.001618659857699184,1.0,2.1929545402526855,32,0.010063603533025323,sage,permutation,kernel_thinning,gaussian,4,32,32.0,0.011984109878540039,32
0.0012065948158544843,1.0,5.475386381149292,64,0.0052856265536555536,sage,permutation,kernel_thinning,gaussian,4,32,64.0,0.011996269226074219,64
0.0008658074341192363,0.8,8.01073145866394,128,0.0026891111628425945,sage,permutation,kernel_thinning,gaussian,4,32,128.0,0.012064933776855469,123
0.20243142554137689,0.6,0.635383129119873,8,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,8.0,0.05050945281982422,1
0.20755905647889325,0.8,1.1579110622406006,16,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,16.0,0.04966568946838379,1
0.20459387572164708,0.6,2.098362684249878,32,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,32.0,0.05021548271179199,1
0.20702883172489492,0.6,4.414140939712524,64,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,64.0,0.04957437515258789,1
0.20355830377735576,0.6,7.980428695678711,128,1.1717166568364807,sage,permutation,kernel_thinning,sobolev,4,32,128.0,0.05053353309631348,1
0.0022058859759195343,0.8,0.8337671756744385,8,0.04946004142586058,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,8.0,0.011212825775146484,8
0.001923533781374903,1.0,1.5593881607055664,16,0.024436179922828927,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,16.0,0.010926485061645508,16
0.001672240890192939,1.0,2.133397102355957,32,0.010264857770902247,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,32.0,0.011059761047363281,32
0.0010354642133472481,1.0,4.008790016174316,64,0.004929054219820317,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,64.0,0.011325597763061523,64
0.0010280380747722292,1.0,8.323165893554688,128,0.002542408206757829,sage,permutation,kernel_thinning,inverse_multiquadric,4,32,128.0,0.011100530624389648,128
0.002479489374425956,0.8,0.8256425857543945,8,0.05098095770193983,sage,permutation,kernel_thinning,matern,4,32,8.0,0.014819145202636719,8
0.001624049300411609,1.0,1.2243444919586182,16,0.02184226442309889,sage,permutation,kernel_thinning,matern,4,32,16.0,0.014642000198364258,16
0.0012614134994951727,0.8,2.062039852142334,32,0.010611143561150449,sage,permutation,kernel_thinning,matern,4,32,32.0,0.014749526977539062,32
0.0010910160084955036,1.0,5.4096457958221436,64,0.005029363486546423,sage,permutation,kernel_thinning,matern,4,32,64.0,0.014680624008178711,64
0.0011002401052597937,1.0,8.937177181243896,128,0.0026171851287074,sage,permutation,kernel_thinning,matern,4,32,128.0,0.01472783088684082,128
0.002248824481738354,1.0,0.8031771183013916,8,0.05098095770193983,sage,permutation,kernel_thinning,gaussian,4,32,8.0,0.011917352676391602,8
0.0023896725475412487,1.0,1.2569355964660645,16,0.0231367383345657,sage,permutation,kernel_thinning,gaussian,4,32,16.0,0.012257814407348633,16
0.001546659369473023,0.8,2.636294364929199,32,0.01000197759956567,sage,permutation,kernel_thinning,gaussian,4,32,32.0,0.012088298797607422,32
