mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.008270292442375734,0.8099240053643271,151.0239725112915,8,0.09530674506179015,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,35.51829695701599,1
0.005918364058994365,0.8681269557443003,201.71324801445007,16,0.0425821433194124,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,35.23606204986572,1
0.0044294052431803135,0.879570853822083,308.0787732601166,32,0.02533632137968561,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,35.618937730789185,1
0.005217572196943223,0.8922664282521234,602.624044418335,64,0.013076977182188032,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,36.020484924316406,1
0.0034220643186805995,0.9054984354045597,1119.9066140651703,128,0.006314550720757428,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,35.81626224517822,1
0.009159605025214516,0.8067054090299508,149.62866067886353,8,0.09435853046495579,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,35.411733627319336,1
0.008556908803025296,0.7566383549396513,197.3832631111145,16,0.0640631209508914,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,35.32124423980713,1
0.005534136872433543,0.8436298614215466,321.7253472805023,32,0.023980653351794168,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,35.620712757110596,1
0.007983868063111202,0.8980777827447475,615.1529002189636,64,0.021072763607976275,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,35.34030842781067,1
0.0033439585895276487,0.9225748770675012,1122.753423690796,128,0.0068962330957802465,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,35.55990552902222,1
0.011511034943906717,0.751989271345552,144.3059332370758,8,0.09416112554660827,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,35.80677127838135,1
0.008306864850890255,0.8330800178810907,196.65106391906738,16,0.05713121404373617,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,35.74090051651001,1
0.005229236313493183,0.8554313813142601,314.1497220993042,32,0.029680901637002488,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,35.635262966156006,1
0.0041886359296961165,0.8979883772910148,617.463125705719,64,0.012943320432760641,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,52.72963070869446,1
0.0034878671286709354,0.8846669646848457,1129.8457872867584,128,0.006504613298825235,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,52.7960250377655,1
0.009634712767779595,0.798033080017881,145.56814169883728,8,0.12685278112482834,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,35.58278512954712,1
0.01042002604914143,0.754760840411265,195.70179414749146,16,0.0547130851347683,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,52.2183256149292,1
0.004574111232468189,0.8799284756370138,315.0246572494507,32,0.021864549282504697,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,52.070597648620605,1
0.0036439744338365174,0.889316048278945,622.6718118190765,64,0.012838575444495182,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,35.64463210105896,1
0.003120815190675326,0.9038891372373714,1138.501183271408,128,0.008895178846910934,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,35.64235758781433,1
0.008945761068401604,0.8142154671434957,145.966144323349,8,0.08094837918782477,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,35.54969239234924,1
0.005477690263446026,0.8710773357174787,196.48612880706787,16,0.056888019440868076,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,35.30789017677307,1
0.0043090166167980655,0.9049620026821635,323.46667098999023,32,0.023248981313826633,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,52.29966187477112,1
0.004684573962222307,0.8910147518998658,626.0855143070221,64,0.013845961781831673,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,34.54854702949524,1
0.00265641823531885,0.922306660706303,1167.132299900055,128,0.006507820216368032,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,35.45101976394653,1
0.007473298512280013,0.8026821636119803,150.38353419303894,8,0.09103952748322408,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,69.62137818336487,1
0.007059463399565738,0.8207420652659813,200.5261754989624,16,0.0599304683032546,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,35.491323947906494,1
0.004283686169670946,0.8906571300849351,322.11448669433594,32,0.02347334816939145,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,35.85539674758911,1
0.003999785662334069,0.8725078229772015,631.2403235435486,64,0.01524292951448536,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,36.058303117752075,1
0.003108341005027539,0.9023692445239159,1167.4277987480164,128,0.007835824393052193,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,35.15236806869507,1
0.009607127643842278,0.8045596781403664,145.6136908531189,8,0.09400772302966165,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,35.38940787315369,1
0.006647299657717419,0.8500670540902994,193.43348670005798,16,0.040790012609639825,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,52.357571601867676,1
0.0047923459860573295,0.896736700938757,312.1405351161957,32,0.02657733798441969,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,36.039090633392334,1
0.005533806193161642,0.8847563701385783,619.0854005813599,64,0.01593010092638547,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,35.2784378528595,1
0.002918949269815248,0.917657577112204,1140.5500993728638,128,0.007291068404189194,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,35.457847595214844,1
0.009637685418367466,0.7750558784085828,147.46480536460876,8,0.11416008241033931,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,35.445494651794434,1
0.008912094976266582,0.8548055431381314,204.65986919403076,16,0.046837584932873766,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,35.281410217285156,1
0.005181541559594789,0.8236030397854268,331.1137659549713,32,0.022799195468516276,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,52.30668520927429,1
0.004092495742468972,0.8725078229772015,628.170708656311,64,0.01684173491253682,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,52.123366832733154,1
0.0031807877074307013,0.906750111756817,1131.1917157173157,128,0.007497013373668759,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,35.46334218978882,1
0.010587453442354301,0.7758605274921769,147.61127734184265,8,0.09250408360426948,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,35.836512088775635,1
0.013422925109074894,0.7863209655789003,205.65624237060547,16,0.06449174934080415,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,35.40980291366577,1
0.004163726610762778,0.8882431828341528,328.94418954849243,32,0.024700689236244966,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,69.01620769500732,1
0.007312321631179202,0.838533750558784,613.8362560272217,64,0.017747003222064683,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,35.43955135345459,1
0.003939659402378806,0.9160482789450156,1156.927900314331,128,0.010834516267817451,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,35.772547483444214,1
0.009300734257179172,0.7468037550290567,154.16171193122864,8,0.10340525347244767,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,35.30707049369812,1
0.009538146752535974,0.81135449262405,196.54494643211365,16,0.050536871943457407,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,35.579745292663574,1
0.005708844993523649,0.8376396960214572,313.24214696884155,32,0.028543645643898108,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,52.363186836242676,1
0.005034276329705824,0.8525704067948144,614.4279713630676,64,0.021040257939188678,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,35.60149073600769,1
0.003006402811788174,0.9014751899865892,1147.1209795475006,128,0.005299638377696647,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,52.41458773612976,1
