mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0017500695061999087,0.8,4.48735237121582,8,0.09694565105725339,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,175.28682017326355,8
0.0025885826121195415,1.0,0.841442346572876,16,0.03893810371245238,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,179.04223656654358,16
0.0013600370143249196,1.0,1.366865634918213,32,0.019197940503184796,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,172.6057312488556,32
0.0016054189434077555,1.0,2.5107929706573486,64,0.013689738640763671,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,198.96302032470703,64
0.0009133457104616648,1.0,5.009076118469238,128,0.005021306008606452,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,196.5396032333374,128
0.0021853101690526124,0.8,0.37267422676086426,8,0.07890403653376477,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,176.15019369125366,8
0.001800747631695962,1.0,0.701000452041626,16,0.04607662535583895,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,181.66765356063843,16
0.0022104303352428523,0.8,1.291616439819336,32,0.029715290095311764,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,169.468510389328,32
0.0009551077293156531,1.0,2.3729467391967773,64,0.010906243676424066,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,175.39503073692322,64
0.001080562246741962,1.0,4.864184141159058,128,0.0067875914674952464,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,185.79631233215332,128
0.005098489140324613,1.0,0.2925877571105957,8,0.0892358481329033,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,189.94625043869019,8
0.002201512562863022,1.0,0.5664317607879639,16,0.03851809130383821,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,179.94908142089844,16
0.002209687975237804,1.0,1.292220115661621,32,0.022390096216928224,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,206.1198446750641,32
0.001582364811414458,1.0,2.469575881958008,64,0.01195338367972515,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,175.96224117279053,64
0.0011731564383559965,1.0,5.2220299243927,128,0.006720564965430165,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,179.275404214859,128
0.004780631231571042,0.8,0.25830888748168945,8,0.10298070696619493,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,178.51960134506226,8
0.0022396622429443846,1.0,0.8473963737487793,16,0.05243087743845798,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,172.96341800689697,16
0.0020050517253428174,1.0,1.34879469871521,32,0.024273870363683614,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,176.66980648040771,32
0.0015238027417478072,1.0,3.954038619995117,64,0.012786796359387398,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,187.72870326042175,64
0.0014183359685936028,1.0,4.99950909614563,128,0.005649630502924163,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,185.00828456878662,128
0.013454844719184919,0.8,0.3583664894104004,8,0.10627454893045551,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,178.43480372428894,8
0.0018424473063490565,1.0,0.6826140880584717,16,0.035129871934997725,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,177.35355854034424,16
0.0012252341205338051,1.0,1.3044543266296387,32,0.022432075624535697,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,173.92337489128113,32
0.0016936573251066882,1.0,2.3555567264556885,64,0.010593217565140589,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,181.84988069534302,64
0.001225357001361829,1.0,5.079449415206909,128,0.005027838436354071,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,194.9856562614441,128
0.002636210339595033,1.0,0.3094031810760498,8,0.08311468431022745,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,193.71481275558472,8
0.0020474293534780675,0.8,0.740814208984375,16,0.04508741244800846,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,202.16022634506226,16
0.002920318243096939,0.8,1.485987901687622,32,0.03094170983667266,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,199.18344736099243,32
0.0011893728507855407,1.0,2.5621259212493896,64,0.012000403781962043,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,186.6275110244751,64
0.0010213634159738215,1.0,5.0511744022369385,128,0.0065884667944810515,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,177.03670811653137,128
0.012261584801414798,1.0,0.33225083351135254,8,0.08484040451431352,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,186.7511727809906,8
0.002151739896860578,1.0,0.7800817489624023,16,0.04783845321696595,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,193.98808121681213,16
0.0024200054958441056,0.8,1.3912572860717773,32,0.030041463077586872,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,179.03255081176758,32
0.0012516212603009768,1.0,2.4171555042266846,64,0.01109200695965401,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,190.18025636672974,64
0.0012450690738537464,1.0,4.693102836608887,128,0.005780386784546676,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,182.45583939552307,128
0.00482482644808985,1.0,0.3039727210998535,8,0.08486996224641241,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,176.57132530212402,8
0.0028521689749567624,1.0,0.7086479663848877,16,0.0467010432311859,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,178.45482754707336,16
0.0015592042184592867,1.0,1.3651843070983887,32,0.02726765798518821,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,178.60237765312195,32
0.0012704192281412577,1.0,2.47698712348938,64,0.01291140860372042,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,173.65964770317078,64
0.001270845328391041,0.8,5.192383766174316,128,0.006001280666429631,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,175.08250331878662,128
0.003613729578150007,1.0,0.3171806335449219,8,0.08029824480251668,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,185.270521402359,8
0.004403748807109974,1.0,0.6487433910369873,16,0.04834397184518213,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,173.50794959068298,16
0.00121994114870268,1.0,1.391244649887085,32,0.026889672272978393,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,178.757985830307,32
