mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.028403386388531706,0.8702392344497608,29.893640995025635,8,0.004151671893239284,shapiq,kernel,kernel_thinning,gaussian,4,32,8.0,0.009841203689575195,8
0.02253313734662459,0.9016267942583732,57.30917716026306,16,0.002901361023772364,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.010715723037719727,16
0.013882959489298253,0.931866028708134,108.72308373451233,32,0.0009384395160562109,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.01007080078125,32
0.011332437088710047,0.9492822966507177,217.09568047523499,64,0.0007549656438432528,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.010226249694824219,62
0.006806148394522262,0.9697607655502393,426.08313632011414,128,0.00046097885458151744,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.010262727737426758,119
0.1998452507014795,0.5358851674641149,30.904826164245605,8,1.3025940170033128,shapiq,kernel,kernel_thinning,sobolev,4,32,8.0,0.016935110092163086,1
0.1998452507014795,0.5358851674641149,57.80999708175659,16,1.3025940170033128,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.017240524291992188,1
0.1998452507014795,0.5358851674641149,112.88245820999146,32,1.3025940170033126,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.016870975494384766,1
0.1998452507014795,0.5358851674641149,218.11205673217773,64,1.3025940170033126,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.01685357093811035,1
0.1998452507014795,0.5358851674641149,423.587171792984,128,1.3025940170033126,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.01690959930419922,1
0.027833958542295426,0.8641148325358852,30.248486518859863,8,0.004947082028110339,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,8.0,0.008899927139282227,8
0.02485888807202888,0.8830622009569379,57.22055149078369,16,0.0022660158943055286,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.00905156135559082,16
0.015850167264222663,0.9196172248803828,109.72220468521118,32,0.0011140896553452073,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.009128093719482422,32
0.010024393482616554,0.9452631578947369,216.39638805389404,64,0.0008468593205949171,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.009173154830932617,62
0.006111708920100066,0.9756937799043063,422.70921564102173,128,0.00048188470104404413,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.009314298629760742,121
0.031084413020625153,0.8476555023923444,30.223427057266235,8,0.008423388578937874,shapiq,kernel,kernel_thinning,matern,4,32,8.0,0.01315617561340332,8
0.02194083118442657,0.9171291866028708,57.32815456390381,16,0.0022904914199671778,shapiq,kernel,kernel_thinning,matern,4,32,16.0,0.013020992279052734,16
0.014413497382795622,0.9288038277511963,110.58525276184082,32,0.0013371603437272173,shapiq,kernel,kernel_thinning,matern,4,32,32.0,0.013006925582885742,32
0.008428232234809995,0.9510047846889952,218.3113751411438,64,0.0007875163455612899,shapiq,kernel,kernel_thinning,matern,4,32,64.0,0.013232707977294922,64
0.006836541201949689,0.9670813397129187,421.3592348098755,128,0.0006258477813917418,shapiq,kernel,kernel_thinning,matern,4,32,128.0,0.013323068618774414,128
0.027930443908347962,0.8602870813397129,30.377658367156982,8,0.004511259343144891,shapiq,kernel,kernel_thinning,gaussian,4,32,8.0,0.010144710540771484,8
0.02253313734662459,0.9016267942583732,57.33710837364197,16,0.002901361023772364,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.010024070739746094,16
0.015144682130510777,0.9265071770334928,108.91159534454346,32,0.0010923335182341232,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.010180473327636719,32
0.009052089734349488,0.9555980861244019,217.75641894340515,64,0.000620213170949957,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.010158061981201172,62
0.007105922299685983,0.9630622009569378,420.2134931087494,128,0.0005365620212175459,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.010532855987548828,119
