mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.013029678286695524,0.8710047846889952,16.715165615081787,8,0.019103834657578478,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,5.868302583694458,1
0.01443608422143817,0.9023923444976076,29.00739049911499,16,0.017389135179760373,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,6.118508815765381,1
0.02304604337240467,0.8822966507177034,54.70624494552612,32,0.06525168726916264,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,6.113306999206543,1
0.00559841941022244,0.9370334928229664,106.41242623329163,64,0.0060566224228785215,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,6.020138263702393,1
0.005939590346865349,0.9456459330143541,209.2490475177765,128,0.004907651444400862,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,5.891411781311035,1
0.020574462268983087,0.8354066985645933,16.554877519607544,8,0.0795524219462862,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,5.911859035491943,1
0.02012064792416453,0.882488038277512,28.95685863494873,16,0.038925920049595275,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,5.896944046020508,1
0.010539337501103809,0.8836363636363638,55.30616855621338,32,0.01153025495974458,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,6.324002981185913,1
0.013560115163394101,0.91311004784689,105.76205492019653,64,0.01596667632936455,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,6.066800117492676,1
0.006678934867429038,0.9519617224880382,208.91859126091003,128,0.0034703650882652592,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,6.00887656211853,1
0.03917325291903445,0.8480382775119618,16.061025142669678,8,0.12201203598101318,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,6.115031480789185,1
0.023155089712619332,0.8750239234449761,29.14616560935974,16,0.038864156241969594,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,6.059822082519531,1
0.013348275296336243,0.9190430622009569,55.09271955490112,32,0.01611471505897555,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,5.920727014541626,1
0.01416375297614524,0.9222966507177034,106.02218389511108,64,0.014153943712122197,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,6.193016529083252,1
0.005875917903198412,0.9291866028708134,208.53923082351685,128,0.005670826927152928,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,5.848209381103516,1
0.023030245609556545,0.8847846889952153,15.999657392501831,8,0.031093311600723927,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,5.9425575733184814,1
0.01832892306318173,0.846507177033493,28.937619924545288,16,0.03259266937928573,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,6.0909950733184814,1
0.009964614796746912,0.8928229665071771,54.78629159927368,32,0.009893024303322728,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,5.837488889694214,1
0.008939213358634752,0.9201913875598087,106.37062764167786,64,0.007593717942848688,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,5.875586986541748,1
