mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.07111828607983665,0.8685167464114832,16.76169514656067,8,0.03577771145344,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0029916763305664062,8
0.04663804065401235,0.8983732057416267,26.111828804016113,16,0.011553141209581508,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.0048980712890625,16
0.04761824544681476,0.9096650717703351,44.51022815704346,32,0.011581354449534453,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.008896112442016602,32
0.01490102577808022,0.9544497607655503,81.4857542514801,64,0.002220363031667616,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.018593549728393555,63
0.013262413373189178,0.9571291866028708,152.80642461776733,128,0.00264560410476411,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.03470659255981445,122
0.07111828607983665,0.8685167464114832,16.959247827529907,8,0.03577771145344,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0028345584869384766,8
0.04663804065401235,0.8983732057416267,25.85250687599182,16,0.011553141209581508,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.0047833919525146484,16
0.04761824544681476,0.9096650717703351,44.6053307056427,32,0.011581354449534453,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.009230375289916992,32
0.01490102577808022,0.9544497607655503,81.48499512672424,64,0.002220363031667616,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.017989635467529297,63
0.013262413373189178,0.9571291866028708,152.94946122169495,128,0.00264560410476411,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.035543203353881836,122
0.07111828607983665,0.8685167464114832,16.76755142211914,8,0.03577771145344,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0026123523712158203,8
0.04663804065401235,0.8983732057416267,26.0501811504364,16,0.011553141209581508,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004706144332885742,16
0.04761824544681476,0.9096650717703351,44.32460284233093,32,0.011581354449534453,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.00894308090209961,32
0.01490102577808022,0.9544497607655503,81.80207014083862,64,0.002220363031667616,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.018044471740722656,63
0.013262413373189178,0.9571291866028708,154.19427180290222,128,0.00264560410476411,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.03458213806152344,122
0.07111828607983665,0.8685167464114832,16.2347252368927,8,0.03577771145344,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0026612281799316406,8
0.04663804065401235,0.8983732057416267,26.35238790512085,16,0.011553141209581508,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.0047147274017333984,16
0.04761824544681476,0.9096650717703351,44.25545263290405,32,0.011581354449534453,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.02171158790588379,32
0.01490102577808022,0.9544497607655503,79.76255989074707,64,0.002220363031667616,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.018070220947265625,63
0.013262413373189178,0.9571291866028708,156.81869983673096,128,0.00264560410476411,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.035520076751708984,122
0.07111828607983665,0.8685167464114832,17.130945682525635,8,0.03577771145344,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0026619434356689453,8
0.04663804065401235,0.8983732057416267,26.381616592407227,16,0.011553141209581508,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.00478053092956543,16
0.04761824544681476,0.9096650717703351,46.137953758239746,32,0.011581354449534453,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.008880853652954102,32
0.01490102577808022,0.9544497607655503,82.4828634262085,64,0.002220363031667616,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.017436742782592773,63
0.013262413373189178,0.9571291866028708,152.9796838760376,128,0.00264560410476411,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.035433053970336914,122
0.07111828607983665,0.8685167464114832,16.3341383934021,8,0.03577771145344,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002627849578857422,8
0.04663804065401235,0.8983732057416267,26.237531185150146,16,0.011553141209581508,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004847526550292969,16
0.04761824544681476,0.9096650717703351,43.72691869735718,32,0.011581354449534453,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.009629964828491211,32
0.01490102577808022,0.9544497607655503,80.21448922157288,64,0.002220363031667616,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.01759505271911621,63
0.013262413373189178,0.9571291866028708,155.86478471755981,128,0.00264560410476411,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.03538632392883301,122
0.07111828607983665,0.8685167464114832,16.976080417633057,8,0.03577771145344,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002682924270629883,8
0.04663804065401235,0.8983732057416267,26.11214518547058,16,0.011553141209581508,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004692554473876953,16
0.04761824544681476,0.9096650717703351,43.98453664779663,32,0.011581354449534453,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.008913993835449219,32
0.01490102577808022,0.9544497607655503,82.94253611564636,64,0.002220363031667616,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.017820358276367188,63
0.013262413373189178,0.9571291866028708,154.03655219078064,128,0.00264560410476411,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.03460550308227539,122
0.07111828607983665,0.8685167464114832,16.830254077911377,8,0.03577771145344,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0026192665100097656,8
0.04663804065401235,0.8983732057416267,26.082205295562744,16,0.011553141209581508,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004784345626831055,16
0.04761824544681476,0.9096650717703351,44.165902853012085,32,0.011581354449534453,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.008920669555664062,32
0.01490102577808022,0.9544497607655503,80.56756567955017,64,0.002220363031667616,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.017748594284057617,63
0.013262413373189178,0.9571291866028708,152.95352506637573,128,0.00264560410476411,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.03494763374328613,122
0.07111828607983665,0.8685167464114832,16.550174951553345,8,0.03577771145344,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002746105194091797,8
0.04663804065401235,0.8983732057416267,26.592775106430054,16,0.011553141209581508,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004809856414794922,16
0.04761824544681476,0.9096650717703351,43.84142804145813,32,0.011581354449534453,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.008905172348022461,32
0.01490102577808022,0.9544497607655503,81.51484775543213,64,0.002220363031667616,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.018126964569091797,63
0.013262413373189178,0.9571291866028708,153.848051071167,128,0.00264560410476411,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.0349888801574707,122
0.07111828607983665,0.8685167464114832,16.20271372795105,8,0.03577771145344,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002702951431274414,8
0.04663804065401235,0.8983732057416267,26.16514253616333,16,0.011553141209581508,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.00484466552734375,16
0.04761824544681476,0.9096650717703351,44.74736547470093,32,0.011581354449534453,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.009186267852783203,32
0.01490102577808022,0.9544497607655503,82.43524265289307,64,0.002220363031667616,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.01768660545349121,63
0.013262413373189178,0.9571291866028708,161.6192865371704,128,0.00264560410476411,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.10656881332397461,122
