mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.019327948921338718,0.8692822966507178,16.312422275543213,8,0.03577771145344,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002706289291381836,8
0.011449158642335599,0.9349282296650717,28.637603521347046,16,0.011553141209581508,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004528999328613281,16
0.011806552175695607,0.922488038277512,54.699073791503906,32,0.011581354449534453,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.00833272933959961,32
0.0035657779603537726,0.9567464114832536,106.91158890724182,64,0.002220363031667616,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.01613593101501465,63
0.0048660873427330935,0.9517703349282298,214.7101411819458,128,0.00264560410476411,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.031827449798583984,122
0.019327948921338718,0.8692822966507178,16.829131364822388,8,0.03577771145344,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0025758743286132812,8
0.011449158642335599,0.9349282296650717,30.73480224609375,16,0.011553141209581508,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004529476165771484,16
0.011806552175695607,0.922488038277512,58.62774419784546,32,0.011581354449534453,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.008592844009399414,32
0.0035657779603537726,0.9567464114832536,114.23775243759155,64,0.002220363031667616,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.017530202865600586,63
0.0048660873427330935,0.9517703349282298,223.70422339439392,128,0.00264560410476411,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.03226637840270996,122
0.019327948921338718,0.8692822966507178,17.56600069999695,8,0.03577771145344,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0025963783264160156,8
0.011449158642335599,0.9349282296650717,30.79009771347046,16,0.011553141209581508,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004700660705566406,16
0.011806552175695607,0.922488038277512,58.3063805103302,32,0.011581354449534453,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.008815288543701172,32
0.0035657779603537726,0.9567464114832536,113.6676754951477,64,0.002220363031667616,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.017215728759765625,63
0.0048660873427330935,0.9517703349282298,223.5677945613861,128,0.00264560410476411,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.032054901123046875,122
0.019327948921338718,0.8692822966507178,16.992809057235718,8,0.03577771145344,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002622365951538086,8
0.011449158642335599,0.9349282296650717,30.735432386398315,16,0.011553141209581508,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.00468134880065918,16
0.011806552175695607,0.922488038277512,58.43119263648987,32,0.011581354449534453,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.008637189865112305,32
0.0035657779603537726,0.9567464114832536,114.2146623134613,64,0.002220363031667616,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.01718425750732422,63
0.0048660873427330935,0.9517703349282298,225.0093035697937,128,0.00264560410476411,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.033761024475097656,122
0.019327948921338718,0.8692822966507178,16.960889101028442,8,0.03577771145344,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002564668655395508,8
0.011449158642335599,0.9349282296650717,30.65245747566223,16,0.011553141209581508,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.00471949577331543,16
0.011806552175695607,0.922488038277512,58.53061008453369,32,0.011581354449534453,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.008674144744873047,32
0.0035657779603537726,0.9567464114832536,111.93889474868774,64,0.002220363031667616,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.017101049423217773,63
0.0048660873427330935,0.9517703349282298,225.10533547401428,128,0.00264560410476411,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.03385615348815918,122
0.019327948921338718,0.8692822966507178,16.970617055892944,8,0.03577771145344,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002563953399658203,8
0.011449158642335599,0.9349282296650717,30.609500646591187,16,0.011553141209581508,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004884243011474609,16
0.011806552175695607,0.922488038277512,58.38897132873535,32,0.011581354449534453,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.008676290512084961,32
0.0035657779603537726,0.9567464114832536,114.3367919921875,64,0.002220363031667616,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.01688838005065918,63
0.0048660873427330935,0.9517703349282298,225.52462315559387,128,0.00264560410476411,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.03476095199584961,122
0.019327948921338718,0.8692822966507178,17.0958731174469,8,0.03577771145344,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.006699085235595703,8
0.011449158642335599,0.9349282296650717,30.9771831035614,16,0.011553141209581508,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.004944562911987305,16
0.011806552175695607,0.922488038277512,58.47111368179321,32,0.011581354449534453,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.00901031494140625,32
0.0035657779603537726,0.9567464114832536,114.25189709663391,64,0.002220363031667616,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.017322063446044922,63
0.0048660873427330935,0.9517703349282298,225.05342864990234,128,0.00264560410476411,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.03399038314819336,122
