mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0020048476558598488,1.0,5.234131097793579,16,0.04031353380851194,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,190.40859127044678,1
0.0017672484460031022,1.0,3.583277940750122,32,0.028727260383072994,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,142.4249610900879,1
0.0006438389087301303,1.0,4.368111610412598,64,0.0085417461865116,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,141.80485582351685,1
0.000921986723727867,1.0,7.774921894073486,128,0.008141242727074227,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,191.33700823783875,1
0.0009441494923659717,1.0,19.91312837600708,256,0.00437814380488416,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,141.3553433418274,1
0.00195600835110266,1.0,0.8327176570892334,16,0.05348070622556539,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,189.93048119544983,1
0.003288123256137323,1.0,2.6357457637786865,32,0.02654609828060711,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,241.59403204917908,1
0.0007700150836528825,1.0,4.0544211864471436,64,0.017739913011239228,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,141.52948880195618,1
0.0008976241199553918,1.0,9.955568313598633,128,0.010953901923318077,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,142.93486261367798,1
0.0008054574148327476,1.0,15.752906799316406,256,0.004901621412303769,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,141.6522355079651,1
0.0026539751828866293,1.0,0.9003443717956543,16,0.05513058674354315,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,190.61076140403748,1
0.0013932000731629074,1.0,2.375532388687134,32,0.02758472259014849,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,240.2644603252411,1
0.0006674524815708134,1.0,5.625080823898315,64,0.018069124491929822,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,141.6145567893982,1
0.0005173775677147578,1.0,11.770621299743652,128,0.0047300295986478225,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,191.47351098060608,1
0.0006319473994222795,1.0,16.84667181968689,256,0.0039974014288547965,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,240.57241654396057,1
0.0016678921017633324,1.0,1.3131732940673828,16,0.053512852297475266,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,191.34137320518494,1
0.0017099078422981658,1.0,2.2186810970306396,32,0.05202231956627568,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,190.66463589668274,1
0.0016873991128735616,1.0,3.046532392501831,64,0.0283312097855557,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,142.46954321861267,1
0.0006192197148677745,1.0,12.147461414337158,128,0.006598502104694204,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,143.06288886070251,1
0.0005819406860317386,1.0,15.932337522506714,256,0.005107433600858746,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,142.55984568595886,1
0.0011970526719931637,1.0,0.9248058795928955,16,0.06134229798411395,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,239.4022033214569,1
0.0025561572420317075,1.0,1.7175207138061523,32,0.026840184775355935,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,190.76422429084778,1
0.000581385778265171,1.0,6.512481689453125,64,0.01246902896538854,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,142.27238535881042,1
0.0006241853153408606,1.0,7.799143075942993,128,0.007348438871398633,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,190.42667078971863,1
0.00048267714677898164,1.0,15.921476125717163,256,0.0040498135146301295,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,141.82053971290588,1
0.0018932403323495763,1.0,1.2177045345306396,16,0.03645044287439242,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,189.40472984313965,1
0.00259531092628388,1.0,1.7171642780303955,32,0.026619396389418792,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,140.41316485404968,1
0.00045699054779172686,1.0,3.8773374557495117,64,0.0113527445258913,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,188.29421830177307,1
0.0008308610747330984,1.0,8.248595952987671,128,0.0065894612126806695,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,190.2930805683136,1
0.0004936821998503144,1.0,16.32886576652527,256,0.003993147058102553,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,93.08120036125183,1
0.002571510356323911,1.0,0.9509479999542236,16,0.05636965388904258,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,190.91604685783386,1
