mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0031490539007129454,0.5323242187499999,3618.8117575645447,16,0.04031353380851194,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,193.65191650390625,1
0.0026706601561339713,0.6571289062500001,6374.844000339508,32,0.028727260383072994,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,145.12676000595093,1
0.002138982770383036,0.6864257812500001,11624.588423013687,64,0.0085417461865116,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,148.3829927444458,1
0.0019935881904791855,0.70380859375,22002.567420721054,128,0.008141242727074227,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,196.6724648475647,1
0.0018078947409292676,0.740283203125,43213.06540298462,256,0.00437814380488416,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,142.22338390350342,1
0.003382153734645027,0.5654296875,3601.138789176941,16,0.05348070622556539,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,200.2872760295868,1
0.002669136989119652,0.625244140625,6415.739279985428,32,0.02654609828060711,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,238.54455423355103,1
0.002161669730630003,0.663623046875,11755.62926697731,64,0.017739913011239228,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,143.8601257801056,1
0.0020452778698252217,0.7118164062500001,22066.137277126312,128,0.010953901923318077,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,144.56421661376953,1
0.001989314330394192,0.696337890625,42547.93628025055,256,0.004901621412303769,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,146.51246523857117,1
0.0032064190968090584,0.57822265625,3603.1229355335236,16,0.05513058674354315,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,189.10486388206482,1
0.0025149298087613807,0.6233886718749999,6077.777069807053,32,0.02758472259014849,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,252.2877802848816,1
0.002102719198640598,0.709521484375,11508.995325088501,64,0.018069124491929822,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,140.772714138031,1
0.0017909409029216014,0.764990234375,21907.288489580154,128,0.0047300295986478225,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,189.2916522026062,1
