mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0029563473655113107,1.0,4.269078016281128,6,0.05972440791222544,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.006307363510131836,6
0.0028765976027825086,1.0,0.6151628494262695,12,0.03026485424762071,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.006132364273071289,12
0.002025346351728153,1.0,1.5300252437591553,24,0.014186119732464142,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.006694316864013672,24
0.0019826628024162867,1.0,2.7622292041778564,48,0.007953121886086933,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.006234169006347656,45
0.0011881787973501503,1.0,4.908331394195557,96,0.005702664079856534,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.006252765655517578,87
0.001854568451299904,1.0,10.253342151641846,192,0.005792364663027905,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.0058519840240478516,192
0.002305094519164199,1.0,0.33687686920166016,6,0.061134730536784976,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0061511993408203125,6
0.0017797249896378139,1.0,0.6245942115783691,12,0.027346235565124943,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0061187744140625,12
0.0009881768208259392,1.0,1.5424115657806396,24,0.01415285830377766,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.006104946136474609,24
0.0020407528486474273,1.0,2.6918158531188965,48,0.009399440270579817,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.006299257278442383,47
0.0018167277810817273,1.0,5.503864049911499,96,0.006569934284756607,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.006173372268676758,88
0.0011491690907829857,1.0,11.173307657241821,192,0.00538961817408351,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.00597381591796875,192
0.003115584044208521,1.0,0.36437368392944336,6,0.06498568221728962,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.006105899810791016,6
