mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.009089881820649806,0.8841796875000001,226.86229848861694,6,0.05972440791222544,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.006387233734130859,6
0.00833427281479835,0.9017578125000001,307.7608358860016,12,0.03026485424762071,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0068051815032958984,12
0.007641859183280341,0.9092285156250001,513.0426514148712,24,0.014186119732464142,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.00621795654296875,24
0.007110589749775562,0.917919921875,1020.2111444473267,48,0.007953121886086933,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.00648808479309082,45
0.005619549629773825,0.91962890625,1938.6544997692108,96,0.005702664079856534,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.006282329559326172,87
0.006480870897274002,0.9112304687500001,3562.0354878902435,192,0.005792364663027905,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.006561279296875,192
0.008817418659000717,0.8932128906250001,207.5472972393036,6,0.061134730536784976,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.006314277648925781,6
0.0074018224430339105,0.8722167968750002,304.60183334350586,12,0.027346235565124943,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.006216764450073242,12
0.0055366865707759715,0.9231445312500001,541.5646595954895,24,0.01415285830377766,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.006295442581176758,24
0.007540161351176858,0.9037109375000001,1044.9747145175934,48,0.009399440270579817,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.006411075592041016,47
0.006098130967755562,0.9281250000000001,2017.4650177955627,96,0.006569934284756607,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.006120204925537109,88
0.0058736607689399215,0.9347167968750001,3995.2387273311615,192,0.00538961817408351,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.0061798095703125,192
0.012183099135649762,0.808544921875,195.5952925682068,6,0.06498568221728962,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.006203889846801758,6
0.007857879982481688,0.8923828125000002,314.2001214027405,12,0.027186197485366104,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.006304502487182617,12
0.006351184159537532,0.907177734375,559.9967637062073,24,0.015385488733629826,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.006503105163574219,24
0.006183418656709421,0.9107421875000001,1025.363963842392,48,0.009067481869644733,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.008013486862182617,47
0.007271573897347158,0.908447265625,2003.300095319748,96,0.006909057419397513,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.006277322769165039,89
