mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.012194833575947198,0.8707519531250002,686.8185839653015,16,0.0363395179748105,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.12275886535644531,16
0.011718166566064378,0.8892578125000001,1221.2406165599823,32,0.02128630074815263,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.12714695930480957,32
0.010863668424167406,0.8950683593750002,2235.6513135433197,64,0.010304143256358589,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.43655967712402344,64
0.010187583074907164,0.89404296875,4307.261967897415,128,0.010080197463163076,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.6679461002349854,128
0.010091046195639301,0.9020019531250001,8471.27208161354,256,0.01107404147338581,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,1.2020645141601562,256
0.012196764577604899,0.8707519531250001,716.9230163097382,16,0.0363395179748105,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.06722092628479004,16
0.01172148667131396,0.8896484375,1273.1129324436188,32,0.02128630074815263,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.3082704544067383,32
0.010851144682810005,0.8958007812500001,2282.443477869034,64,0.010304143256358589,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.5415365695953369,64
0.010179055866895504,0.8928222656250001,4316.30525803566,128,0.010080197463163076,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.5345520973205566,128
0.010095890127347637,0.9014160156250002,8469.145201206207,256,0.01107404147338581,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,1.0724515914916992,256
0.012190016110766843,0.8707031250000001,676.6770677566528,16,0.0363395179748105,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.12078738212585449,16
0.011718792562822409,0.889599609375,1218.2983322143555,32,0.02128630074815263,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.12535834312438965,32
0.010863439729998299,0.8952636718750002,2322.2176179885864,64,0.010304143256358589,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.24751806259155273,64
0.010184965722415368,0.8927246093750001,4451.184032440186,128,0.010080197463163076,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.8493421077728271,128
0.010105513712946755,0.9020507812500002,8783.939880609512,256,0.01107404147338581,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,1.2497735023498535,256
0.012184244801512603,0.8715332031250002,700.9527351856232,16,0.0363395179748105,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.06627988815307617,16
0.011723980868684142,0.8902343750000001,1267.249394416809,32,0.02128630074815263,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.12024474143981934,32
0.010856983812607095,0.8953613281250001,2349.7527289390564,64,0.010304143256358589,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.27074575424194336,64
0.010174874037211078,0.8931152343750002,4426.92463517189,128,0.010080197463163076,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.5101583003997803,128
0.010103877688853003,0.9019042968750002,8735.15417098999,256,0.01107404147338581,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,1.063108205795288,256
0.012191771701922784,0.8704101562500001,705.701700925827,16,0.0363395179748105,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.11991620063781738,16
0.011723398827691111,0.890576171875,1253.4111466407776,32,0.02128630074815263,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.15070796012878418,32
0.010862032305192646,0.8940917968750002,2320.3857421875,64,0.010304143256358589,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.25041627883911133,64
0.010179637947920445,0.8925781250000001,4402.689575910568,128,0.010080197463163076,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.4968292713165283,128
0.010098017879571902,0.9027343750000001,8606.759581804276,256,0.01107404147338581,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,1.0774967670440674,256
0.012197459242732796,0.871044921875,689.9029469490051,16,0.0363395179748105,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.06646347045898438,16
0.011719730250011813,0.8889648437500002,1242.0671634674072,32,0.02128630074815263,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.12739229202270508,32
0.01086538253299949,0.8949218750000001,2298.360942363739,64,0.010304143256358589,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.2960171699523926,64
0.010190277867607418,0.8924316406250001,4340.297572612762,128,0.010080197463163076,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.528141975402832,128
0.010099546809664533,0.9010253906250001,8402.247990369797,256,0.01107404147338581,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,1.1709985733032227,256
0.012192213535052666,0.8703613281250001,679.972188949585,16,0.0363395179748105,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.12098002433776855,16
0.011735955722427445,0.8899902343750001,1185.8704187870026,32,0.02128630074815263,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.12883639335632324,32
0.01087433413835383,0.8949218750000001,2258.5123841762543,64,0.010304143256358589,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.3037688732147217,64
0.010179643067112954,0.8930175781250002,4379.657570362091,128,0.010080197463163076,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.5882935523986816,128
0.010094540318203017,0.9022949218750002,8634.099616289139,256,0.01107404147338581,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,1.165205717086792,256
0.012191395879725205,0.8704101562500002,707.7449467182159,16,0.0363395179748105,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.08686494827270508,16
0.011727222694001529,0.8895507812500001,1249.5260071754456,32,0.02128630074815263,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.16173458099365234,32
