mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0012238679766289839,0.6603515625,3028.4682006835938,16,0.015707591982305535,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.30131101608276367,16
0.0010413817003143528,0.7598144531250001,4869.584432601929,32,0.006554933157658871,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.25974011421203613,32
0.0007870765736499757,0.8097167968750001,8548.491891622543,64,0.002687795195998155,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.2625865936279297,64
0.0006353486367085688,0.8528320312500002,15502.97312760353,128,0.001282742036330442,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.37573909759521484,128
0.0005284063925266778,0.89375,30152.91618013382,256,0.0007156968029347066,shapiq,kernel,kernel_thinning,gaussian,4,32,256.0,0.25438427925109863,248
0.00955531631456607,0.23461914062500006,2961.422563791275,16,1.2493059017166506,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.7307066917419434,1
0.009560992639738575,0.23334960937500004,4840.488871335983,32,1.2493059017166506,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.6420879364013672,1
0.009560515174543607,0.23422851562500002,8517.983767271042,64,1.2493059017166503,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.6360297203063965,1
0.00956330986633823,0.23427734375000003,15838.392049074173,128,1.2493059017166503,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.6550111770629883,1
0.009565047488933005,0.23452148437500003,30432.85907316208,256,1.2493059017166503,shapiq,kernel,kernel_thinning,sobolev,4,32,256.0,0.635606050491333,1
0.001439555494090312,0.6373046874999999,3005.5013439655304,16,0.016975108223346247,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.24340438842773438,16
0.001047347627765433,0.7517578125,4810.467841625214,32,0.0076596922418192825,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.24372076988220215,32
0.0008556914710864111,0.7671386718750001,8500.52769947052,64,0.0030581589480450644,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.24036216735839844,64
0.000594733059803492,0.8685546875000001,15796.892888069153,128,0.0013204913882072788,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.24484920501708984,128
0.0005190470643603033,0.8951660156250001,30421.905469417572,256,0.0007059122674070162,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,256.0,0.2400379180908203,254
0.0015059634504628863,0.636572265625,2999.288398504257,16,0.01742149087795375,shapiq,kernel,kernel_thinning,matern,4,32,16.0,0.3224451541900635,16
0.0009608895099109441,0.7267089843750001,4809.307934045792,32,0.006337487234404748,shapiq,kernel,kernel_thinning,matern,4,32,32.0,0.3292121887207031,32
0.000787395184898535,0.8143554687500001,8520.868166208267,64,0.0027412315304726764,shapiq,kernel,kernel_thinning,matern,4,32,64.0,0.32097625732421875,64
0.0006125758066893673,0.8654785156250001,15787.64116358757,128,0.001298028196203782,shapiq,kernel,kernel_thinning,matern,4,32,128.0,0.3246464729309082,128
0.0005061580910191059,0.9084960937500002,30389.899513721466,256,0.0006557526684994319,shapiq,kernel,kernel_thinning,matern,4,32,256.0,0.3231327533721924,256
0.001221778363414336,0.66083984375,2980.3607654571533,16,0.015707591982305535,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.2542133331298828,16
