mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.000884764670248335,1.0,5.7676842212677,16,0.05261727694046686,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,51.18043565750122,1
0.0006915534070426816,1.0,4.287076473236084,32,0.035689072830237145,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,50.78155493736267,1
0.0011494715300600924,1.0,5.514654159545898,64,0.020846531047546468,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,50.31524896621704,1
0.0005683867533922115,1.0,13.06662654876709,128,0.008997958108669268,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,50.04499292373657,1
0.00046845045454031134,1.0,27.715028762817383,256,0.006064813369143884,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,50.034475803375244,1
0.0005943813539959902,1.0,1.4169578552246094,16,0.047921979099306844,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,50.00986051559448,1
0.0015405796543290036,1.0,2.470543622970581,32,0.022982324914634034,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,50.68726372718811,1
0.0014943767327945138,1.0,3.654629945755005,64,0.02177653387203282,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,50.841124534606934,1
0.0008057592053590156,1.0,9.64686393737793,128,0.012041043248925742,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,51.047916650772095,1
0.00034593407400501587,1.0,24.450971126556396,256,0.007029914975891283,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,49.83147692680359,1
0.0008416646430942342,1.0,1.699272871017456,16,0.037920703303151115,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,50.68106508255005,1
0.00047713079914188546,1.0,4.297950983047485,32,0.026929045323480727,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,49.954055070877075,1
0.0008458105062523085,1.0,7.077883005142212,64,0.013493705659347821,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,49.63091707229614,1
0.00045144439572942184,1.0,13.503957271575928,128,0.007704388066460788,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,50.8990113735199,1
0.0006646630625812505,1.0,20.224251985549927,256,0.0046240719751818316,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,49.89368557929993,1
0.0008867988447556687,1.0,2.0335655212402344,16,0.04909373762433239,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,49.09677338600159,1
0.0007656350996934332,1.0,2.8593811988830566,32,0.033599727101547905,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,49.314945697784424,1
0.000627735605719344,1.0,5.950546503067017,64,0.022310476393254564,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,49.11613726615906,1
0.000670248831837734,1.0,12.925345659255981,128,0.013719098420192644,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,50.44525074958801,1
0.0004298533808275522,1.0,20.169983863830566,256,0.0053548627262330895,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,50.326420545578,1
0.0015772570027307953,0.8,1.2896850109100342,16,0.05720364910651238,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,49.770811319351196,1
0.0008968856599133438,1.0,3.996490478515625,32,0.026853290952275344,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,49.81332063674927,1
0.001054429295273419,1.0,3.8569674491882324,64,0.012130776425960388,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,49.64058542251587,1
0.0003178726523204896,1.0,16.684914112091064,128,0.010027958122760083,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,49.8957257270813,1
0.0003899783430572016,1.0,34.00762057304382,256,0.007748301197405383,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,50.7386360168457,1
0.0028151845042835924,1.0,0.9617068767547607,16,0.04131623444610222,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,50.454341888427734,1
0.0012492780338587885,1.0,2.7568984031677246,32,0.03812486628816686,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,50.660876512527466,1
0.0006639839332365551,1.0,6.55900239944458,64,0.015624125578199644,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,49.88174891471863,1
0.00041273393103337093,1.0,11.999064445495605,128,0.006741274374608197,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,51.0783908367157,1
0.0005415993495915656,1.0,24.818567276000977,256,0.007751901182488141,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,50.36416745185852,1
0.0009668556315455335,1.0,2.1117353439331055,16,0.03943230355194488,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,50.379055976867676,1
0.0004262784165421235,1.0,3.417048692703247,32,0.021937981648844418,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,49.741328716278076,1
0.0008627823058333249,1.0,6.348389625549316,64,0.010743686975324851,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,50.153562784194946,1
0.00046942553849497716,1.0,12.604743719100952,128,0.009190940055004426,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,50.708667278289795,1
0.000891022773173414,1.0,23.431736707687378,256,0.008865457591711923,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,50.1844847202301,1
0.0019469914154186534,1.0,2.240464687347412,16,0.058657659614483215,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,50.04062032699585,1
0.0003367431495259347,1.0,4.444594621658325,32,0.026527677559419982,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,50.84297776222229,1
0.0006264039143851925,1.0,5.137503623962402,64,0.014537794361088263,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,51.409361600875854,1
0.0008483523026990399,1.0,11.852955341339111,128,0.009376082514064077,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,50.96335172653198,1
0.0005079472360854139,1.0,29.35720920562744,256,0.007757720344533536,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,50.0155463218689,1
0.0004982847895250816,1.0,1.7352700233459473,16,0.03750938731698339,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,51.35361313819885,1
0.001303901645703749,1.0,2.559191942214966,32,0.02973828668591527,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,50.72873282432556,1
0.0003898078175313809,1.0,8.071715593338013,64,0.012725172222090464,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,50.436543464660645,1
0.0004130775110254544,1.0,14.01397442817688,128,0.006231312942735823,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,50.46305799484253,1
0.0008489302869858053,1.0,25.55771517753601,256,0.006892203441907829,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,50.61047887802124,1
0.0025546587042068127,1.0,0.9040617942810059,16,0.057597306232644974,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,50.792025089263916,1
0.002311843536974538,0.8,2.5682642459869385,32,0.03348796712585539,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,50.144981384277344,1
0.0004718781447792792,1.0,7.142083644866943,64,0.01152496691875965,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,50.97189402580261,1
0.0008192025723222523,1.0,13.204234600067139,128,0.015029499267637025,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,51.15775442123413,1
0.000760772531574274,1.0,21.28990340232849,256,0.006337408858119842,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,50.74668622016907,1
