mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.011474832761428666,0.6879696394686906,135.72837734222412,8,0.012939788502759453,shapiq,kernel,kernel_thinning,gaussian,4,32,8.0,0.00993657112121582,8
0.007667619160379031,0.6859203036053131,256.01682329177856,16,0.006044233269741683,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.01051187515258789,16
0.006790188334161527,0.6655787476280834,499.91441011428833,32,0.002030012279014004,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.010424375534057617,31
0.003475478867339469,0.884933586337761,963.5228397846222,64,0.0012691494163955541,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.010502815246582031,62
0.003311833769813118,0.851157495256167,1891.4569907188416,128,0.0008703420416974472,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.01453542709350586,125
0.03918449242635287,0.29533206831119546,134.63138222694397,8,0.9723747612771613,shapiq,kernel,kernel_thinning,sobolev,4,32,8.0,0.023173093795776367,2
0.03918449242635287,0.29533206831119546,256.18202543258667,16,0.9723747612771613,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.021605253219604492,2
0.03791734372002911,0.2958633776091082,487.36679673194885,32,0.9089432725668722,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.022184133529663086,2
0.03791734372002911,0.2958633776091082,977.3144814968109,64,0.9089432725668722,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.022383451461791992,2
0.037917343886558735,0.2958633776091082,1916.8986685276031,128,0.9089432725668722,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.032028913497924805,2
0.0127600748216059,0.5032258064516129,136.58881425857544,8,0.0149821767932391,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,8.0,0.02009868621826172,8
0.007739199376596213,0.7139278937381404,258.419326543808,16,0.004205268711188759,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.009155035018920898,16
0.005860633989133327,0.743605313092979,498.6403777599335,32,0.0021797100338328823,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.009459257125854492,31
0.0026819949026467833,0.8997343453510437,974.2135949134827,64,0.001185376743126132,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.009254693984985352,64
0.00256470190655393,0.907931688804554,1906.6010212898254,128,0.0007699509981177188,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.00967860221862793,124
0.012462688570184224,0.5007210626185958,137.11415648460388,8,0.015062052083625876,shapiq,kernel,kernel_thinning,matern,4,32,8.0,0.039461374282836914,8
0.006899119954951408,0.7673624288425046,257.5520679950714,16,0.005433885222006829,shapiq,kernel,kernel_thinning,matern,4,32,16.0,0.01404118537902832,16
0.005477731005728548,0.7783681214421252,502.0532774925232,32,0.002991823888023215,shapiq,kernel,kernel_thinning,matern,4,32,32.0,0.014457941055297852,32
0.0043130789834121466,0.8012903225806451,969.0213057994843,64,0.0014556259009499417,shapiq,kernel,kernel_thinning,matern,4,32,64.0,0.013563871383666992,64
0.002916259009248233,0.8699051233396585,1887.098295211792,128,0.0008174039992487891,shapiq,kernel,kernel_thinning,matern,4,32,128.0,0.014739751815795898,128
0.011474832761428666,0.6879696394686906,134.82640671730042,8,0.012939788502759453,shapiq,kernel,kernel_thinning,gaussian,4,32,8.0,0.0386204719543457,8
0.007667619160379031,0.6859203036053131,254.43279910087585,16,0.006044233269741683,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.011444807052612305,16
0.006112162235136928,0.739278937381404,495.8683545589447,32,0.002231367897382097,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.01093435287475586,32
0.002830083627816926,0.8917647058823528,962.0234043598175,64,0.0013600461264551278,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.011277914047241211,64
0.0032086247348074174,0.8623149905123338,1890.0767450332642,128,0.0008684113010506422,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.010865211486816406,120
0.03918449242635287,0.29533206831119546,134.93121337890625,8,0.9723747612771613,shapiq,kernel,kernel_thinning,sobolev,4,32,8.0,0.0242764949798584,2
0.03918449242635287,0.29533206831119546,254.6830153465271,16,0.9723747612771613,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.023754596710205078,2
0.03791734372002911,0.2958633776091082,497.67601585388184,32,0.9089432725668722,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.024351119995117188,2
0.03791734372002911,0.2958633776091082,964.4185419082642,64,0.9089432725668722,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.022895097732543945,2
0.037917343886558735,0.2958633776091082,1905.194417476654,128,0.9089432725668722,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.02420663833618164,2
0.0127600748216059,0.5032258064516129,135.1553270816803,8,0.0149821767932391,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,8.0,0.010318279266357422,8
0.007739199376596213,0.7139278937381404,256.09331583976746,16,0.004205268711188759,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.010001182556152344,16
0.008772831964802594,0.7617457305502846,498.93749952316284,32,0.002943023767032482,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.009952306747436523,32
0.004232666293483994,0.8255028462998102,967.9155869483948,64,0.00121436767481653,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.009813308715820312,64
0.002963470338326551,0.8812903225806451,1893.0126910209656,128,0.0008409531447753915,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.023161649703979492,126
0.012462688570184224,0.5007210626185958,136.3636736869812,8,0.015062052083625876,shapiq,kernel,kernel_thinning,matern,4,32,8.0,0.014544963836669922,8
0.006899119954951408,0.7673624288425046,257.3633985519409,16,0.005433885222006829,shapiq,kernel,kernel_thinning,matern,4,32,16.0,0.013096809387207031,16
0.00719257095039474,0.7712333965844401,499.73086977005005,32,0.00263271500124862,shapiq,kernel,kernel_thinning,matern,4,32,32.0,0.01414799690246582,32
0.0044102182947136845,0.8340037950664134,962.8471326828003,64,0.0012411192253929393,shapiq,kernel,kernel_thinning,matern,4,32,64.0,0.014089822769165039,64
0.0025624434699543543,0.888045540796964,1902.041731595993,128,0.000823850229749512,shapiq,kernel,kernel_thinning,matern,4,32,128.0,0.013437986373901367,128
