mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.01680324693982432,0.903564453125,128.5404224395752,16,0.0059087946858505935,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.2369983196258545,16
0.008464134997423385,0.946728515625,240.8720326423645,32,0.0017968481608787723,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.2764308452606201,32
0.008643453973132188,0.95263671875,458.04257583618164,64,0.0008496570226934619,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.2504875659942627,64
0.003715628944351543,0.975341796875,908.7007026672363,128,0.00034335238001159674,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.25124502182006836,127
0.0027309155911409036,0.9816894531250001,1765.4118983745575,256,0.00017322351514059697,shapiq,kernel,kernel_thinning,gaussian,4,32,256.0,0.2411797046661377,236
0.45509799815387375,0.4638671875,123.07383584976196,16,1.3322047737920255,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.3679499626159668,1
0.45509799815387375,0.4638671875,238.08829069137573,32,1.3322047737920255,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.3697640895843506,1
0.45509799799370115,0.46391601562500007,459.0596046447754,64,1.3322047737920255,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.38735151290893555,1
0.4550979973614008,0.4638671875,900.0978021621704,128,1.3322047737920255,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.38955068588256836,1
0.4550979973614008,0.4638671875,1787.094782590866,256,1.3322047737920255,shapiq,kernel,kernel_thinning,sobolev,4,32,256.0,0.4076695442199707,1
0.0145829118581181,0.9120117187500001,121.88031888008118,16,0.0055515270261427,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.23678326606750488,16
0.010424836564032872,0.9444335937500001,234.24017095565796,32,0.0018838853871726569,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.23819851875305176,32
0.005712109446027782,0.963134765625,441.3762254714966,64,0.0007207602685765924,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.24130678176879883,64
0.0036198979104060795,0.9752441406250001,890.5181066989899,128,0.00035017499014167175,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.233184814453125,127
0.0026410932885782964,0.982470703125,1756.970710992813,256,0.0001830510287070819,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,256.0,0.24434328079223633,248
0.018370148711493027,0.878173828125,122.42889285087585,16,0.006196085578364929,shapiq,kernel,kernel_thinning,matern,4,32,16.0,0.3180375099182129,16
0.008690506460890151,0.9458984375,231.53142428398132,32,0.0016632845468459445,shapiq,kernel,kernel_thinning,matern,4,32,32.0,0.3209657669067383,32
0.004911385905265951,0.96845703125,449.16667914390564,64,0.0007175514375062919,shapiq,kernel,kernel_thinning,matern,4,32,64.0,0.32077765464782715,64
0.0033622962291825252,0.9767578125,898.1840670108795,128,0.0002724223158311334,shapiq,kernel,kernel_thinning,matern,4,32,128.0,0.32076573371887207,128
0.002478046876284923,0.9849121093750001,1773.3713052272797,256,0.00019041372553407765,shapiq,kernel,kernel_thinning,matern,4,32,256.0,0.321242094039917,256
0.01640266449144399,0.9083496093750001,122.87384176254272,16,0.005880512062554466,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.27143287658691406,16
0.008464134997423385,0.946728515625,231.75850200653076,32,0.0017968481608787723,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.2663455009460449,32
0.006312389810382761,0.9667968750000001,451.80662202835083,64,0.0008024066649123807,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.251755952835083,64
0.003906774942664371,0.971630859375,897.4622583389282,128,0.00034539107838471583,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.24299860000610352,128
0.0032286153120274852,0.9792968750000001,1789.8360793590546,256,0.00017693507678795406,shapiq,kernel,kernel_thinning,gaussian,4,32,256.0,0.25401806831359863,247
0.45509799815387375,0.4638671875,121.70160484313965,16,1.3322047737920255,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.3879513740539551,1
0.45509799815387375,0.4638671875,236.97184538841248,32,1.3322047737920255,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.39072656631469727,1
0.45509799799370115,0.46391601562500007,455.70173692703247,64,1.3322047737920255,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.39083385467529297,1
0.4550979973614008,0.4638671875,894.3920829296112,128,1.3322047737920255,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.4054698944091797,1
0.4550979973614008,0.4638671875,1761.6870243549347,256,1.3322047737920255,shapiq,kernel,kernel_thinning,sobolev,4,32,256.0,0.3923468589782715,1
0.0145829118581181,0.9120117187500001,122.97171998023987,16,0.0055515270261427,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.23901677131652832,16
0.010037752211708408,0.940966796875,234.91306734085083,32,0.0016697741489176687,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.2416529655456543,32
0.00506216281110471,0.96357421875,457.39170026779175,64,0.0008425331902758293,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.24216198921203613,64
0.0033412296612230948,0.97724609375,904.011486530304,128,0.00030290011969880126,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.2408161163330078,128
0.0024117136265163048,0.9823242187500001,1768.787480354309,256,0.00016308502181117124,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,256.0,0.24227476119995117,247
0.018370148711493027,0.878173828125,122.53760886192322,16,0.006196085578364929,shapiq,kernel,kernel_thinning,matern,4,32,16.0,0.322429895401001,16
0.008690506460890151,0.9458984375,231.86622977256775,32,0.0016632845468459445,shapiq,kernel,kernel_thinning,matern,4,32,32.0,0.322826623916626,32
0.005607932897048663,0.965283203125,450.72367334365845,64,0.0007491304834383872,shapiq,kernel,kernel_thinning,matern,4,32,64.0,0.3197643756866455,64
