mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0350211844903973,0.8,6.390291213989258,16,0.016735339085767298,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.029723644256591797,16
0.01608798644093757,1.0,2.622624397277832,32,0.01145752984853643,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.04168343544006348,32
0.03326358532430709,1.0,4.388411521911621,64,0.01695875152723003,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.08616781234741211,64
0.03258225068137385,0.8,6.17711615562439,128,0.01936335131961542,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.15718746185302734,128
0.028709905418593144,0.8,12.557286739349365,256,0.019012654965474662,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.31850290298461914,255
0.03145689890497336,0.8,1.2489013671875,16,0.016735339085767298,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.021055936813354492,16
0.009370934995472813,1.0,3.2556941509246826,32,0.01145752984853643,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.04025888442993164,32
0.033017274933658906,1.0,4.388704299926758,64,0.01695875152723003,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.08095645904541016,64
0.028877708135225402,0.8,7.565860986709595,128,0.01936335131961542,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.16446304321289062,128
0.02978178958736147,0.8,11.859410524368286,256,0.019012654965474662,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.3246755599975586,255
0.034807521895380014,0.8,1.3346195220947266,16,0.016735339085767298,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.02155470848083496,16
0.009618489651928054,1.0,2.802372455596924,32,0.01145752984853643,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.042951345443725586,32
0.026901103770498883,1.0,4.569449186325073,64,0.01695875152723003,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.08217310905456543,64
0.023558945393109654,0.8,7.287575960159302,128,0.01936335131961542,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.16074895858764648,128
0.03007758051703402,0.8,11.579355955123901,256,0.019012654965474662,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.3100142478942871,255
0.03458829155861434,0.8,1.206023931503296,16,0.016735339085767298,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.021736860275268555,16
0.014217046260808318,1.0,2.590681791305542,32,0.01145752984853643,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.041815996170043945,32
0.03430592227749078,1.0,4.303067922592163,64,0.01695875152723003,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.10049057006835938,64
0.020212680311529785,0.8,7.469059467315674,128,0.01936335131961542,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.16953420639038086,128
