mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.009373221396154435,0.8,3.890963077545166,8,0.11555983183615315,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,23.501861333847046,1
0.014508818160576576,0.8,7.32708740234375,16,0.05319494774400563,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,38.27809810638428,1
0.007563483780099407,0.8,14.586674451828003,32,0.026726241111470983,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,16.00549602508545,1
0.005983514464678529,0.8,41.21584177017212,64,0.01938405205867999,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,23.00328516960144,1
0.0020614136033117346,0.8,41.990158557891846,128,0.012607770166430832,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,23.80155348777771,1
0.02803857214906503,0.8,3.226019859313965,8,0.11649382356589255,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,16.377458333969116,1
0.024664583232571407,0.6,6.354552984237671,16,0.0541341927638227,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,30.84830951690674,1
0.010946525367845907,0.8,11.549447298049927,32,0.03413918519559567,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,30.693485021591187,1
0.0041562971592273915,0.8,29.266783475875854,64,0.016286955635952893,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,30.95448613166809,1
0.00714727414968485,0.6,54.875619649887085,128,0.011205796959236625,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,23.44627332687378,1
0.034814968690359396,0.6,1.703019142150879,8,0.10133967846779829,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,23.547619104385376,1
0.004995592127250563,0.8,9.83246397972107,16,0.04936879276239792,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,46.00435829162598,1
0.004289944924749278,0.8,21.239989519119263,32,0.03390613879300808,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,30.427165508270264,1
0.00641112854586044,0.8,17.346317052841187,64,0.01559778686863078,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,38.94149041175842,1
0.004575017360879609,0.8,63.546374559402466,128,0.008786761686360445,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,23.23181462287903,1
0.031979707843468465,0.8,1.2570254802703857,8,0.10202751478030475,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,16.490967750549316,1
0.005051273239822044,0.8,9.506811380386353,16,0.05521975926554745,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,23.44019865989685,1
0.004522012903379185,0.8,12.403194904327393,32,0.021828279734123213,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,23.17208766937256,1
0.002989657536465048,0.8,30.55212378501892,64,0.013986456766045763,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,15.879318952560425,1
0.004251421920442355,0.8,47.38421607017517,128,0.009767682718189397,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,37.89524602890015,1
0.040055266597404444,0.6,1.7085745334625244,8,0.09845286080470117,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,30.625532388687134,1
0.007902849221974812,0.8,10.061382055282593,16,0.049356311303988654,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,16.390875101089478,1
0.007611582018877755,0.8,19.308664798736572,32,0.03458318743584948,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,23.295260190963745,1
0.007259745413922733,0.8,29.3930561542511,64,0.0163271902606697,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,44.73002362251282,1
0.0037126902712994727,0.8,68.82071375846863,128,0.011209835765911558,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,38.48869848251343,1
0.03278473679431696,0.8,1.7030129432678223,8,0.10126464545310965,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,23.741941452026367,1
0.00894735817036681,1.0,8.827587366104126,16,0.05128193675753956,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,15.866852521896362,1
0.004064999463678193,0.8,22.191205739974976,32,0.024759873961850698,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,30.824653148651123,1
0.0026674008129625266,0.8,23.44324827194214,64,0.018541432421730397,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,30.265711069107056,1
0.005277096194103272,0.8,52.312458992004395,128,0.009739832285530214,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,23.371721506118774,1
0.020728731415051164,1.0,1.1896677017211914,8,0.09881359496152553,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,30.137555360794067,1
