mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.011169799289876265,0.7542399999999999,82.5199728012085,8,0.11555983183615315,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,23.07595419883728,1
0.00864073090041368,0.7491199999999999,141.07984972000122,16,0.05319494774400563,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,37.62867856025696,1
0.005687793689439239,0.852,266.8869035243988,32,0.026726241111470983,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,15.955875158309937,1
0.005144791480656846,0.8771200000000001,536.1533124446869,64,0.01938405205867999,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,22.932173252105713,1
0.0062886619307661725,0.83472,1063.8147730827332,128,0.012607770166430832,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,23.32722568511963,1
0.009726519901911075,0.61088,76.72970342636108,8,0.11649382356589255,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,15.754955291748047,1
0.010704261475425433,0.73088,138.64951586723328,16,0.0541341927638227,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,30.564515590667725,1
0.006310812624278175,0.78448,267.7123532295227,32,0.03413918519559567,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,30.76207184791565,1
0.005680954996482196,0.8252799999999999,540.5626504421234,64,0.016286955635952893,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,31.107771396636963,1
0.00646985439358841,0.8227199999999999,1067.8169045448303,128,0.011205796959236625,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,23.511892318725586,1
0.016845642283260184,0.6977599999999999,83.0957567691803,8,0.10133967846779829,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,23.86376690864563,1
0.00875658405134636,0.7145599999999999,140.74403047561646,16,0.04936879276239792,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,46.0546510219574,1
0.007439805015267141,0.84,267.0313081741333,32,0.03390613879300808,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,30.437980890274048,1
0.007774811741678648,0.73776,538.5512068271637,64,0.01559778686863078,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,37.93136525154114,1
0.0049549207305201294,0.8299200000000001,1065.8416619300842,128,0.008786761686360445,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,23.135911226272583,1
0.016569238749248774,0.7321599999999998,78.8612413406372,8,0.10202751478030475,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,15.738180875778198,1
0.013764199422368572,0.7505599999999999,139.05353379249573,16,0.05521975926554745,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,23.159584999084473,1
0.007358339499135082,0.71312,267.3141233921051,32,0.021828279734123213,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,23.065704107284546,1
0.004986741570108755,0.89664,541.4595909118652,64,0.013986456766045763,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,16.17315411567688,1
0.003975589340616918,0.8948799999999999,1065.7809126377106,128,0.009767682718189397,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,37.750951051712036,1
0.011114407923162534,0.66016,77.87625074386597,8,0.09845286080470117,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,30.155560731887817,1
0.005761155417826217,0.8343999999999998,139.72335505485535,16,0.049356311303988654,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,15.767385244369507,1
0.010303889462331945,0.7187199999999999,268.07695484161377,32,0.03458318743584948,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,23.177490949630737,1
0.005766777823553201,0.8177599999999998,539.0677852630615,64,0.0163271902606697,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,45.15236520767212,1
0.004518707461156294,0.8648,1067.2462561130524,128,0.011209835765911558,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,38.67288160324097,1
0.01099660097606033,0.6951999999999999,83.30421304702759,8,0.10126464545310965,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,23.759373903274536,1
0.008536423486438205,0.78704,142.87301778793335,16,0.05128193675753956,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,15.975148916244507,1
0.00436657180597469,0.8561599999999998,268.871134519577,32,0.024759873961850698,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,30.457510709762573,1
0.005267288416204732,0.8672,540.8543395996094,64,0.018541432421730397,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,30.307592153549194,1
0.004079557206327947,0.8529599999999998,1068.2512016296387,128,0.009739832285530214,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,23.59389305114746,1
0.012578504293583145,0.6739199999999999,78.74380230903625,8,0.09881359496152553,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,30.871444940567017,1
0.015864835390912848,0.708,137.60224628448486,16,0.06206445319053849,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,15.939101457595825,1
