mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0024961094247970433,0.32528,752.8571906089783,8,0.11555983183615315,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,23.87193465232849,1
0.0013789373767923185,0.4192000000000001,1139.7872650623322,16,0.05319494774400563,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,38.827143907547,1
0.0011742898969710324,0.5288,1903.3612742424011,32,0.026726241111470983,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,16.566455602645874,1
0.0010927238767794677,0.5209600000000001,3426.652512073517,64,0.01938405205867999,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,23.13920569419861,1
0.0009020693246520307,0.53152,6574.423496961594,128,0.012607770166430832,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,23.820550680160522,1
0.0015697913486212383,0.37488,724.329197883606,8,0.11649382356589255,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,16.19534158706665,1
0.0012820505470174893,0.35376,1111.4864060878754,16,0.0541341927638227,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,30.686986446380615,1
0.0011679204676248874,0.45856,1846.1589748859406,32,0.03413918519559567,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,31.214812755584717,1
0.0010386266817652926,0.50832,3326.9820518493652,64,0.016286955635952893,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,31.260064840316772,1
0.0008657279129806906,0.60208,6404.006878376007,128,0.011205796959236625,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,23.553614616394043,1
0.0014237311536155616,0.29184,720.8132231235504,8,0.10133967846779829,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,23.40643048286438,1
0.0014464557772511204,0.43712,1057.118379831314,16,0.04936879276239792,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,46.08375811576843,1
0.00109152983696537,0.48528000000000004,1834.0157277584076,32,0.03390613879300808,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,30.747190237045288,1
0.000970288415089419,0.54496,3345.9294097423553,64,0.01559778686863078,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,38.523202896118164,1
0.0008404996383002093,0.58992,6494.603446006775,128,0.008786761686360445,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,23.500085592269897,1
0.0013477911800032192,0.40576,747.3914790153503,8,0.10202751478030475,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,16.27084469795227,1
0.0016922780903694556,0.4163200000000001,1135.290400505066,16,0.05521975926554745,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,23.5040442943573,1
0.0011302155731077609,0.48384000000000005,1904.2619397640228,32,0.021828279734123213,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,23.723331451416016,1
0.0009478223740085808,0.5643199999999999,3447.3190977573395,64,0.013986456766045763,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,16.5709867477417,1
0.0009035902821943834,0.5646399999999999,6563.952248811722,128,0.009767682718189397,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,38.638002157211304,1
0.0014266021589920959,0.36112000000000005,726.0483357906342,8,0.09845286080470117,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,30.699935913085938,1
0.0014591589678090682,0.42912,1093.923585653305,16,0.049356311303988654,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,15.929626226425171,1
0.00116931643266637,0.40784000000000004,1917.7936260700226,32,0.03458318743584948,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,23.91494917869568,1
0.0010082010913641062,0.5304,3381.8227038383484,64,0.0163271902606697,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,46.262786865234375,1
0.0008817063998220251,0.60528,6243.8993310928345,128,0.011209835765911558,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,38.96067214012146,1
0.001210192045132206,0.3632,707.5423595905304,8,0.10126464545310965,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,23.813743591308594,1
0.001363384597331521,0.45311999999999997,1072.3209204673767,16,0.05128193675753956,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,15.883567333221436,1
0.0011248827909446913,0.4868799999999999,1786.7050886154175,32,0.024759873961850698,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,30.866379976272583,1
0.000993367614844728,0.52112,3276.1195726394653,64,0.018541432421730397,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,30.70729660987854,1
0.0008886598504293354,0.59392,6547.605484724045,128,0.009739832285530214,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,23.419021129608154,1
0.0014199999334748188,0.30528,750.7610759735107,8,0.09881359496152553,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,31.20009994506836,1
0.0013435894099918303,0.41216,1138.6108379364014,16,0.06206445319053849,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,16.246593713760376,1
0.0013301349279827214,0.43072000000000005,1925.2071719169617,32,0.031826225134747255,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,23.8009831905365,1
0.00099699953055147,0.50288,3481.605209827423,64,0.015243211742354823,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,23.90170431137085,1
0.0008476830610184149,0.576,6491.209044933319,128,0.012155297183699398,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,30.85722255706787,1
0.001762340786804212,0.32304,754.5157678127289,8,0.11759878928795825,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,31.694069385528564,1
0.0014372501389497113,0.42544000000000004,1139.0326144695282,16,0.07140387487201366,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,23.720171689987183,1
0.0012693301020210547,0.4416,1920.0982315540314,32,0.04001379037191555,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,23.85066509246826,1
0.000955792108282063,0.5342399999999999,3479.8084321022034,64,0.02016871311652685,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,31.395410299301147,1
0.0008475818391077698,0.58192,6549.204904556274,128,0.008404087627610857,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,16.05123472213745,1
0.0014531586742788682,0.32768,748.4235553741455,8,0.09892435963785767,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,23.76681113243103,1
0.0016213541874317765,0.4124800000000001,1136.831451177597,16,0.05076398108601926,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,23.763385772705078,1
0.0011594293132243208,0.47663999999999995,1921.743023633957,32,0.024525143479875555,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,23.489726305007935,1
0.0009390521171394808,0.5201600000000001,3477.813274860382,64,0.015745774129828027,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,16.5424222946167,1
0.0008192923940509076,0.63408,6483.165860652924,128,0.010552925400241497,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,23.688929319381714,1
0.0015885927530359645,0.3848,735.8260440826416,8,0.10286937380558608,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,15.771564722061157,1
0.0013390275890749629,0.36096000000000006,1141.7646179199219,16,0.05520821498760958,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,23.796875,1
0.0010204729055505932,0.472,1917.9898042678833,32,0.028915867924271754,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,31.134924173355103,1
0.0009738005135974498,0.54224,3299.3562200069427,64,0.016583653317188918,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,38.412962436676025,1
0.0008642860029726484,0.61552,6390.56845164299,128,0.01154673026679165,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,31.04969358444214,1
