mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.009805549831592058,0.576,87.42006087303162,8,0.08846718463956355,shap,kernel,influence,none,Not needed,Not needed,Not needed,8,35.23315215110779,8
0.008192345613327356,0.7457599999999999,147.2254922389984,16,0.044527105120417854,shap,kernel,influence,none,Not needed,Not needed,Not needed,16,34.46297550201416,16
0.009025322546663338,0.85472,278.9248378276825,32,0.02700783848887628,shap,kernel,influence,none,Not needed,Not needed,Not needed,32,35.522494316101074,32
0.00339863422301336,0.8963200000000001,559.4982495307922,64,0.010538070791153709,shap,kernel,influence,none,Not needed,Not needed,Not needed,64,34.25939321517944,64
0.0031781159323394197,0.9054399999999999,1111.9422190189362,128,0.005571817208302465,shap,kernel,influence,none,Not needed,Not needed,Not needed,128,37.35981559753418,128
0.01234874622611729,0.7713599999999999,80.15587496757507,8,0.10840712820304793,shap,kernel,influence,none,Not needed,Not needed,Not needed,8,37.70935940742493,8
0.00887520792039826,0.66064,143.46467518806458,16,0.05576366595495791,shap,kernel,influence,none,Not needed,Not needed,Not needed,16,34.97634482383728,16
0.0037754197198502856,0.88192,278.38588976860046,32,0.01963420039925262,shap,kernel,influence,none,Not needed,Not needed,Not needed,32,35.15329337120056,32
0.005221355305809359,0.82224,561.7958068847656,64,0.011440155766774762,shap,kernel,influence,none,Not needed,Not needed,Not needed,64,37.68989872932434,64
0.002969839079248197,0.9060799999999999,1111.9585845470428,128,0.0047578912921871774,shap,kernel,influence,none,Not needed,Not needed,Not needed,128,35.72666621208191,128
0.01423675768358602,0.5816,79.6963758468628,8,0.1028019659539322,shap,kernel,influence,none,Not needed,Not needed,Not needed,8,35.95974254608154,8
0.008857828035367037,0.76208,143.6151843070984,16,0.049735053671732254,shap,kernel,influence,none,Not needed,Not needed,Not needed,16,35.38958501815796,16
0.00628728443223348,0.7854399999999999,279.79192757606506,32,0.021935250534118322,shap,kernel,influence,none,Not needed,Not needed,Not needed,32,37.92570734024048,32
0.005834674840918129,0.79984,561.7011840343475,64,0.018839035094016077,shap,kernel,influence,none,Not needed,Not needed,Not needed,64,35.728514194488525,64
0.0019970518605739746,0.9308799999999999,1114.0951688289642,128,0.004058323420650989,shap,kernel,influence,none,Not needed,Not needed,Not needed,128,35.597044706344604,128
0.01063059482925943,0.46752,79.16337060928345,8,0.10484263335518351,shap,kernel,influence,none,Not needed,Not needed,Not needed,8,36.22505807876587,8
0.012493849211103176,0.7337599999999999,145.2716944217682,16,0.05402563241287628,shap,kernel,influence,none,Not needed,Not needed,Not needed,16,36.7622754573822,16
0.006812756210128592,0.7539199999999999,279.4149115085602,32,0.027920720639718843,shap,kernel,influence,none,Not needed,Not needed,Not needed,32,35.02129602432251,32
0.005294213491248796,0.7822399999999998,560.4412033557892,64,0.014526096960786161,shap,kernel,influence,none,Not needed,Not needed,Not needed,64,34.81873679161072,64
0.00206352520266289,0.9339199999999999,1112.7739844322205,128,0.004208976444243617,shap,kernel,influence,none,Not needed,Not needed,Not needed,128,35.26301574707031,128
0.007675453296550262,0.7003199999999999,79.6993339061737,8,0.09707974959533211,shap,kernel,influence,none,Not needed,Not needed,Not needed,8,35.894939661026,8
0.007584085172372256,0.7004799999999999,144.96982073783875,16,0.03814401935871836,shap,kernel,influence,none,Not needed,Not needed,Not needed,16,35.36061120033264,16
0.0064793946529773045,0.8140799999999999,279.66590213775635,32,0.023356165080964608,shap,kernel,influence,none,Not needed,Not needed,Not needed,32,36.30070614814758,32
0.0034522836372244937,0.8849600000000001,559.5768828392029,64,0.00925496052586161,shap,kernel,influence,none,Not needed,Not needed,Not needed,64,37.74758720397949,64
0.0029290761871666217,0.8996799999999999,1111.240641117096,128,0.004917303900509096,shap,kernel,influence,none,Not needed,Not needed,Not needed,128,35.61764883995056,128
0.014343068605005385,0.77984,79.54183602333069,8,0.10492001074182611,shap,kernel,influence,none,Not needed,Not needed,Not needed,8,35.781410932540894,8
0.007068079374964468,0.7599999999999999,159.97846341133118,16,0.04534699194468045,shap,kernel,influence,none,Not needed,Not needed,Not needed,16,37.2335786819458,16
0.005619408361592812,0.7814399999999999,278.7489287853241,32,0.018702900605389094,shap,kernel,influence,none,Not needed,Not needed,Not needed,32,34.76000428199768,32
0.004619376030268567,0.8393599999999999,561.9691433906555,64,0.01316291536931502,shap,kernel,influence,none,Not needed,Not needed,Not needed,64,35.44634294509888,64
0.004324039813004138,0.8425599999999999,1112.3106181621552,128,0.005244356977281872,shap,kernel,influence,none,Not needed,Not needed,Not needed,128,38.036625623703,128
0.012343479247309044,0.7193599999999999,80.32333898544312,8,0.09525665298882596,shap,kernel,influence,none,Not needed,Not needed,Not needed,8,35.32050800323486,8
0.005733886678249073,0.7832,145.10248398780823,16,0.03728174393892292,shap,kernel,influence,none,Not needed,Not needed,Not needed,16,35.4872407913208,16
0.007339035556641461,0.75584,279.5554099082947,32,0.022963594291463663,shap,kernel,influence,none,Not needed,Not needed,Not needed,32,34.6035532951355,32
0.0045197457125218075,0.8100799999999999,560.6893019676208,64,0.015062360078849424,shap,kernel,influence,none,Not needed,Not needed,Not needed,64,34.45139193534851,64
0.003331309845222986,0.86624,1110.5351572036743,128,0.00564130616572206,shap,kernel,influence,none,Not needed,Not needed,Not needed,128,35.58398199081421,128
0.009826613551268381,0.5537599999999999,80.82218503952026,8,0.08804901296963996,shap,kernel,influence,none,Not needed,Not needed,Not needed,8,35.820234298706055,8
0.00617069500300744,0.7593599999999999,144.60145258903503,16,0.0475257425362145,shap,kernel,influence,none,Not needed,Not needed,Not needed,16,34.77891993522644,16
0.0071722684100876755,0.7431999999999999,279.21834659576416,32,0.029947174948041833,shap,kernel,influence,none,Not needed,Not needed,Not needed,32,35.29925203323364,32
0.003767148848379529,0.8371199999999999,558.0886187553406,64,0.010840109972946765,shap,kernel,influence,none,Not needed,Not needed,Not needed,64,36.21435594558716,64
0.0029019869890959745,0.9060799999999999,1111.7553489208221,128,0.00613090986705378,shap,kernel,influence,none,Not needed,Not needed,Not needed,128,35.61271286010742,128
0.01572932119908811,0.6976,80.73590159416199,8,0.09931140319683623,shap,kernel,influence,none,Not needed,Not needed,Not needed,8,35.9439332485199,8
0.00895156441803998,0.7087999999999999,145.41361093521118,16,0.04548490411620559,shap,kernel,influence,none,Not needed,Not needed,Not needed,16,37.41306924819946,16
0.006403468184600463,0.7207999999999999,279.91987466812134,32,0.028828281323157012,shap,kernel,influence,none,Not needed,Not needed,Not needed,32,34.97588634490967,32
0.003826850895238842,0.8649599999999998,560.6563675403595,64,0.01703632610706235,shap,kernel,influence,none,Not needed,Not needed,Not needed,64,34.79998803138733,64
0.0031054009547454484,0.9100799999999999,1110.2971744537354,128,0.007620289596752372,shap,kernel,influence,none,Not needed,Not needed,Not needed,128,36.63062620162964,128
0.015458183808466738,0.6038399999999999,79.63561749458313,8,0.10749907525328073,shap,kernel,influence,none,Not needed,Not needed,Not needed,8,35.54848599433899,8
0.007899174773620187,0.7867199999999999,142.83654260635376,16,0.05815570406316006,shap,kernel,influence,none,Not needed,Not needed,Not needed,16,35.74800968170166,16
0.008126191606396032,0.74224,279.45385217666626,32,0.025403206179872573,shap,kernel,influence,none,Not needed,Not needed,Not needed,32,35.901872873306274,32
0.0033438139534061008,0.88064,561.4221694469452,64,0.01245830442276974,shap,kernel,influence,none,Not needed,Not needed,Not needed,64,35.813177824020386,64
0.002599032894648759,0.91648,1110.4034900665283,128,0.004492942604394701,shap,kernel,influence,none,Not needed,Not needed,Not needed,128,35.80188870429993,128
