mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.012525613233757801,0.63344,100.35515260696411,5,0.10164974036656449,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0017328262329101562,5
0.008396587039209962,0.7292799999999999,145.16728520393372,10,0.04915370172760386,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0020227432250976562,10
0.006372136737793763,0.7916799999999999,234.72182655334473,20,0.02395338265423791,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0019125938415527344,20
0.005775521445168051,0.8571199999999999,416.67238116264343,40,0.01349827384827329,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0018374919891357422,40
0.004686603913674489,0.8711999999999999,763.2088222503662,80,0.007064650114426307,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0016176700592041016,80
0.01656073875654365,0.5294399999999999,99.31036448478699,5,0.10857651173718935,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0018489360809326172,5
0.008472916790451668,0.7296,144.57955694198608,10,0.0416131988288142,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0018439292907714844,10
0.004531513683127954,0.87184,234.501540184021,20,0.021655746357605754,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.002002239227294922,20
0.005737840647686516,0.8662400000000001,415.35289764404297,40,0.010234543323072887,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0018053054809570312,40
0.005434432255383741,0.884,776.7703604698181,80,0.006208920396505557,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0015971660614013672,80
0.012672769767815503,0.52944,99.1741156578064,5,0.10854624372358584,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0018215179443359375,5
0.00794344212473563,0.7740799999999999,145.71547150611877,10,0.04861884065964428,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0018355846405029297,10
0.006572153903359489,0.8577599999999999,234.86860036849976,20,0.023630568679136044,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0018820762634277344,20
0.005135191693354582,0.8537599999999999,415.45701694488525,40,0.011540429302366706,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.001842498779296875,40
0.0046473037844357605,0.8630399999999999,776.8596000671387,80,0.006572485039788578,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0016007423400878906,80
0.014879270987549457,0.56816,99.73867416381836,5,0.10429535456220967,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0018520355224609375,5
0.01095972125768463,0.7324799999999999,147.10318899154663,10,0.04942010979705019,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0018124580383300781,10
0.006008148489102194,0.8712,239.27264213562012,20,0.023207340757833317,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.001827239990234375,20
0.00524345538252828,0.8537600000000001,418.7703928947449,40,0.01057500274432549,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0018830299377441406,40
0.004801439586066812,0.8657599999999999,792.3233933448792,80,0.006115079609385454,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0016565322875976562,80
0.012161978547807569,0.5737599999999999,101.01462364196777,5,0.0927412571218812,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.001973867416381836,5
0.008859517303459788,0.7387199999999999,148.61360430717468,10,0.04609998524102249,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0018606185913085938,10
0.00792292872737021,0.7705599999999999,239.84498929977417,20,0.024189575121272955,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0057446956634521484,20
0.006924991846923132,0.9001600000000001,425.16257882118225,40,0.013602386050386162,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0017652511596679688,40
0.004985850436470303,0.8684799999999999,792.5650370121002,80,0.006057956941778797,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0016133785247802734,80
0.01525303703519323,0.58144,99.9627857208252,5,0.10679363654915597,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0017924308776855469,5
0.009037536938490968,0.7212799999999999,144.1302366256714,10,0.04765092087231709,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.005572080612182617,10
0.005936028674627461,0.8548800000000001,234.3982126712799,20,0.022682247398062405,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.001832723617553711,20
0.004681385420591709,0.8748799999999999,416.9926016330719,40,0.011735394762475038,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.001775979995727539,39
0.005266180905371657,0.8803199999999999,776.48641705513,80,0.0066253988966046284,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.006752967834472656,80
0.012645467945638013,0.54608,98.97468566894531,5,0.09816400087293586,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0018210411071777344,5
0.008863231372357097,0.7291199999999999,144.2226529121399,10,0.051960670272659326,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0019605159759521484,10
0.006958904464126648,0.83568,234.55706143379211,20,0.024626158970301126,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.001863718032836914,20
0.006267630289308234,0.868,406.39610981941223,40,0.011865663747187005,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0018527507781982422,40
0.00510885486195369,0.8865599999999999,765.4907782077789,80,0.007212040326806224,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.001508951187133789,80
0.016635360871436345,0.5692799999999999,99.22020864486694,5,0.11153297986850425,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0017857551574707031,5
0.009902517768122404,0.7635199999999999,144.55737161636353,10,0.05000484994170867,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0018291473388671875,10
0.008729702081023572,0.76784,234.60730838775635,20,0.02225580084034645,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.005079030990600586,20
0.007923057940920701,0.8736,410.5470383167267,40,0.011989273754251795,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0017845630645751953,40
0.004776255579021263,0.8843200000000001,775.86008644104,80,0.005926486639423523,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.001535177230834961,80
0.01575818935459607,0.5566399999999999,98.74809241294861,5,0.11190532980929085,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0017955303192138672,5
0.009983266595985876,0.708,144.33343982696533,10,0.04914492143171978,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0018224716186523438,10
0.008113313573450543,0.81168,234.9806923866272,20,0.022208062060001255,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0018239021301269531,20
0.004784890640277968,0.87008,409.10354804992676,40,0.01215965873840641,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0018172264099121094,40
0.004694378561797739,0.888,776.4784440994263,80,0.006420204158339826,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0015685558319091797,80
0.01201598287450447,0.5352,98.9274263381958,5,0.098372030840634,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0017969608306884766,5
0.009319301591809836,0.6243199999999999,144.90642738342285,10,0.04916192814877063,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0018897056579589844,10
0.006557329020908235,0.8345599999999999,234.99978256225586,20,0.023054252776667672,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0018079280853271484,20
0.004864932059834059,0.8657599999999999,415.0112235546112,40,0.010127063784168,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0018641948699951172,40
0.005052567363769506,0.9009600000000002,771.840959072113,80,0.006685393666404693,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0015676021575927734,80
