mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0144541694301617,0.6,6.918150424957275,8,0.22631154511892965,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.013043880462646484,6
0.0037849729379044435,0.8,6.87441873550415,16,0.10807514888661274,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.011702299118041992,12
0.003990984628987561,0.8,14.836345672607422,32,0.045891286363120676,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.04190683364868164,25
0.002584452628026735,1.0,25.762467861175537,64,0.028777307208768865,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.04136204719543457,50
0.001915209701759274,1.0,50.57015419006348,128,0.013192736767479563,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.09884929656982422,101
0.014565834226564215,0.6,1.773542881011963,8,0.22631154511892965,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.006306886672973633,6
0.003721803684878822,0.8,5.719979286193848,16,0.10807514888661274,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.011265754699707031,12
0.004451514408857133,0.8,14.150668144226074,32,0.045891286363120676,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.0409398078918457,25
0.0026683179746766483,1.0,26.058806896209717,64,0.028777307208768865,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.04629921913146973,50
0.00221411333223975,1.0,49.470980405807495,128,0.013192736767479563,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.09972882270812988,101
0.014157954745878176,0.6,1.8977186679840088,8,0.22631154511892965,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.0071086883544921875,6
0.004015416986265173,0.8,5.1826512813568115,16,0.10807514888661274,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.013780832290649414,12
0.004208542042407909,0.8,13.698296546936035,32,0.045891286363120676,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.02579951286315918,25
0.0022912076047911416,1.0,27.469738960266113,64,0.028777307208768865,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.04974722862243652,50
0.00206727905783653,1.0,47.70667338371277,128,0.013192736767479563,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.08686017990112305,101
0.014180265392380955,0.6,1.984205722808838,8,0.22631154511892965,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.0064411163330078125,6
0.003972024172829921,0.8,5.8444201946258545,16,0.10807514888661274,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.015052556991577148,12
0.00404598356174714,1.0,13.986063957214355,32,0.045891286363120676,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.023674726486206055,25
0.002529894259195936,1.0,27.63955020904541,64,0.028777307208768865,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.04415011405944824,50
0.002065721588307209,1.0,50.754361629486084,128,0.013192736767479563,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.11351418495178223,101
0.01465276066435996,0.6,1.8839216232299805,8,0.22631154511892965,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.006572246551513672,6
0.003596132651870569,0.8,5.473821640014648,16,0.10807514888661274,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.012663125991821289,12
0.004413114777563549,0.8,12.330518960952759,32,0.045891286363120676,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.02382516860961914,25
0.002481542506985829,1.0,29.39415454864502,64,0.028777307208768865,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.046366214752197266,50
0.002072453225866214,1.0,54.9496111869812,128,0.013192736767479563,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.08748722076416016,101
0.013816289491165099,0.6,2.2889997959136963,8,0.22631154511892965,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.006900310516357422,6
0.0040182382113424,0.8,5.647668838500977,16,0.10807514888661274,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.012723445892333984,12
0.004477924470044158,0.8,12.796695470809937,32,0.045891286363120676,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.021625041961669922,25
0.002522597743485054,0.8,28.362412214279175,64,0.028777307208768865,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.07494401931762695,50
0.0019361636304700454,1.0,49.97736978530884,128,0.013192736767479563,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.09110760688781738,101
0.014823438598120043,0.6,2.7473466396331787,8,0.22631154511892965,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.009345293045043945,6
0.004030601752814629,0.8,5.815328598022461,16,0.10807514888661274,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.013712406158447266,12
0.0045753721302396605,0.8,12.938940525054932,32,0.045891286363120676,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.023136615753173828,25
0.002370894008095285,1.0,29.95134687423706,64,0.028777307208768865,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.043326616287231445,50
0.0017007638940463282,1.0,55.64435052871704,128,0.013192736767479563,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.09188365936279297,101
0.013683614567822359,0.6,2.0843400955200195,8,0.22631154511892965,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.012908220291137695,6
0.0032986851057428593,0.8,5.463768243789673,16,0.10807514888661274,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.011204242706298828,12
0.0044474271031579105,0.8,13.69637131690979,32,0.045891286363120676,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.02219533920288086,25
0.0027345798603014854,0.8,26.91451096534729,64,0.028777307208768865,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.054921865463256836,50
0.001960587788251551,1.0,56.06127905845642,128,0.013192736767479563,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.10090851783752441,101
0.014181629159591817,0.6,1.9561257362365723,8,0.22631154511892965,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.014304161071777344,6
0.003943634676992181,0.8,5.665027618408203,16,0.10807514888661274,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.012023210525512695,12
0.004518183393019555,0.8,12.717772722244263,32,0.045891286363120676,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.028744935989379883,25
0.002439051514127014,1.0,28.28372597694397,64,0.028777307208768865,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.04372382164001465,50
0.002029981011884511,1.0,49.71251368522644,128,0.013192736767479563,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.09201669692993164,101
0.014136559365328658,0.6,1.9881322383880615,8,0.22631154511892965,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.00649571418762207,6
0.003820465229904959,0.8,6.363181829452515,16,0.10807514888661274,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.012443780899047852,12
0.004566318334298306,0.8,13.073862552642822,32,0.045891286363120676,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.02201700210571289,25
0.002392661411095498,1.0,27.043887853622437,64,0.028777307208768865,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.05446815490722656,50
0.002097471551353568,1.0,55.74828577041626,128,0.013192736767479563,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.08703756332397461,101
