mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.01900491735153938,0.5062399999999999,117.70497107505798,8,0.22631154511892965,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.015511035919189453,6
0.01127087378575295,0.70112,185.2590970993042,16,0.10807514888661274,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.016997337341308594,12
0.007454759236192622,0.7139199999999999,320.25613832473755,32,0.045891286363120676,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.02971196174621582,25
0.006693807239275648,0.73008,591.0458841323853,64,0.028777307208768865,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.057994842529296875,50
0.004593761894148137,0.8352,1131.7704243659973,128,0.013192736767479563,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.11537885665893555,101
0.019031067889517223,0.50848,117.57377910614014,8,0.22631154511892965,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.01692509651184082,6
0.011280039146038555,0.6985599999999998,185.1341245174408,16,0.10807514888661274,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.03103470802307129,12
0.007457643481720176,0.7111999999999999,321.2703928947449,32,0.045891286363120676,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.037134647369384766,25
0.006694024106865918,0.72672,589.404218673706,64,0.028777307208768865,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.0991058349609375,50
0.004572907631160312,0.8358399999999999,1131.5880410671234,128,0.013192736767479563,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.21296119689941406,101
0.018990733695919478,0.5104,117.0648283958435,8,0.22631154511892965,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.009003400802612305,6
0.011270330897895144,0.6992,184.79451823234558,16,0.10807514888661274,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.015768766403198242,12
0.007465006499544499,0.7131199999999999,318.38376092910767,32,0.045891286363120676,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03157162666320801,25
0.006696512964875113,0.72608,589.333578824997,64,0.028777307208768865,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.05430936813354492,50
0.004562860788056721,0.8369599999999998,1132.1644151210785,128,0.013192736767479563,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.12678980827331543,101
0.018997721781646864,0.50736,118.20871806144714,8,0.22631154511892965,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008913516998291016,6
0.011260371491851703,0.6987199999999999,185.13547086715698,16,0.10807514888661274,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.017281293869018555,12
0.007452233884605073,0.71344,320.94348907470703,32,0.045891286363120676,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.027601957321166992,25
0.006692679486249447,0.72688,593.8067817687988,64,0.028777307208768865,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.05968213081359863,50
0.0045976989947523915,0.8384,1132.6132390499115,128,0.013192736767479563,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.12979841232299805,101
0.018974293235515246,0.5083200000000001,117.47717237472534,8,0.22631154511892965,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0237276554107666,6
0.011258411355219478,0.7020799999999999,185.43635964393616,16,0.10807514888661274,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01630377769470215,12
0.0074535434500829474,0.7140799999999999,320.46803975105286,32,0.045891286363120676,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03023815155029297,25
0.006683623772246859,0.72656,591.1912887096405,64,0.028777307208768865,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.08024787902832031,50
0.004586773022570426,0.8361599999999999,1130.6130156517029,128,0.013192736767479563,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.12565064430236816,101
0.018997470026808547,0.51088,117.81148099899292,8,0.22631154511892965,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008651256561279297,6
0.01124802540131849,0.6984,185.55021858215332,16,0.10807514888661274,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.027091503143310547,12
0.007472734694876331,0.7136,320.8814251422882,32,0.045891286363120676,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03913569450378418,25
0.00668484239981761,0.72656,589.3144152164459,64,0.028777307208768865,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06270146369934082,50
0.004575179136292404,0.8364799999999999,1128.0814595222473,128,0.013192736767479563,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.16753125190734863,101
0.018996740622571378,0.5083200000000001,117.5523636341095,8,0.22631154511892965,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008210182189941406,6
0.011273671182057448,0.6972799999999999,184.7254078388214,16,0.10807514888661274,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.015230655670166016,12
