mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.05527666583657265,0.75498046875,221.49884295463562,10,0.06114729718544121,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.022855520248413086,10
0.034578196704387665,0.852978515625,394.86608815193176,20,0.028966219999364662,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.022494792938232422,20
0.028850749135017395,0.8758300781250001,714.1103541851044,40,0.013101852446336992,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.031485557556152344,40
0.025337982922792435,0.8916503906250002,1166.76064991951,80,0.006316693561204456,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.026042938232421875,80
0.01887788437306881,0.9026367187500001,1711.8075020313263,160,0.0031092914773843128,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.0245819091796875,160
0.019318467006087303,0.913330078125,3623.000376701355,320,0.0024173608952630654,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.023250818252563477,320
0.052856575697660446,0.7877441406250001,230.18176770210266,10,0.05769395757687923,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.024726390838623047,10
0.03742517530918121,0.8453125000000001,398.5763659477234,20,0.02627995505405023,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.024031639099121094,20
0.029564185068011284,0.871337890625,715.7371053695679,40,0.01219984100939242,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0238344669342041,40
0.023316683247685432,0.901318359375,1168.556580066681,80,0.006073397447419637,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.023891687393188477,80
0.021514596417546272,0.900830078125,1699.0979673862457,160,0.004036990873812651,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.02730393409729004,160
0.019211506471037865,0.8999023437500001,3624.5791552066803,320,0.00251396094442613,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.02298569679260254,320
0.05335158109664917,0.7774902343750001,248.90877866744995,10,0.059783403226803644,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.024486541748046875,10
0.03349245712161064,0.8529296875000001,406.97261905670166,20,0.02552154472807666,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.024933815002441406,20
0.02922481670975685,0.8641113281250001,736.8132967948914,40,0.013969701147986457,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.023550033569335938,40
0.024101825430989265,0.88046875,1198.15287399292,80,0.0059551002583975166,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.026558637619018555,80
0.020384786650538445,0.9110351562500001,1730.743178844452,160,0.0034709467197504007,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.026532888412475586,160
0.018411532044410706,0.908935546875,3711.3648257255554,320,0.002617799642448182,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.022250890731811523,320
0.06109984964132309,0.7513671875,249.47556710243225,10,0.06945404363438079,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.024382829666137695,10
0.03676120564341545,0.849609375,411.25240755081177,20,0.028147034975916307,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.026729583740234375,20
0.027422696352005005,0.892822265625,733.3890869617462,40,0.012372484665742478,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.024401187896728516,40
0.021838635206222534,0.9068359375000001,1164.9186129570007,80,0.006416163947075837,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.023256778717041016,80
0.021103786304593086,0.9041503906250001,1714.499538898468,160,0.00376391990466024,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.023741960525512695,160
0.01951025053858757,0.9062500000000001,3547.8696303367615,320,0.0025220921196446033,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.022292613983154297,320
0.0466470941901207,0.8013671875,247.22989630699158,10,0.05455240353349411,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.02818441390991211,10
0.03984696418046951,0.8409667968750001,402.97906136512756,20,0.02589612656940332,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.022359848022460938,20
0.0283635426312685,0.8791992187500002,697.0959236621857,40,0.012144705786819143,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.027896404266357422,40
0.021487675607204437,0.902294921875,1193.7803106307983,80,0.005359018646803437,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.02512526512145996,80
0.019748328253626823,0.908642578125,1716.0049180984497,160,0.0032784754371114055,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.04178166389465332,160
0.020937029272317886,0.8943359375000001,3629.046373128891,320,0.002780114035270176,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.02286386489868164,320
0.048591066151857376,0.7935546875,289.65143871307373,10,0.06249408877321361,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.02425980567932129,10
0.04526684060692787,0.8094238281250001,449.18087339401245,20,0.02798101518956919,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.027841567993164062,20
0.0276572797447443,0.8719726562500001,775.6054148674011,40,0.011489968242736404,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.022829532623291016,40
0.027231886982917786,0.8889648437500001,1230.6487038135529,80,0.0065743012245410015,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.02778911590576172,80
0.019430512562394142,0.9102050781250001,1765.1722090244293,160,0.0033087503170047827,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.025171518325805664,160
0.017308101058006287,0.9148925781250001,3695.0841588974,320,0.0024720983706451594,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.028048038482666016,320
0.049788493663072586,0.80146484375,283.64653730392456,10,0.060445582606249104,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.026837587356567383,10
0.03636253625154495,0.8553222656250001,463.73283648490906,20,0.027652387473686924,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.02826833724975586,20
0.02945789135992527,0.8740234375000001,754.9070777893066,40,0.011445478240769025,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.02628803253173828,40
0.027980444952845573,0.8826171875000002,1167.3065893650055,80,0.0059209112312286205,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.027353763580322266,80
0.02022201009094715,0.9064941406250001,1780.0259702205658,160,0.003662875591829373,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.023572921752929688,160
0.017934007570147514,0.9130859375,3645.3424243927,320,0.002235554901163783,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.025540590286254883,320
0.05285225063562393,0.7767089843750001,290.0287215709686,10,0.06887612198292925,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.02789592742919922,10
0.03738674521446228,0.8533691406250001,453.0015833377838,20,0.031000101878371544,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.026163101196289062,20
0.02954092249274254,0.8791503906250001,759.2575876712799,40,0.011746146377289213,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.026894092559814453,40
0.02489292249083519,0.888720703125,1182.918267250061,80,0.006005054627575113,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.026716232299804688,80
0.020989861339330673,0.898876953125,1747.8239793777466,160,0.0033096176677522293,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.023520231246948242,159
0.01857440546154976,0.9112304687500001,3619.75536775589,320,0.0024941114337301284,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.02250528335571289,320
0.05571778863668442,0.7660156250000001,277.17191791534424,10,0.06300734965107113,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.026589632034301758,10
0.03958480432629585,0.8559570312500001,445.33663177490234,20,0.028508595691289274,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.023744583129882812,20
0.027073923498392105,0.8977539062500002,745.7689304351807,40,0.012144900965163186,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.02943253517150879,40
0.0270775705575943,0.8897949218750001,1188.5229649543762,80,0.006675646757123177,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.027322769165039062,80
0.02171364799141884,0.8993164062500001,1712.2021350860596,160,0.003773490938866919,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.025562286376953125,159
0.01745999976992607,0.9090820312500001,3595.4903242588043,320,0.0025212339854939203,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.02294611930847168,320
0.05337657034397125,0.7877441406250001,323.42034792900085,10,0.06624416559147761,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.02637505531311035,10
0.03213674575090408,0.8770996093750001,465.14320516586304,20,0.027303871244192535,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.023025035858154297,20
0.026466628536581993,0.8943847656250001,772.02263879776,40,0.012410887726938769,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.023909807205200195,40
0.02396882325410843,0.8886718750000001,1186.48686170578,80,0.006287336173774638,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.02700972557067871,80
0.01908000558614731,0.9048339843750001,1754.1686737537384,160,0.003126163760372336,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.027805089950561523,159
0.01799432560801506,0.91083984375,3629.445620059967,320,0.0022593602334594065,expected_gradients,na,kernel_thinning,stratified,Not needed,Not needed,Not needed,256,0.02545952796936035,320
