mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0030776390618015657,0.8490234375000001,44.898926734924316,16,0.005098325312840601,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.24974679946899414,16
0.002323701262756995,0.8827148437500001,84.3729157447815,32,0.003706969104077751,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.255476713180542,32
0.0014091943276295102,0.927685546875,158.9976418018341,64,0.0012628546127210205,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.2548515796661377,63
0.0010342279265362587,0.9424316406250001,314.61502599716187,128,0.0004683507861444891,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.25602126121520996,123
0.0005612582254318367,0.966748046875,614.2827486991882,256,0.0002348394539882781,shapiq,kernel,kernel_thinning,gaussian,4,32,256.0,0.25553250312805176,234
0.05910901048540467,0.31640625,44.600072622299194,16,1.2623788511611866,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.3340165615081787,1
0.05910901048540467,0.31640625,84.04023027420044,32,1.2623788511611866,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.3349335193634033,1
0.025706046263201623,0.507080078125,160.51467633247375,64,1.2378098367190344,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.3357992172241211,1
0.025706046263201623,0.507080078125,314.35039472579956,128,1.2378098367190344,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.3391890525817871,1
0.059109016614107474,0.31694335937500007,611.6543354988098,256,1.2623788511611866,shapiq,kernel,kernel_thinning,sobolev,4,32,256.0,0.3374600410461426,1
0.0031224717751629815,0.8403808593750001,45.58491349220276,16,0.004868391571665742,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.24836230278015137,16
0.002559729687586802,0.8881347656250002,83.15711522102356,32,0.0024995730268907446,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.25222349166870117,32
0.000950819985663228,0.95166015625,161.44934368133545,64,0.0008129332408035594,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.2429337501525879,64
0.0008555320182846442,0.951025390625,311.79613733291626,128,0.00038312697677611585,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.24323320388793945,123
0.0005435961492113431,0.9708007812500001,614.9030895233154,256,0.00024079529714549075,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,256.0,0.24383330345153809,244
0.002935264262441186,0.8607910156250002,44.71018719673157,16,0.0049125732781092335,shapiq,kernel,kernel_thinning,matern,4,32,16.0,0.32843923568725586,16
0.0025650755148966787,0.88544921875,80.78150749206543,32,0.0026288527525752947,shapiq,kernel,kernel_thinning,matern,4,32,32.0,0.32390832901000977,32
0.00094951553040629,0.9520507812500001,158.4767198562622,64,0.0010072139393055846,shapiq,kernel,kernel_thinning,matern,4,32,64.0,0.32554149627685547,64
0.0007042896813481543,0.9659179687500001,317.72598028182983,128,0.000388865323133758,shapiq,kernel,kernel_thinning,matern,4,32,128.0,0.3278515338897705,128
0.00045146415832408664,0.971728515625,616.437139749527,256,0.00026672139773276093,shapiq,kernel,kernel_thinning,matern,4,32,256.0,0.3293468952178955,256
0.0030776390618015657,0.8490234375000001,46.60975170135498,16,0.005098325312840601,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.25590968132019043,16
0.0023296422697593904,0.8823730468750002,83.63973999023438,32,0.0037053379942092457,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.2537879943847656,32
