mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.001541511808064747,1.0,16.76716685295105,16,0.00794823993487681,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.019403934478759766,16
0.0026452551316039734,1.0,35.22955679893494,32,0.005495461578742478,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.03891253471374512,32
0.0022323264579537953,1.0,52.68590784072876,64,0.016263923212059106,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.06978034973144531,64
0.0015177952369645564,0.8,94.64999079704285,128,0.02053251958002439,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.13810372352600098,128
0.004083753221595164,1.0,180.3101007938385,256,0.02338961590357047,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.27461981773376465,253
0.00168465366941803,0.8,14.192003965377808,16,0.00794823993487681,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.018685579299926758,16
0.001779993761517308,1.0,37.906760454177856,32,0.005495461578742478,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.04273414611816406,32
0.0018229238840190467,1.0,50.73162531852722,64,0.016263923212059106,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.07000207901000977,64
0.0023429234452206128,0.8,74.85804009437561,128,0.02053251958002439,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.13791966438293457,128
0.0030463153185869628,1.0,174.81362390518188,256,0.02338961590357047,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.2737746238708496,253
0.0010968929897798088,1.0,18.418015003204346,16,0.00794823993487681,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.020690202713012695,16
0.0023269084967951267,1.0,32.37375044822693,32,0.005495461578742478,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.08796930313110352,32
0.0031607224868326323,1.0,40.77608942985535,64,0.016263923212059106,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.07167267799377441,64
0.001959535548715271,1.0,86.90412998199463,128,0.02053251958002439,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.13820862770080566,128
0.0030510102668400408,1.0,161.58354902267456,256,0.02338961590357047,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.2750105857849121,253
0.001299557399448974,1.0,15.17085337638855,16,0.00794823993487681,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.019927978515625,16
0.0018826438417179,1.0,29.415852546691895,32,0.005495461578742478,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.035913944244384766,32
0.001753108778416141,1.0,54.488839626312256,64,0.016263923212059106,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.07032895088195801,64
0.0017087033370450824,1.0,90.04627227783203,128,0.02053251958002439,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.13813471794128418,128
0.003211565882551448,1.0,167.34330320358276,256,0.02338961590357047,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.27549290657043457,253
0.0032438336145313323,1.0,11.360467433929443,16,0.00794823993487681,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.018572568893432617,16
0.002184225719274282,1.0,31.57898211479187,32,0.005495461578742478,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.03566145896911621,32
0.0013425162769549095,1.0,49.78670644760132,64,0.016263923212059106,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.07076001167297363,64
0.001907314722098804,1.0,84.35491394996643,128,0.02053251958002439,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.16756868362426758,128
0.004294284658942343,1.0,174.0263397693634,256,0.02338961590357047,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.27369165420532227,253
0.001251646008162717,1.0,16.508286237716675,16,0.00794823993487681,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.01909351348876953,16
0.0022542965556873805,1.0,31.89914870262146,32,0.005495461578742478,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.0371856689453125,32
0.003529778955697925,1.0,31.05902934074402,64,0.016263923212059106,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.0704965591430664,64
0.0021062080413793943,0.8,82.36293053627014,128,0.02053251958002439,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.13819408416748047,128
0.004080339497365862,1.0,153.4388325214386,256,0.02338961590357047,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.317432165145874,253
0.0012937412095485122,0.8,14.074073314666748,16,0.00794823993487681,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.018544912338256836,16
0.002886582517270373,1.0,36.81065583229065,32,0.005495461578742478,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.03562331199645996,32
0.0027629244643119937,1.0,41.68845558166504,64,0.016263923212059106,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.06949377059936523,64
0.0031124607527174396,1.0,87.30563259124756,128,0.02053251958002439,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.13861513137817383,128
0.004423683539047752,1.0,152.88822960853577,256,0.02338961590357047,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.2742917537689209,253
0.0007357312434290558,1.0,15.317725896835327,16,0.00794823993487681,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.01866888999938965,16
0.001858267105748708,1.0,35.87207269668579,32,0.005495461578742478,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.03567337989807129,32
0.0016076018024619206,1.0,50.966352701187134,64,0.016263923212059106,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.06994080543518066,64
0.0024136326430207063,1.0,85.18154406547546,128,0.02053251958002439,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.14052557945251465,128
0.0031470826105615287,1.0,195.74585914611816,256,0.02338961590357047,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.2746138572692871,253
