mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0039834931445130025,1.0,5.606292724609375,8,0.08650184668674421,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,33.08705258369446,1
0.004208036807256957,1.0,2.0075016021728516,16,0.03980549691050472,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,44.05816149711609,1
0.0016374321845966423,1.0,4.568108081817627,32,0.027305297428812714,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,56.246604442596436,1
0.0014573614517189647,1.0,8.989558935165405,64,0.009585401292886653,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,44.59143042564392,1
0.0024589584882189737,1.0,15.85600996017456,128,0.008315580840402959,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,32.51245594024658,1
0.0032290328309143696,1.0,0.8448805809020996,8,0.07609353241005767,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,44.18770384788513,1
0.008401357719570422,1.0,2.6517863273620605,16,0.06092736354220718,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,44.253432750701904,1
0.008313231083258793,1.0,3.2930314540863037,32,0.0219812946863418,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,44.70221257209778,1
0.0022437452510286693,1.0,8.963215112686157,64,0.0135887436183878,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,55.8078773021698,1
0.0024534988114927564,1.0,16.535203218460083,128,0.0067842870743046735,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,32.86274242401123,1
0.0034432481071915997,1.0,0.9170651435852051,8,0.1052565849885908,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,44.777055740356445,1
0.004499338492364486,1.0,1.2233161926269531,16,0.0376200953534469,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,44.70354890823364,1
0.004656007762289689,1.0,4.4294843673706055,32,0.03662227496978554,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,56.5439772605896,1
0.002697150203724169,1.0,7.295577049255371,64,0.01112645034201476,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,55.80225706100464,1
0.001953863814280225,1.0,16.705785751342773,128,0.010124788479041191,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,44.7196159362793,1
0.003969840890036617,1.0,1.092386245727539,8,0.07252217229351055,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,44.687339544296265,1
0.006146377371090232,1.0,1.3793632984161377,16,0.09162666596415425,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,56.35386037826538,1
0.002419973811334681,1.0,6.049133539199829,32,0.018483363310159096,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,44.430827140808105,1
0.0017177478626843852,1.0,8.20353102684021,64,0.01443235758771988,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,56.18820810317993,1
0.0032540568583649837,1.0,14.461331605911255,128,0.0077759029864824525,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,44.05680274963379,1
0.006703354694706147,1.0,0.6435961723327637,8,0.09416104167267447,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,56.02981472015381,1
0.001448136643793956,1.0,2.2534573078155518,16,0.029192921804586436,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,67.28721737861633,1
0.009499424428519185,1.0,2.0680923461914062,32,0.03613574586398627,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,44.51488399505615,1
0.0029237248293137053,1.0,8.505571126937866,64,0.013306016219118533,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,67.68961572647095,1
0.0016795293813520492,1.0,24.559949159622192,128,0.017305366184082627,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,56.101426124572754,1
0.003801042732838485,1.0,0.7866337299346924,8,0.0818083444457649,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,56.06769609451294,1
0.0023216934377687953,1.0,1.7614977359771729,16,0.03375760411983364,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,44.40162634849548,1
0.005468032432764201,1.0,3.4681663513183594,32,0.021367958704949452,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,44.81261086463928,1
0.002135079206488661,1.0,7.01581597328186,64,0.02083073269705793,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,56.046234130859375,1
0.0020058181996973584,1.0,17.429254293441772,128,0.011787752698515952,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,56.1117844581604,1
0.0034012906461592107,1.0,0.7904646396636963,8,0.13447895710428726,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,56.65959024429321,1
0.006413159372916232,1.0,1.6991770267486572,16,0.04787807436724589,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,44.23544144630432,1
0.0022781793260337898,1.0,3.3059003353118896,32,0.025999410631476372,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,44.56267857551575,1
0.001996969508571211,1.0,8.731668949127197,64,0.011319289876527416,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,67.59286451339722,1
0.0019119755984142697,1.0,18.055140733718872,128,0.006662291380377661,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,33.487470626831055,1
0.005685094357693792,1.0,0.7594485282897949,8,0.08155445734689304,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,67.59676933288574,1
0.002453140873282169,1.0,1.6481268405914307,16,0.037337483084619705,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,44.23716497421265,1
0.0040230829232772505,1.0,3.8383889198303223,32,0.025756863922142825,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,68.38310122489929,1
0.0019623334906314757,1.0,6.735503673553467,64,0.012802017650135,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,55.91355800628662,1
0.0017895469825950734,1.0,17.771881580352783,128,0.012417228059573793,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,67.84517621994019,1
0.008514295066290265,1.0,1.0920159816741943,8,0.1916321737336686,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,56.41816759109497,1
0.003115922361961517,1.0,1.9359862804412842,16,0.03181085866333855,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,44.78349256515503,1
0.0011627413339779908,1.0,3.4973692893981934,32,0.01823211176940831,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,44.00073051452637,1
0.002322312159622209,1.0,8.02098560333252,64,0.01622811561793258,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,32.70592021942139,1
0.0023559022401537675,1.0,19.610351085662842,128,0.009746357970312425,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,55.90422701835632,1
0.003144239432613838,1.0,1.0211811065673828,8,0.09140963352403597,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,44.57313847541809,1
0.008684055892641856,1.0,1.7612357139587402,16,0.042611633518119696,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,44.49173307418823,1
0.0023887313367827296,1.0,6.4311347007751465,32,0.03251801075854854,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,45.708446741104126,1
0.002160769794488208,1.0,8.548291683197021,64,0.013333234553812412,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,33.384820222854614,1
0.0021183429202318153,1.0,16.59729266166687,128,0.015308330134117032,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,79.4172785282135,1
