mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.017883456932091975,0.71923828125,121.9387001991272,8,0.08650184668674421,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,32.893388748168945,1
0.012353320712142261,0.8372070312500002,180.401353597641,16,0.03980549691050472,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,44.77435660362244,1
0.012658241548807373,0.7708984375000001,295.78697443008423,32,0.027305297428812714,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,56.14821195602417,1
0.008485134774517893,0.8924804687500001,613.1921789646149,64,0.009585401292886653,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,45.26826763153076,1
0.004131427818055498,0.9580078125,1161.713261604309,128,0.008315580840402959,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,33.27234673500061,1
0.017027700978937858,0.698046875,117.8346529006958,8,0.07609353241005767,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,46.582950830459595,1
0.023288728494330908,0.71044921875,177.0679967403412,16,0.06092736354220718,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,44.537190437316895,1
0.02136579579564077,0.8470703125000001,294.0600378513336,32,0.0219812946863418,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,44.557305097579956,1
0.004374591387819467,0.9042968750000001,610.9663662910461,64,0.0135887436183878,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,56.5176100730896,1
0.007011551910191341,0.8373046875000001,1165.7443327903748,128,0.0067842870743046735,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,33.21169853210449,1
0.02046598101634623,0.62763671875,115.9578332901001,8,0.1052565849885908,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,44.818214416503906,1
0.026520238946373426,0.8705078125000001,182.46242308616638,16,0.0376200953534469,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,46.34474515914917,1
0.01841927947261588,0.8157226562500001,297.7973449230194,32,0.03662227496978554,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,56.47499680519104,1
0.004195768800396682,0.94189453125,621.5344562530518,64,0.01112645034201476,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,55.31679129600525,1
0.005253036481411194,0.91962890625,1232.2961547374725,128,0.010124788479041191,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,47.28600597381592,1
0.015478057779066917,0.7693359375000001,115.82654786109924,8,0.07252217229351055,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,44.973403215408325,1
0.014609475796000616,0.8485351562500001,172.0356342792511,16,0.09162666596415425,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,56.26102018356323,1
0.011658995091216665,0.74853515625,300.71275305747986,32,0.018483363310159096,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,44.084211349487305,1
0.00772911693062804,0.9114257812500002,611.9943537712097,64,0.01443235758771988,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,55.96582078933716,1
0.008146201741865077,0.899609375,1183.085216999054,128,0.0077759029864824525,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,44.175881147384644,1
0.02866170317928258,0.7719726562500001,117.18106889724731,8,0.09416104167267447,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,59.54170203208923,1
0.016968573742990486,0.73046875,183.77431988716125,16,0.029192921804586436,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,70.72238636016846,1
0.023059715301182098,0.8550781250000001,306.6056785583496,32,0.03613574586398627,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,47.128438234329224,1
0.012196460377830867,0.82001953125,625.5443074703217,64,0.013306016219118533,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,68.76660346984863,1
0.006672944385138178,0.9039062500000001,1141.808930158615,128,0.017305366184082627,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,56.06573796272278,1
0.022467055633137424,0.73896484375,114.77162051200867,8,0.0818083444457649,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,55.50021195411682,1
0.012352841823987224,0.84443359375,171.98105192184448,16,0.03375760411983364,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,45.837212800979614,1
