mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0031666485715845247,0.50458984375,1163.0388314723969,8,0.08650184668674421,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,32.794960260391235,1
0.0024935748987907065,0.6075195312499999,1777.8557169437408,16,0.03980549691050472,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,43.87842297554016,1
0.002035404727679777,0.7037109375,3008.0350522994995,32,0.027305297428812714,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,56.5929970741272,1
0.0016279753420125546,0.7303710937500001,5494.622729539871,64,0.009585401292886653,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,44.4779634475708,1
0.0014104223719260806,0.79755859375,10415.010753154755,128,0.008315580840402959,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,32.41189408302307,1
0.003207814657420359,0.57412109375,1153.3788197040558,8,0.07609353241005767,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,44.491610050201416,1
0.0026343678537844406,0.64599609375,1766.5798699855804,16,0.06092736354220718,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,44.380730867385864,1
0.002017529997419718,0.721875,2997.2611339092255,32,0.0219812946863418,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,44.55648612976074,1
0.00147583480264257,0.8020507812500002,5441.7337765693665,64,0.0135887436183878,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,55.93052911758423,1
0.0014135141506231561,0.7899414062500001,10352.621317863464,128,0.0067842870743046735,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,32.86726927757263,1
0.003317400031077939,0.5107421875,1153.70716381073,8,0.1052565849885908,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,44.75267672538757,1
0.0023352401260810494,0.6142578125,1759.7399599552155,16,0.0376200953534469,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,44.626060962677,1
0.001930565745327446,0.71845703125,2986.2609374523163,32,0.03662227496978554,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,56.40617561340332,1
0.0014830615671071591,0.8062500000000001,5436.660418510437,64,0.01112645034201476,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,55.555399894714355,1
0.0014259411163931484,0.7934570312500001,10339.576743125916,128,0.010124788479041191,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,44.56225800514221,1
0.0035376280622323483,0.53349609375,1150.7691984176636,8,0.07252217229351055,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,44.21876120567322,1
0.0030479214225269252,0.5665039062499999,1764.4182455539703,16,0.09162666596415425,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,56.28772187232971,1
0.0017368097019341774,0.7615234375000001,2988.6376144886017,32,0.018483363310159096,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,44.33096218109131,1
0.0017776017221189867,0.69306640625,5439.65042591095,64,0.01443235758771988,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,56.046154737472534,1
0.0015553756454418355,0.7546875,10337.427321910858,128,0.0077759029864824525,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,44.16442918777466,1
0.00369660549852081,0.44921875,1152.1216278076172,8,0.09416104167267447,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,56.22236371040344,1
0.0025368704581475456,0.5798828125000001,1760.6240646839142,16,0.029192921804586436,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,67.68958449363708,1
0.0024244751797866215,0.56728515625,2993.951850414276,32,0.03613574586398627,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,44.4658522605896,1
0.0016936367892844677,0.7413085937500001,5432.949300527573,64,0.013306016219118533,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,68.27578020095825,1
0.0014707959522651164,0.8101562500000001,10351.67527270317,128,0.017305366184082627,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,56.18565106391907,1
0.003570633505244388,0.48027343750000007,1157.7204473018646,8,0.0818083444457649,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,55.80158877372742,1
0.0023413873414990247,0.68759765625,1774.414244890213,16,0.03375760411983364,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,43.9872190952301,1
0.0018091343435316007,0.7126953125,2987.9698235988617,32,0.021367958704949452,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,44.50693321228027,1
0.0017131425131507883,0.7224609375,5445.771409749985,64,0.02083073269705793,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,56.146167039871216,1
0.0013379230209703877,0.809765625,10367.123059988022,128,0.011787752698515952,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,55.99281716346741,1
0.0038879648631836533,0.49267578125,1150.4576790332794,8,0.13447895710428726,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,56.62169647216797,1
