mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.010576350194821789,1.0,4.159046411514282,8,0.056289397069352654,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.010274410247802734,8
0.008366282826344766,1.0,4.532123565673828,16,0.02846506897542711,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.017785310745239258,16
0.0034373048046556914,1.0,7.979885816574097,32,0.0200171376342152,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.03779244422912598,32
0.0009177274668937437,1.0,17.178417682647705,64,0.02466625625523955,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.07004737854003906,64
0.0025293797058623764,1.0,30.409191131591797,128,0.02596753665885465,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.15376758575439453,128
0.009380134236607992,1.0,2.70332670211792,8,0.056289397069352654,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.010021686553955078,8
0.004994104236083322,1.0,4.950576543807983,16,0.02846506897542711,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.018953323364257812,16
0.00445283908037157,1.0,7.842307090759277,32,0.0200171376342152,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.03258848190307617,32
0.0015441704070705696,1.0,15.200725555419922,64,0.02466625625523955,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.07073068618774414,64
0.0022389614366842233,1.0,25.04960346221924,128,0.02596753665885465,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.13298463821411133,128
0.008156833661080307,1.0,2.753636598587036,8,0.056289397069352654,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.009232521057128906,8
0.0059265792340533275,1.0,4.12363862991333,16,0.02846506897542711,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.018951892852783203,16
0.0035084220991268684,1.0,7.792508363723755,32,0.0200171376342152,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.033730506896972656,32
0.00333729160680802,1.0,16.11702799797058,64,0.02466625625523955,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.11844277381896973,64
0.0023386667478090886,1.0,25.725841999053955,128,0.02596753665885465,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.13958024978637695,128
0.0076010629165542964,1.0,2.669804811477661,8,0.056289397069352654,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.009842634201049805,8
0.00490164220316971,1.0,4.9452574253082275,16,0.02846506897542711,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.018605947494506836,16
0.004041458463687159,1.0,8.719250917434692,32,0.0200171376342152,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.06769299507141113,32
0.0016452464718817942,1.0,16.607344150543213,64,0.02466625625523955,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.06695294380187988,64
0.0023766275772098035,1.0,24.841891765594482,128,0.02596753665885465,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.13843464851379395,128
0.009174290367816192,1.0,2.441511631011963,8,0.056289397069352654,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.009202003479003906,8
0.006138045416165298,1.0,4.06944465637207,16,0.02846506897542711,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.018284320831298828,16
0.0043538684791908,1.0,8.218178987503052,32,0.0200171376342152,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.03417634963989258,32
0.000676938180578965,1.0,16.169289112091064,64,0.02466625625523955,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.1194758415222168,64
0.0012977670971584792,1.0,31.932696104049683,128,0.02596753665885465,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.12984848022460938,128
0.007835746979682224,1.0,2.5104026794433594,8,0.056289397069352654,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.009674787521362305,8
0.005969658501966581,1.0,4.4465413093566895,16,0.02846506897542711,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.01926732063293457,16
0.003133675929071301,1.0,8.986847400665283,32,0.0200171376342152,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.03384685516357422,32
