mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.021291205586534013,0.6615234375,240.87328481674194,8,0.056289397069352654,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.015609502792358398,8
0.01782995337447956,0.7054687500000001,392.922566652298,16,0.02846506897542711,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.019091367721557617,16
0.01461241473870881,0.746484375,700.5440700054169,32,0.0200171376342152,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.038754940032958984,32
0.009143983927097725,0.8979492187500001,1317.8639180660248,64,0.02466625625523955,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06918454170227051,64
0.00558194191383958,0.91572265625,2558.834737300873,128,0.02596753665885465,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.14647817611694336,128
0.021300761924406025,0.66142578125,237.26559114456177,8,0.056289397069352654,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010142087936401367,8
0.017832441727028164,0.7037109375,392.3319425582886,16,0.02846506897542711,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.019041776657104492,16
0.014610652470298888,0.74560546875,718.6226744651794,32,0.0200171376342152,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03786063194274902,32
0.0091601607760221,0.89765625,1362.615168094635,64,0.02466625625523955,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07257938385009766,64
0.0055768340113199685,0.9134765625000001,2638.976628780365,128,0.02596753665885465,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.13792991638183594,128
0.02129357011040029,0.6607421874999999,239.90516924858093,8,0.056289397069352654,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.01324152946472168,8
0.017833563375294917,0.7017578125,393.53338098526,16,0.02846506897542711,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.018482446670532227,16
0.014631772286228105,0.7463867187500001,705.7129592895508,32,0.0200171376342152,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03557133674621582,32
0.00915516531208893,0.8978515625000001,1326.585886478424,64,0.02466625625523955,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07207226753234863,64
0.0055889034095018796,0.9156250000000001,2553.8460640907288,128,0.02596753665885465,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.1397404670715332,128
0.021291542459763974,0.6623046875,238.55643224716187,8,0.056289397069352654,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.009649515151977539,8
0.01784437088903388,0.70341796875,393.79213285446167,16,0.02846506897542711,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.02000141143798828,16
