mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0026557809282961287,0.62568359375,1211.0092186927795,8,0.056289397069352654,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.012295246124267578,8
0.00209285193191987,0.70458984375,1844.633214712143,16,0.02846506897542711,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.019185304641723633,16
0.0016925551155018662,0.7599609375,3125.154470205307,32,0.0200171376342152,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.061589956283569336,32
0.0016269723867754662,0.7600585937500001,5676.109977483749,64,0.02466625625523955,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06948733329772949,64
0.0015676779443075132,0.76640625,11123.130551576614,128,0.02596753665885465,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.14660406112670898,128
0.0026539764140130987,0.62783203125,1249.8528966903687,8,0.056289397069352654,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010425090789794922,8
0.002094797902735209,0.702734375,1909.708965063095,16,0.02846506897542711,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.017887592315673828,16
0.0016915729964438484,0.7605468750000001,3184.199723005295,32,0.0200171376342152,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.06597638130187988,32
0.0016267202296328654,0.7580078125,5633.663397073746,64,0.02466625625523955,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.12350749969482422,64
0.0015688999510252977,0.76513671875,11056.005623579025,128,0.02596753665885465,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.14430856704711914,128
0.002657141483981056,0.62822265625,1289.3932723999023,8,0.056289397069352654,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010544538497924805,8
0.0020932711091723776,0.70263671875,1970.1601629257202,16,0.02846506897542711,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.018117189407348633,16
0.0016902783229048681,0.7595703125,3317.4772639274597,32,0.0200171376342152,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.036160945892333984,32
0.0016254264954792188,0.7589843750000002,6040.210261821747,64,0.02466625625523955,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06746363639831543,64
0.0015685807535424272,0.7654296875000001,11464.129595279694,128,0.02596753665885465,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.150590181350708,128
0.002654125195915274,0.62578125,1283.826092004776,8,0.056289397069352654,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010614156723022461,8
0.0020936937736654357,0.70595703125,1962.6737308502197,16,0.02846506897542711,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.019303560256958008,16
0.0016889143823309344,0.7603515625,3321.063042163849,32,0.0200171376342152,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.1515212059020996,32
0.0016267704215213992,0.75732421875,6033.323875427246,64,0.02466625625523955,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07301139831542969,64
0.001568020951489368,0.7673828125,11431.821413040161,128,0.02596753665885465,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.14403343200683594,128
0.0026536724124736964,0.62841796875,1284.8694517612457,8,0.056289397069352654,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010615110397338867,8
0.0020946554969311125,0.70078125,1964.3242757320404,16,0.02846506897542711,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.019359827041625977,16
