mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.01216348822507847,0.7517578125000002,358.41157269477844,16,0.03951229212763696,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,99.87176990509033,1
0.010017779172541845,0.8020996093750001,684.6558220386505,32,0.021752956791932454,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,141.05397820472717,1
0.008168816511468032,0.823681640625,1337.2689397335052,64,0.010099132149715917,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,99.95781111717224,1
0.006484684748290408,0.890380859375,2653.8210468292236,128,0.005514699973599324,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,99.74293375015259,1
0.006979876121455613,0.859375,5204.554706573486,256,0.0031517869040973423,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,99.44413375854492,1
0.01609439084698775,0.656103515625,354.34044790267944,16,0.03708711402420739,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,141.99218773841858,1
0.010917261190547313,0.8202148437500001,681.4195449352264,32,0.0211250249580619,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,100.15814781188965,1
0.007472177115876633,0.8894042968750001,1338.0667824745178,64,0.015209991956419922,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,99.6539659500122,1
0.006275905581168409,0.8751464843750002,2617.5861554145813,128,0.003262455199925296,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,140.8778157234192,1
0.006958972116998434,0.869580078125,5184.365373373032,256,0.0024919288909163173,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,98.59421706199646,1
0.01822940766359622,0.8233398437500001,359.4515006542206,16,0.1012517929525506,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,99.01867198944092,1
0.0204528957260835,0.7506347656250001,687.2444024085999,32,0.0667568394785415,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,99.05503964424133,1
0.010728614523629424,0.8241210937500001,1340.0688979625702,64,0.009619492630951854,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,99.76118683815002,1
0.008005529081276271,0.8287109375000001,2632.214096546173,128,0.005869479181179749,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,183.07947731018066,1
0.0059596433722759155,0.8693847656250001,5248.363806724548,256,0.0016356977596753142,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,99.92099046707153,1
0.009467452086350685,0.8453613281250001,356.0634672641754,16,0.03580697646489134,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,99.37801694869995,1
0.014629562864879942,0.8301757812500001,691.21076130867,32,0.029184007651725463,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,99.36129236221313,1
0.008233623683578722,0.8331542968750001,1358.4104158878326,64,0.013310169303493713,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,141.1578803062439,1
0.00830583498697794,0.8340332031250002,2643.303944349289,128,0.004393698383071687,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,140.70806765556335,1
0.007068299931632867,0.8361816406250001,5188.010191917419,256,0.0021803618044422546,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,99.04706621170044,1
0.01478984696588497,0.69521484375,353.92840576171875,16,0.05492372158641884,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,141.6972141265869,1
0.01516774919001592,0.681201171875,675.9643557071686,32,0.028040814904671696,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,100.57734775543213,1
0.009306012668882707,0.7856933593750001,1344.2562248706818,64,0.008778052627320454,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,98.71096444129944,1
0.008019704782550327,0.8430175781250001,2641.7769899368286,128,0.003024894469370709,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,142.62871885299683,1
0.0065909541201299455,0.8677246093750002,5207.9392786026,256,0.0034023282890562334,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,141.62277007102966,1
0.01602190502048047,0.74619140625,361.3734302520752,16,0.06433415283985194,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,141.73446345329285,1
0.013007328220672396,0.7423828125,694.9843056201935,32,0.017046975669536946,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,99.69229388237,1
0.008913664863604667,0.8020996093750001,1349.8886320590973,64,0.009705627218512869,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,99.80130934715271,1
0.0074102599408499194,0.8825195312500002,2619.5946826934814,128,0.00961226704522622,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,99.7541937828064,1
0.0071441462494658175,0.8689453125000002,5195.436177253723,256,0.0029489223487704774,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,99.40768647193909,1
0.015009525304160467,0.8119140625000001,362.13560938835144,16,0.04484362930028396,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,100.1465208530426,1
0.017616844690882122,0.8204101562500001,692.6528239250183,32,0.04749051099034757,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,140.56127452850342,1
0.007673184176494206,0.8358398437500001,1399.116839170456,64,0.007303392198772185,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,99.86600995063782,1
