mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.014474286824091619,0.8,5.434459447860718,16,0.04244584435603138,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.05366659164428711,16
0.004475467288382128,1.0,0.46268153190612793,32,0.01744574890065209,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.09451460838317871,32
0.007712515535925158,0.8,0.853193998336792,64,0.014297096297269163,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.18556714057922363,64
0.004567182035941144,1.0,1.6812617778778076,128,0.013043566601603107,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.36756086349487305,128
0.005113220533661907,1.0,3.2108399868011475,256,0.012454123204111822,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.9178054332733154,247
0.013767368796911511,0.8,0.40037965774536133,16,0.04244584435603138,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.05194401741027832,16
0.005323098634011052,0.8,0.43445467948913574,32,0.01744574890065209,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.09440279006958008,32
0.006193368369802158,0.8,0.829833984375,64,0.014297096297269163,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.18883943557739258,64
0.007488498161649458,0.8,1.5739917755126953,128,0.013043566601603107,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.37604856491088867,128
0.003609931598530273,0.8,3.340066432952881,256,0.012454123204111822,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.767117977142334,247
0.01420224217813356,0.8,0.37795042991638184,16,0.04244584435603138,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.08943772315979004,16
0.0032798079367996596,1.0,0.43070530891418457,32,0.01744574890065209,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.09256482124328613,32
0.006224856320065858,0.8,0.8251879215240479,64,0.014297096297269163,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.18282508850097656,64
0.0052968506140073845,1.0,1.5510542392730713,128,0.013043566601603107,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.354400634765625,128
0.004558370293853386,1.0,3.1673760414123535,256,0.012454123204111822,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.7026803493499756,247
0.013335223478663727,0.8,0.4151272773742676,16,0.04244584435603138,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.053757429122924805,16
0.007955292425555862,1.0,0.43724918365478516,32,0.01744574890065209,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.09463977813720703,32
0.004378696659082773,0.8,0.8079414367675781,64,0.014297096297269163,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.1859593391418457,64
0.0038121870127117243,1.0,1.6182873249053955,128,0.013043566601603107,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.35965609550476074,128
0.005237687017575406,0.8,3.2702579498291016,256,0.012454123204111822,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.7051334381103516,247
0.015217302286985205,0.8,0.3986964225769043,16,0.04244584435603138,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.048519134521484375,16
0.00266471133707748,1.0,0.42497801780700684,32,0.01744574890065209,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.09952783584594727,32
0.0071797622588237325,0.8,0.832977294921875,64,0.014297096297269163,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.177978515625,64
0.004605748705638395,0.8,1.6926565170288086,128,0.013043566601603107,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.35596346855163574,128
0.0051024303286114165,1.0,3.369476556777954,256,0.012454123204111822,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.6966712474822998,247
0.013450617404444996,1.0,0.42423439025878906,16,0.04244584435603138,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.07978534698486328,16
0.0026906819488048852,1.0,0.44096899032592773,32,0.01744574890065209,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.09000325202941895,32
0.005189205617880497,0.8,0.8245515823364258,64,0.014297096297269163,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.20363855361938477,64
0.004842605165419899,1.0,1.5891289710998535,128,0.013043566601603107,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.3662991523742676,128
0.005925888165070853,0.8,3.2953567504882812,256,0.012454123204111822,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.7052724361419678,247
0.012813715975326894,1.0,0.398043155670166,16,0.04244584435603138,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.047980546951293945,16
0.004817913733336761,1.0,0.43448853492736816,32,0.01744574890065209,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.08989739418029785,32
0.005186853615566111,0.8,0.8237299919128418,64,0.014297096297269163,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.1825411319732666,64
0.006733843609001749,1.0,1.6799595355987549,128,0.013043566601603107,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.3591318130493164,128
0.0035876068306195503,1.0,3.3675246238708496,256,0.012454123204111822,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.7037577629089355,247
0.014034763076862269,0.8,0.37053751945495605,16,0.04244584435603138,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.04572343826293945,16
0.004479264481129717,1.0,0.42150282859802246,32,0.01744574890065209,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.08920741081237793,32
