mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0060694192401890435,1.0,2.3736379146575928,16,0.04109642285337123,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.037982940673828125,16
0.01046411772406989,0.8,1.9379489421844482,32,0.020464013892379174,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.06728458404541016,32
0.00512348163142198,0.8,1.828397274017334,64,0.013637114862901534,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.13220429420471191,64
0.008718284109619927,0.8,5.946092367172241,128,0.010260750886589953,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.26483845710754395,128
0.006040091938419043,0.8,6.881684303283691,256,0.009543697398593731,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.7506716251373291,256
0.009986849047485577,0.8,0.566241979598999,16,0.04109642285337123,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.035478830337524414,16
0.01201773992136326,0.8,1.9482734203338623,32,0.020464013892379174,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.06780409812927246,32
0.005581298169862713,0.8,1.8909034729003906,64,0.013637114862901534,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.1316678524017334,64
0.0034077938160580663,0.8,3.4314498901367188,128,0.010260750886589953,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.4308638572692871,128
0.010814153488113598,0.8,5.52849555015564,256,0.009543697398593731,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.5358366966247559,256
0.006967844350266905,1.0,0.5552723407745361,16,0.04109642285337123,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.03581118583679199,16
0.011072193271514649,0.8,1.8097906112670898,32,0.020464013892379174,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.07044863700866699,32
0.006377220618628661,1.0,1.7211899757385254,64,0.013637114862901534,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.1345195770263672,64
0.006036996193621533,0.8,3.0651562213897705,128,0.010260750886589953,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.2659187316894531,128
0.005126330037422721,0.8,5.56408429145813,256,0.009543697398593731,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.6727159023284912,256
0.0075422484537105575,1.0,0.5514647960662842,16,0.04109642285337123,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.03469657897949219,16
0.010934320375919562,0.8,1.7697203159332275,32,0.020464013892379174,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.13023948669433594,32
0.005015435257122061,1.0,4.024837493896484,64,0.013637114862901534,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.22324872016906738,64
0.008480760584487908,0.8,3.493269920349121,128,0.010260750886589953,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.2604217529296875,128
0.005733797872627094,0.8,5.196908235549927,256,0.009543697398593731,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.5292115211486816,256
0.009652997335950722,0.8,0.5472791194915771,16,0.04109642285337123,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.03445172309875488,16
0.011224174177824833,0.8,1.8540170192718506,32,0.020464013892379174,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.06687712669372559,32
0.007613050762906075,0.8,2.85361385345459,64,0.013637114862901534,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.13619399070739746,64
0.007355532169324885,0.8,3.2682321071624756,128,0.010260750886589953,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.2656068801879883,128
0.004170030866108633,1.0,5.716410160064697,256,0.009543697398593731,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,256,0.5299026966094971,256
0.004442810681149795,1.0,0.5589103698730469,16,0.04109642285337123,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.03737831115722656,16
0.009553462771620556,0.8,1.8745951652526855,32,0.020464013892379174,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.06830334663391113,32
0.006047430980264962,0.8,1.868089199066162,64,0.013637114862901534,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.1321730613708496,64
