mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0067236050115322766,0.635791015625,194.97218680381775,16,0.04109642285337123,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.04229378700256348,16
0.005396793171088845,0.66640625,384.4363679885864,32,0.020464013892379174,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.07005667686462402,32
0.0042072359275483985,0.7111328125,748.690101146698,64,0.013637114862901534,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.13728618621826172,64
0.003717540225521708,0.7451171875,1465.4097383022308,128,0.010260750886589953,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.2739541530609131,128
0.00356412127771863,0.739697265625,2850.6701538562775,256,0.009543697398593731,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.5480694770812988,256
0.0067236050115322766,0.635791015625,193.70484828948975,16,0.04109642285337123,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.03439068794250488,16
0.005396793171088845,0.66640625,376.98224997520447,32,0.020464013892379174,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.06977725028991699,32
0.0042072359275483985,0.7111328125,746.3333854675293,64,0.013637114862901534,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.1333005428314209,64
0.003717540225521708,0.7451171875,1438.9410083293915,128,0.010260750886589953,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.27111387252807617,128
0.00356412127771863,0.739697265625,2846.6032683849335,256,0.009543697398593731,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.5279717445373535,256
0.0067236050115322766,0.635791015625,194.58611273765564,16,0.04109642285337123,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.03887605667114258,16
0.005396793171088845,0.66640625,377.1814489364624,32,0.020464013892379174,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.06924104690551758,32
0.0042072359275483985,0.7111328125,744.8532454967499,64,0.013637114862901534,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.13411593437194824,64
0.003717540225521708,0.7451171875,1439.6188979148865,128,0.010260750886589953,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.27937746047973633,128
0.00356412127771863,0.739697265625,2851.0386259555817,256,0.009543697398593731,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.524606466293335,256
0.0067236050115322766,0.635791015625,194.68977665901184,16,0.04109642285337123,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.03423643112182617,16
0.005396793171088845,0.66640625,378.2362518310547,32,0.020464013892379174,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.07065105438232422,32
0.0042072359275483985,0.7111328125,742.891966342926,64,0.013637114862901534,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.13141512870788574,64
0.003717540225521708,0.7451171875,1443.1950328350067,128,0.010260750886589953,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.28586411476135254,128
0.00356412127771863,0.739697265625,2826.435376882553,256,0.009543697398593731,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.5458810329437256,256
0.0067236050115322766,0.635791015625,197.4020812511444,16,0.04109642285337123,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.03428173065185547,16
0.005396793171088845,0.66640625,378.91340732574463,32,0.020464013892379174,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.0665140151977539,32
0.0042072359275483985,0.7111328125,735.4043905735016,64,0.013637114862901534,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.1332108974456787,64
0.003717540225521708,0.7451171875,1436.9998576641083,128,0.010260750886589953,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.2664153575897217,128
0.00356412127771863,0.739697265625,2833.7288665771484,256,0.009543697398593731,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.5415554046630859,256
0.0067236050115322766,0.635791015625,193.16109204292297,16,0.04109642285337123,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.03588581085205078,16
0.005396793171088845,0.66640625,375.2281587123871,32,0.020464013892379174,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.0669097900390625,32
0.0042072359275483985,0.7111328125,723.8872599601746,64,0.013637114862901534,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.13419866561889648,64
0.003717540225521708,0.7451171875,1437.5934081077576,128,0.010260750886589953,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.2979271411895752,128
0.00356412127771863,0.739697265625,2854.448000431061,256,0.009543697398593731,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.5340490341186523,256
0.0067236050115322766,0.635791015625,193.75076699256897,16,0.04109642285337123,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.03658461570739746,16
0.005396793171088845,0.66640625,375.94923639297485,32,0.020464013892379174,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.06926727294921875,32
