mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.010671967298575438,1.0,11.129586696624756,16,0.07315551885724147,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,120.9872636795044,1
0.012441134013762309,0.8,13.71415638923645,32,0.03452028736119106,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,88.30482697486877,1
0.0020846750810748034,1.0,46.6338050365448,64,0.009111996222961216,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,187.21661496162415,1
0.002770693108802247,0.8,97.91029739379883,128,0.011177197318739451,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,155.33009576797485,1
0.0016286110747959913,1.0,175.98093843460083,256,0.0075852969015479665,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,121.20734071731567,1
0.002227564392697794,0.8,10.217602014541626,16,0.04112460163789333,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,155.05943298339844,1
0.0022529895551649864,0.8,21.847598552703857,32,0.01850328136530588,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,121.6947762966156,1
0.0033973218804724432,1.0,46.64234781265259,64,0.014205925040085887,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,120.79998254776001,1
0.0025213618850097362,1.0,93.71786403656006,128,0.00624106821775805,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,121.12387800216675,1
0.0015374749794152748,0.8,171.08636951446533,256,0.004254161008191648,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,120.56385135650635,1
0.005345781935575341,1.0,8.126261949539185,16,0.04927449370732617,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,121.17076754570007,1
0.004161481664907925,0.8,19.18745517730713,32,0.022092063809244222,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,121.85805153846741,1
0.0022945113549887063,1.0,46.92115879058838,64,0.010332785028943525,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,87.96626210212708,1
0.0017925065208013184,1.0,79.32134914398193,128,0.00834362999807392,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,189.08274149894714,1
0.002076514882846713,0.8,180.47318625450134,256,0.004678434958462985,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,122.82414245605469,1
0.0071557967454895805,1.0,9.217511653900146,16,0.08432080735504532,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,122.34653806686401,1
0.002729386201718228,0.8,22.96135640144348,32,0.0217207163897285,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,121.50306272506714,1
0.0028499694816111554,0.8,43.65775179862976,64,0.016464441985895473,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,188.7608597278595,1
0.0014496748585837525,0.8,83.05741548538208,128,0.00684801413199132,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,155.8537974357605,1
0.0014373338927320036,1.0,174.3972613811493,256,0.003631277390718335,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,121.29964351654053,1
0.007340963300152842,0.8,8.20536208152771,16,0.0640229010901745,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,154.71862196922302,1
0.0037178762117564246,0.8,20.388874292373657,32,0.0186778931858389,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,187.6696503162384,1
0.002869096101531956,0.8,38.145766258239746,64,0.014296110749228763,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,121.80709838867188,1
0.0026108610173898664,1.0,93.99651455879211,128,0.0064064746621758095,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,122.22315454483032,1
0.0025411914366854364,0.8,173.97291016578674,256,0.00850853246167338,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,120.8467743396759,1
0.0024325906012719538,1.0,10.70542860031128,16,0.040609185152541194,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,154.99456477165222,1
