mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0063504307748728445,0.8364746093750001,457.1132957935333,16,0.07913103431491941,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.07192182540893555,16
0.005386138153113679,0.8373046875000001,818.2980000972748,32,0.023713313651490764,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.10704350471496582,32
0.006281757227142333,0.8313476562500001,1635.7774305343628,64,0.008126344113870587,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.20758676528930664,64
0.004761860874155734,0.8665039062500001,3175.760710477829,128,0.006464275898467986,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.4245791435241699,128
0.003054622858319813,0.915087890625,6225.559226512909,256,0.005550033923282571,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.8254499435424805,256
0.006373027669517191,0.8362792968750001,458.09593749046326,16,0.07913103431491941,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.05109000205993652,16
0.00537970140444881,0.8375000000000001,825.4326722621918,32,0.023713313651490764,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.11416339874267578,32
0.00625622358455222,0.8325683593750001,1648.507806301117,64,0.008126344113870587,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.22729802131652832,64
0.004766542595675359,0.8667480468750002,3160.888937473297,128,0.006464275898467986,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.7020392417907715,128
0.0030914588394995173,0.9135253906250002,6247.60042142868,256,0.005550033923282571,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.8642654418945312,256
0.006349249047906335,0.8360839843750001,453.50619173049927,16,0.07913103431491941,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.0545046329498291,16
0.005370876942745312,0.8384765625000001,826.4426007270813,32,0.023713313651490764,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.11897635459899902,32
0.0062369670475026255,0.8295898437500001,1658.1094996929169,64,0.008126344113870587,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.19936919212341309,64
0.0047786144520300024,0.866943359375,3168.258553504944,128,0.006464275898467986,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.441617488861084,128
0.003099864803902418,0.91416015625,6229.7453353405,256,0.005550033923282571,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.7793540954589844,256
0.006395456244583134,0.834228515625,455.6065282821655,16,0.07913103431491941,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.052042484283447266,16
0.005431467276708215,0.8363281250000001,838.5482568740845,32,0.023713313651490764,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.09764957427978516,32
0.00627834118369002,0.8306640625000001,1655.9353017807007,64,0.008126344113870587,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.20081758499145508,64
0.004723739707033118,0.8670898437500002,3162.602780342102,128,0.006464275898467986,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.44852352142333984,128
0.0030990158493968034,0.9153808593750001,6239.761859893799,256,0.005550033923282571,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.7636501789093018,256
0.006394093481868599,0.8352050781250001,465.2854657173157,16,0.07913103431491941,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.051595449447631836,16
0.005398179386195522,0.8367675781250001,837.157794713974,32,0.023713313651490764,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.1804647445678711,32
