mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.09035902565161102,0.7739199999999999,137.07664251327515,8,0.1179792899363612,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.01163339614868164,8
0.07873646343152756,0.8009599999999999,206.14975929260254,16,0.0763495692059003,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01756739616394043,16
0.06216681742494094,0.8366399999999999,321.57406306266785,32,0.05458962817920843,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.029320955276489258,32
0.04623496147845795,0.87736,664.6779570579529,64,0.02951686791948971,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06329917907714844,64
0.029406626594726298,0.9208,1259.8828480243683,128,0.012112222282815943,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.11973977088928223,128
0.09036890866332746,0.77384,132.00909972190857,8,0.1179792899363612,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.00824427604675293,8
0.07880967672297065,0.8017599999999999,191.88595700263977,16,0.0763495692059003,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01431584358215332,16
0.06214620551520693,0.8357600000000001,328.17974638938904,32,0.05458962817920843,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.029680728912353516,32
0.04618630518798203,0.878,674.4487926959991,64,0.02951686791948971,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06018352508544922,64
0.029412699059053086,0.9207200000000001,1260.7989904880524,128,0.012112222282815943,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.11986255645751953,128
0.09037130662514041,0.7733599999999999,129.76874136924744,8,0.1179792899363612,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.00897669792175293,8
0.0787677504428671,0.8019999999999999,196.83549427986145,16,0.0763495692059003,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.017937183380126953,16
0.06215443704699227,0.8366399999999999,325.3013138771057,32,0.05458962817920843,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03261709213256836,32
0.04622093687155859,0.8770399999999998,671.0700356960297,64,0.02951686791948971,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06598472595214844,64
0.029448537761474665,0.9210400000000002,1270.1375041007996,128,0.012112222282815943,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.13329124450683594,128
0.09037728939138573,0.77328,136.1334981918335,8,0.1179792899363612,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.009006261825561523,8
0.07873550286017637,0.8008,192.5925817489624,16,0.0763495692059003,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01843881607055664,16
0.06220078913932654,0.8366399999999999,334.8793041706085,32,0.05458962817920843,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.037248849868774414,32
0.0462240173496376,0.87744,684.8513336181641,64,0.02951686791948971,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07055211067199707,64
0.029407808306023277,0.92032,1266.553296804428,128,0.012112222282815943,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.13392019271850586,128
0.09032986938352681,0.77416,131.62414860725403,8,0.1179792899363612,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010045289993286133,8
0.0787739384274425,0.80184,192.33904361724854,16,0.0763495692059003,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.019551753997802734,16
0.062184449628831774,0.8355199999999999,329.8251852989197,32,0.05458962817920843,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.035314083099365234,32
0.04617829209927136,0.8773599999999998,683.2153408527374,64,0.02951686791948971,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07065272331237793,64
0.029474618191056817,0.9204,1275.360042333603,128,0.012112222282815943,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.15072965621948242,128
0.09037799286826936,0.7739199999999999,131.67074155807495,8,0.1179792899363612,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008964776992797852,8
0.0787782856985558,0.8021599999999999,192.0285885334015,16,0.0763495692059003,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.016226768493652344,16
0.06221554427668726,0.8359999999999999,330.300767660141,32,0.05458962817920843,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03400111198425293,32
0.046244144571388916,0.8770399999999999,676.4664433002472,64,0.02951686791948971,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06034588813781738,64
0.029454181687375625,0.92104,1272.3532650470734,128,0.012112222282815943,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.12973284721374512,128
0.09038562461429427,0.7735199999999999,133.14099287986755,8,0.1179792899363612,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008717775344848633,8
0.0787504888361906,0.8012799999999999,192.7292275428772,16,0.0763495692059003,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.015452146530151367,16
0.06220789754643355,0.8365599999999999,326.75378370285034,32,0.05458962817920843,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03149986267089844,32
0.04619536433752947,0.87672,687.3665652275085,64,0.02951686791948971,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06113171577453613,64
0.02940219881489891,0.9207200000000001,1273.5100450515747,128,0.012112222282815943,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.11678791046142578,128
0.09035260632229976,0.77352,131.54846501350403,8,0.1179792899363612,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.007881879806518555,8
0.07876099407157,0.8015199999999999,188.1489441394806,16,0.0763495692059003,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01778411865234375,16
