mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.017541850055877887,0.59936,570.2555816173553,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.013128995895385742,8
0.01581178856717827,0.61928,1065.2792246341705,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.016171693801879883,16
0.011390810568263469,0.6943199999999999,2050.2557327747345,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.02802276611328125,32
0.008775243409635874,0.76128,3983.9502623081207,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.059921979904174805,64
0.005643940675878322,0.84088,7873.755638360977,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.12100958824157715,128
0.017541850055877887,0.59936,570.9080753326416,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008785247802734375,8
0.01581178856717827,0.61928,1065.1830897331238,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.0810847282409668,16
0.011390810568263469,0.6943199999999999,2053.429838180542,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03744101524353027,32
0.008775243409635874,0.76128,3974.8512036800385,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06234264373779297,64
0.005643940675878322,0.84088,7738.613219499588,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.21332001686096191,128
0.017541850055877887,0.59936,537.189703464508,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.01751852035522461,8
0.01581178856717827,0.61928,1010.3594324588776,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.0825338363647461,16
0.011390810568263469,0.6943199999999999,2051.6519882678986,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03127431869506836,32
0.008775243409635874,0.76128,4023.5649769306183,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06274151802062988,64
0.005643940675878322,0.84088,7917.253849744797,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.11534619331359863,128
0.017541850055877887,0.59936,574.2459981441498,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.009231328964233398,8
0.01581178856717827,0.61928,1062.8707475662231,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.016881942749023438,16
0.011390810568263469,0.6943199999999999,2051.740196466446,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.031403541564941406,32
0.008775243409635874,0.76128,3995.9879834651947,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06089496612548828,64
0.005643940675878322,0.84088,7886.772679805756,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.11014890670776367,128
0.017541850055877887,0.59936,571.7558591365814,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010271310806274414,8
0.01581178856717827,0.61928,1070.254959821701,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.015987873077392578,16
0.011390810568263469,0.6943199999999999,2061.345123529434,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.031510353088378906,32
0.008775243409635874,0.76128,4005.6792843341827,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.1526491641998291,64
0.005643940675878322,0.84088,7941.210428714752,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.12126398086547852,128
0.017541850055877887,0.59936,574.9872126579285,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0083465576171875,8
0.01581178856717827,0.61928,1071.5548360347748,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.015589475631713867,16
0.011390810568263469,0.6943199999999999,2059.5193288326263,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.030122756958007812,32
0.008775243409635874,0.76128,4015.614800453186,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.058157920837402344,64
0.005643940675878322,0.84088,7960.631774187088,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.2028183937072754,128
0.017541850055877887,0.59936,574.8691861629486,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008512496948242188,8
0.01581178856717827,0.61928,1077.3567070960999,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.015417098999023438,16
0.011390810568263469,0.6943199999999999,2069.3890500068665,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.029619455337524414,32
0.008775243409635874,0.76128,4029.5335874557495,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.05593419075012207,64
0.005643940675878322,0.84088,7973.994185447693,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.11989784240722656,128
0.017541850055877887,0.59936,576.4388465881348,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008429288864135742,8
0.01581178856717827,0.61928,1074.0115916728973,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.015154838562011719,16
0.011390810568263469,0.6943199999999999,2066.6576290130615,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.030526161193847656,32
0.008775243409635874,0.76128,4035.023243665695,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.060637474060058594,64
0.005643940675878322,0.84088,7931.895703077316,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.1316068172454834,128
0.017541850055877887,0.59936,574.0333483219147,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008411169052124023,8
0.01581178856717827,0.61928,1069.4189462661743,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.015744447708129883,16
0.011390810568263469,0.6943199999999999,2054.1769721508026,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.030600309371948242,32
0.008775243409635874,0.76128,4002.395439147949,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.11329507827758789,64
0.005643940675878322,0.84088,7923.9449598789215,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.14555573463439941,128
0.017541850055877887,0.59936,573.3056130409241,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.00838613510131836,8
0.01581178856717827,0.61928,1074.113697052002,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.015271902084350586,16
0.011390810568263469,0.6943199999999999,2057.413520336151,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03197836875915527,32
0.008775243409635874,0.76128,4010.4367060661316,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.061782121658325195,64
0.005643940675878322,0.84088,7944.939309358597,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.11549210548400879,128
