mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.015320948708226886,0.55952,870.4963552951813,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.009183406829833984,8
0.012189421734061838,0.6184799999999999,1606.7764060497284,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.017640352249145508,16
0.009462369730839769,0.6835199999999999,3108.789189338684,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.028647184371948242,32
0.007338152528173799,0.7641599999999998,6114.046756029129,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07301855087280273,64
0.0049531696278095495,0.84072,12107.003541231155,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.12462878227233887,128
0.015320948708226886,0.55952,840.0166697502136,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008405447006225586,8
0.012189421734061838,0.6184799999999999,1588.7281606197357,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.017536401748657227,16
0.009462369730839769,0.6835199999999999,3093.0764951705933,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.0320584774017334,32
0.007338152528173799,0.7641599999999998,6149.7372324466705,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06110572814941406,64
0.0049531696278095495,0.84072,12340.706669330597,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.21250391006469727,128
0.015320948708226886,0.55952,877.8443386554718,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008397817611694336,8
0.012189421734061838,0.6184799999999999,1662.3786959648132,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.015569210052490234,16
0.009462369730839769,0.6835199999999999,3217.429428100586,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.029872655868530273,32
0.007338152528173799,0.7641599999999998,6337.196808576584,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06006145477294922,64
0.0049531696278095495,0.84072,12283.675139427185,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.12522220611572266,128
0.015320948708226886,0.55952,882.2415037155151,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.009361505508422852,8
0.012189421734061838,0.6184799999999999,1666.1897268295288,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.0179593563079834,16
0.009462369730839769,0.6835199999999999,3319.6954765319824,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.035073280334472656,32
0.007338152528173799,0.7641599999999998,6589.605842828751,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06507086753845215,64
0.0049531696278095495,0.84072,13066.7293612957,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.20296311378479004,128
0.015320948708226886,0.55952,906.9148926734924,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.01071476936340332,8
0.012189421734061838,0.6184799999999999,1717.560331583023,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.017092466354370117,16
0.009462369730839769,0.6835199999999999,3340.643387556076,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.033757925033569336,32
0.007338152528173799,0.7641599999999998,6574.066686153412,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06727862358093262,64
0.0049531696278095495,0.84072,13036.206230163574,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.12786006927490234,128
0.015320948708226886,0.55952,906.1466791629791,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.06747722625732422,8
0.012189421734061838,0.6184799999999999,1714.1269755363464,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.016617774963378906,16
0.009462369730839769,0.6835199999999999,3344.9964067935944,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03333592414855957,32
0.007338152528173799,0.7641599999999998,6583.456106185913,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06412696838378906,64
0.0049531696278095495,0.84072,13044.13280248642,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.1299283504486084,128
0.015320948708226886,0.55952,901.8222069740295,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.16324090957641602,8
0.012189421734061838,0.6184799999999999,1730.0631818771362,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.016521692276000977,16
0.009462369730839769,0.6835199999999999,3375.7796421051025,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.0727224349975586,32
0.007338152528173799,0.7641599999999998,6622.553047180176,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06333470344543457,64
0.0049531696278095495,0.84072,13110.197315692902,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.12336611747741699,128
0.015320948708226886,0.55952,908.0017013549805,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008543729782104492,8
0.012189421734061838,0.6184799999999999,1716.2676002979279,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.015811920166015625,16
0.009462369730839769,0.6835199999999999,3331.0332732200623,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.031632184982299805,32
0.007338152528173799,0.7641599999999998,6549.027106523514,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06011533737182617,64
0.0049531696278095495,0.84072,13038.901819467545,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.12460017204284668,128
0.015320948708226886,0.55952,975.2029311656952,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008968591690063477,8
0.012189421734061838,0.6184799999999999,1862.0475072860718,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.016374826431274414,16
0.009462369730839769,0.6835199999999999,3610.7795884609222,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.051465749740600586,32
