mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.001611323876427242,0.5329752066115703,1183.756208896637,8,0.026844015138974164,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,106.04095411300659,1
0.0016076803905804092,0.5468595041322314,1739.803564786911,16,0.015831217404570053,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,78.14922666549683,1
0.0010712514452056203,0.7293388429752066,2803.0278816223145,32,0.009431436470462184,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,77.37896966934204,1
0.0009412669050185413,0.7966942148760331,4985.318809270859,64,0.006638871582566042,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,78.12599587440491,1
0.0008149640568170498,0.8402479338842975,9204.315542459488,128,0.0020313696503762024,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,48.438847064971924,1
0.0014012064839874492,0.5080991735537189,1239.9470109939575,8,0.0419133975957382,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,48.45305776596069,1
0.0018343180641978629,0.5699173553719008,1749.0922949314117,16,0.04075588659634821,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,77.83647680282593,1
0.0010975137546488766,0.6910743801652893,2846.8469150066376,32,0.012706743316716729,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,77.76639103889465,1
0.001166466805716267,0.7372727272727272,5021.713412284851,64,0.01508398787637355,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,63.730199098587036,1
0.0009039257846530528,0.7734710743801653,9031.02961397171,128,0.0037210656123818353,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,49.73558211326599,1
0.0037842108237893793,0.2018181818181818,1232.9968206882477,8,0.09220080498956851,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,48.22680711746216,1
0.0012752068656390343,0.6603305785123967,1809.1921150684357,16,0.01506881188709297,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,62.09999465942383,1
0.001161468398602314,0.6968595041322314,2856.8487362861633,32,0.012743933981155697,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,48.819337129592896,1
0.001198791032201015,0.7407438016528926,4956.307607412338,64,0.008827855331770662,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,63.168315410614014,1
0.0010010443113538019,0.7886776859504132,9244.537842273712,128,0.004149560652048079,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,78.24717450141907,1
0.0017772026463677452,0.4278512396694215,1241.038135766983,8,0.07052675574314593,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,62.818488359451294,1
0.0013080156687379008,0.6509090909090909,1766.0465879440308,16,0.021159898605389138,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,63.45605945587158,1
0.001435128599345861,0.6711570247933883,2905.3856887817383,32,0.013667819604187725,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,50.14190459251404,1
0.0010306700496244155,0.7463636363636363,5021.399902105331,64,0.008645081930367171,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,49.39378094673157,1
0.0008878631514722825,0.7960330578512396,9079.458147764206,128,0.0024726596017341507,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,77.89907717704773,1
0.001410409571432964,0.5437190082644628,1278.7458279132843,8,0.04279111502180588,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,63.88604712486267,1
0.0015852793141452306,0.4770247933884298,1767.03959774971,16,0.019528342292888246,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,48.5876579284668,1
0.001073597467411251,0.6863636363636364,2926.185026407242,32,0.0060081710962121004,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,48.83322048187256,1
0.0009776306962759889,0.7861157024793388,5178.061315536499,64,0.004827163070958873,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,63.929765939712524,1
0.0008536463601843596,0.8182644628099173,9091.050187587738,128,0.003564872453241552,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,48.23889923095703,1
0.0023280115252432487,0.513305785123967,1224.1007285118103,8,0.12512216238721519,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,48.35462403297424,1
0.001711464151463038,0.5338842975206611,1807.4591116905212,16,0.036079086647659464,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,91.51188492774963,1
0.0015325492202841072,0.5677685950413223,2918.8184661865234,32,0.03286857373488594,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,63.90534472465515,1
0.0009941649975269762,0.7638842975206611,4985.208810806274,64,0.008800774400610445,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,78.34601068496704,1
0.0008278116029145975,0.8354545454545453,9129.717879772186,128,0.0023946163294119582,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,62.69411873817444,1
0.0014903176576467913,0.5133884297520661,1218.7291958332062,8,0.058847062578753606,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,63.10387587547302,1
0.0015035191105219072,0.44586776859504135,1740.8274192810059,16,0.05822922857054047,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,49.15211343765259,1
0.001006830053900727,0.7520661157024793,2682.6846141815186,32,0.010052787085090165,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,63.62641167640686,1
0.0014018363197825356,0.7008264462809918,4718.749593734741,64,0.02897140747819038,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,91.8641288280487,1
0.0008192029575660757,0.8283471074380165,8917.520891666412,128,0.002241129793349117,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,63.065688371658325,1
0.0019247096715423672,0.4888429752066116,1213.4138624668121,8,0.057075368038846275,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,63.89471244812012,1
0.0012161284260795394,0.6305785123966942,1706.147498846054,16,0.01588397482918613,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,91.55851769447327,1
0.0011380556942851277,0.7209090909090908,2705.3275830745697,32,0.010442104975697974,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,48.28699040412903,1
0.0010380709635441155,0.7288429752066116,4779.801558017731,64,0.0031889619675709024,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,62.83828115463257,1
0.0008851532897819217,0.7708264462809917,8986.323852777481,128,0.002561662286805877,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,48.66180205345154,1
0.0017457983387767068,0.5141322314049587,1215.1320009231567,8,0.040052559723940506,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,48.68319606781006,1
0.0013886508029612053,0.61099173553719,1696.5195598602295,16,0.033638271447474555,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,49.373899698257446,1
0.0011654915703293396,0.6849586776859504,2703.6460115909576,32,0.010114617826283867,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,90.55681848526001,1
0.001112926294348331,0.7197520661157024,4779.3499183654785,64,0.010405174283685037,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,78.22102308273315,1
0.0010246199371396138,0.7821487603305785,8943.316709518433,128,0.006135608973273365,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,49.34784936904907,1
0.001618975734180221,0.6207438016528926,1212.5794196128845,8,0.05515384866061401,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,8,63.53884482383728,1
0.0014243673924292889,0.5357851239669421,1677.58953166008,16,0.03270802665821293,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,77.8154456615448,1
0.0012643698422973894,0.67,2676.1337196826935,32,0.018438476794312875,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,49.0146598815918,1
0.0010216720918960706,0.7585123966942149,4713.825152635574,64,0.007349931642955498,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,62.778828144073486,1
0.0008655545461803706,0.7989256198347107,8774.753993034363,128,0.0034123909537191466,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,92.60412883758545,1
