mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.000951421499057181,0.6,5.845321416854858,8,0.017779973768114576,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,180.87527751922607,8
0.001502895644080492,0.6,4.7677083015441895,16,0.023390928969207136,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,178.45363330841064,16
0.001222740950773679,1.0,11.283929586410522,32,0.008893986366901974,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,172.57191681861877,32
0.0014160807522954333,0.6,25.64972186088562,64,0.006127979027096497,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,175.35814905166626,64
0.0004236035713778483,0.6,45.037994384765625,128,0.0018493488029314165,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,171.52407264709473,128
0.0012860340468954534,0.8,1.5424983501434326,8,0.031056753916815172,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,179.41828227043152,8
0.0009230520480277816,0.8,6.3796226978302,16,0.02211619830828937,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,172.9633514881134,16
0.0011897627877310074,0.6,14.014880657196045,32,0.01044598501368843,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,176.05528473854065,32
0.0007552640995153468,0.6,25.334023237228394,64,0.003951540266341924,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,175.01029801368713,64
0.000501451959900028,0.8,33.76732349395752,128,0.00576992395620457,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,175.23204278945923,128
0.0011677932999496895,0.6,1.5345420837402344,8,0.060428076029046984,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,176.5675642490387,8
0.0006521861826933428,0.6,5.667460918426514,16,0.013186837193163159,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,177.8046269416809,16
0.0010631367390287704,0.8,11.199759483337402,32,0.011350392975499446,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,173.24485611915588,32
0.0005556154992173773,1.0,25.36468815803528,64,0.005958517470697089,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,175.46152877807617,64
0.0005846640470996252,0.6,33.724154233932495,128,0.008427525634483013,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,180.45209622383118,128
0.0011715495158502083,0.8,1.5805327892303467,8,0.05819930643102378,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,175.62475275993347,8
0.0019090318658385214,0.8,4.4715001583099365,16,0.0425110551408352,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,175.30324506759644,16
0.0008703604123139646,1.0,11.20388913154602,32,0.004591084836119919,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,170.5599720478058,32
0.001066467956421355,1.0,22.520191192626953,64,0.006667120285124728,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,172.6537926197052,64
0.0009892903061761483,0.8,56.30652904510498,128,0.0014965040857057854,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,174.03508853912354,128
0.0020819888785963796,1.0,1.7790143489837646,8,0.035586959123175665,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,176.6949667930603,8
0.0007817899339488848,0.8,3.191882371902466,16,0.01834548483378673,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,177.7016839981079,16
0.002164414696860718,1.0,8.434556007385254,32,0.028188310755233204,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,173.30514931678772,32
0.0008511431704440738,0.6,25.381073236465454,64,0.008507859798740025,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,174.15041136741638,64
0.0006044204355262555,0.8,33.60869908332825,128,0.0023849711334398283,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,168.8276183605194,128
0.0021354951873429205,1.0,1.5727155208587646,8,0.10690536800937966,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,177.39172673225403,8
0.0008802250976088935,0.6,5.742447137832642,16,0.030362118849987407,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,170.9143042564392,16
0.0008255896709520928,0.8,12.622669219970703,32,0.018271991616272798,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,172.60278058052063,32
0.00048356769592809457,0.8,25.344635248184204,64,0.0050042839274027084,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,178.75987100601196,64
0.0006587317014811458,0.6,39.32871675491333,128,0.00618721813662404,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,178.64823746681213,128
0.003730289942071822,1.0,1.3590354919433594,8,0.037651436771385605,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,173.65872979164124,8
0.0007551464663724645,0.6,3.8254051208496094,16,0.014161661597871245,sage,permutation,influence,none,Not needed,Not needed,Not needed,16,177.2249526977539,16
0.001137167947485035,1.0,11.201529026031494,32,0.013227640552658348,sage,permutation,influence,none,Not needed,Not needed,Not needed,32,174.3334047794342,32
0.000645739393574713,1.0,28.117955684661865,64,0.003980170285063256,sage,permutation,influence,none,Not needed,Not needed,Not needed,64,168.0290722846985,64
0.0006305404544795349,0.8,39.29000973701477,128,0.0031322505510233967,sage,permutation,influence,none,Not needed,Not needed,Not needed,128,180.2250874042511,128
0.001723691125111697,0.8,1.3432276248931885,8,0.03488848479910889,sage,permutation,influence,none,Not needed,Not needed,Not needed,8,169.4370243549347,8
