mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.020194934720934674,0.5986776859504133,168.97958779335022,3,0.044105811516389926,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.0021581649780273438,3
0.010499437191120583,0.7124793388429751,234.02066922187805,6,0.02772492498431056,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0020303726196289062,6
0.008801690186180062,0.7520661157024794,355.3952434062958,12,0.010050739973715306,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0020711421966552734,12
0.008044837506500308,0.7793388429752065,604.356920003891,24,0.010473354791235234,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0020606517791748047,24
0.0064883659676784845,0.8104132231404958,1088.4836299419403,48,0.006828607790581254,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0020911693572998047,45
0.008397558273087137,0.7842148760330577,2078.1023383140564,96,0.008510697606309847,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0018448829650878906,96
0.015748120960091982,0.6361157024793388,173.09105229377747,3,0.04321345091591966,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.0020241737365722656,3
0.011579690657438252,0.6919834710743801,233.5342674255371,6,0.020170761723857122,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0019643306732177734,6
0.009404637928250265,0.7562809917355371,358.97888946533203,12,0.013106014419488776,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0020389556884765625,12
0.009035039372702187,0.7586776859504132,604.947731256485,24,0.016280424337828947,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.002064228057861328,24
0.007015509227396212,0.793884297520661,1100.5521502494812,48,0.0074567418049322765,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0019583702087402344,46
0.007773483187667838,0.7962809917355371,2082.6882700920105,96,0.008149303775131456,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0018239021301269531,96
0.01799264058731684,0.6240495867768594,166.66127848625183,3,0.04017194838387783,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.0020759105682373047,3
0.011927682228009101,0.7021487603305785,225.92164969444275,6,0.02181872141605745,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0019762516021728516,6
0.008785483807295574,0.7568595041322314,346.32596731185913,12,0.01015830507843507,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0021288394927978516,12
0.007695793853741856,0.7784297520661156,589.6633005142212,24,0.014083289050772496,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.008944988250732422,23
0.007784801820427568,0.7881818181818181,1067.7121889591217,48,0.00871528666942667,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0019452571868896484,46
0.007910352064644563,0.7834710743801652,2025.9767396450043,96,0.00680150882271624,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0017883777618408203,96
0.012214093737297134,0.6715702479338842,168.46423864364624,3,0.03829194444641737,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.0030286312103271484,3
0.012054355462410396,0.7088429752066115,225.38084435462952,6,0.024588304083167367,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0021932125091552734,6
0.010313242238361527,0.7217355371900827,347.7461631298065,12,0.01288488094285789,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.001956939697265625,12
0.008817397964469117,0.7733057851239669,575.7042112350464,24,0.013254863958939378,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0022430419921875,23
0.00814053948522253,0.7782644628099172,1044.466602563858,48,0.008347082424755126,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.002015352249145508,46
0.007853785256410242,0.7924793388429751,2030.7597212791443,96,0.011774794556493884,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0016760826110839844,96
0.019839942741443822,0.5777685950413223,170.81408500671387,3,0.04672058883132624,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.002077341079711914,3
0.012094082806506598,0.6792561983471074,229.11781406402588,6,0.030816804350854765,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.0024445056915283203,6
0.010906343016812084,0.735289256198347,350.27120876312256,12,0.010126142232553592,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.005709409713745117,12
0.008766822226587775,0.7607438016528925,581.8157856464386,24,0.008991782597894016,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0035910606384277344,24
0.007989177878069515,0.7810743801652892,1055.373074054718,48,0.008348906408399692,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0054013729095458984,45
0.008555656274283039,0.775289256198347,2017.9237475395203,96,0.009491729810010341,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0017857551574707031,96
0.019614824380031506,0.5743801652892562,162.91326928138733,3,0.05145278421201005,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.005428791046142578,3
0.014028453429838444,0.6588429752066115,218.53428769111633,6,0.02686489620720023,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.002080202102661133,6
0.007405862115396577,0.7700826446280992,336.63113164901733,12,0.01158389884971256,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0056073665618896484,12
0.00912012080742667,0.7589256198347107,581.5512475967407,24,0.014614365284472353,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.005475521087646484,24
0.007552099070015299,0.7861157024793388,1053.5017583370209,48,0.012599499272888837,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.002402782440185547,45
0.007697400976878384,0.7919834710743802,2025.2867918014526,96,0.008983096613922825,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0018870830535888672,96
0.01878041589625228,0.5783471074380165,167.78038454055786,3,0.06503184971410558,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,2,0.0021522045135498047,3
0.010334116987610302,0.7307438016528927,223.07772016525269,6,0.02063750885538229,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.002161264419555664,6
0.008384069231148105,0.7572727272727272,343.92291617393494,12,0.015572955801784971,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0019795894622802734,12
0.008389088422331962,0.772892561983471,572.5553731918335,24,0.008259438894366422,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.002228260040283203,24
