mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.2773957420356495,1.0,4.583914756774902,10,0.048415930132170826,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.010373592376708984,10
0.08314682457902882,1.0,0.7946860790252686,20,0.01671098071752586,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010181903839111328,20
0.0462814502556804,0.8,1.2814602851867676,40,0.007092192054941271,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010369062423706055,40
0.06994391788193875,1.0,2.8037850856781006,80,0.0030035579080689434,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010323524475097656,79
0.04899538431698607,1.0,5.066589593887329,160,0.0030271011998908026,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010437250137329102,152
0.04164806779368039,1.0,10.404808282852173,320,0.002661632342788711,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010024070739746094,320
0.15452914028088746,0.8,0.3398623466491699,10,0.04454879566499875,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.010294914245605469,10
0.1250334549205083,1.0,0.5367836952209473,20,0.015618027948375524,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010747909545898438,20
0.06964523601334859,1.0,1.5449740886688232,40,0.007234081542349002,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010235309600830078,40
0.0457629529683464,1.0,2.8121790885925293,80,0.00423919904230563,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0102386474609375,80
0.06294559608657212,1.0,5.37773585319519,160,0.0019870004740004665,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010452985763549805,152
0.030064509769921716,1.0,10.62998914718628,320,0.0015646001423323952,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009985685348510742,320
0.21921288098098735,1.0,0.3824596405029297,10,0.047875569445044786,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.010369539260864258,10
0.0716755720513026,0.8,0.6910500526428223,20,0.01701507800232016,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010599613189697266,20
0.06559806656512164,1.0,1.5439088344573975,40,0.00724199009867188,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010200262069702148,40
0.054932105429916334,1.0,2.7073636054992676,80,0.0029633172006902075,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.011041879653930664,78
0.055385316832950386,1.0,5.476687431335449,160,0.0026585587405903444,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.01018524169921875,146
0.06568679391335545,1.0,10.852367877960205,320,0.0020995394662369216,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009987592697143555,320
0.20979513633349853,0.8,0.39429545402526855,10,0.03787911575230668,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.011383056640625,10
0.048894785793893725,0.8,0.7278645038604736,20,0.015171107322343613,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010551929473876953,20
0.0335985190653205,1.0,1.4932687282562256,40,0.0062989313188994145,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.01109004020690918,40
0.047416028273818106,1.0,2.83774471282959,80,0.003773303865069799,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.011052370071411133,79
0.0299093148776164,1.0,5.366061210632324,160,0.0029346716600542333,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010970830917358398,151
0.03198406459952861,1.0,10.627031564712524,320,0.001990221530515035,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009943962097167969,320
0.28590671036166465,0.8,0.23607778549194336,10,0.043265982153131655,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.010127067565917969,10
0.04907713044193543,0.8,0.7378995418548584,20,0.018133090321761358,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010282754898071289,20
0.09701531229381812,1.0,1.52060866355896,40,0.00863373349470925,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.01026153564453125,40
0.04716434118965129,1.0,2.813305377960205,80,0.003779354874587637,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010846376419067383,79
0.04118460175458,1.0,5.2424445152282715,160,0.002391895869394034,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010699033737182617,154
0.046914384510539635,1.0,10.795242309570312,320,0.0019823701060247556,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010408878326416016,320
0.1687270838699556,0.8,0.36859917640686035,10,0.03733616454411648,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.01027226448059082,10
0.1361126831330117,0.8,0.6069810390472412,20,0.019240992553088976,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010437726974487305,20
0.05177759912016555,0.8,1.4704480171203613,40,0.0058411493406392845,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010500907897949219,40
0.06615398999579171,1.0,2.8978850841522217,80,0.0031730857119243727,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010186910629272461,78
0.024854951357235238,1.0,5.44031834602356,160,0.0023405652059172444,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010165929794311523,149
0.0245031238478572,1.0,10.327728509902954,320,0.0018348739274871573,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010007619857788086,320
0.2705653920704356,0.8,0.22635340690612793,10,0.041526512199212606,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.010186910629272461,10
0.13002167162949396,1.0,0.6028635501861572,20,0.015420962814842454,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010547161102294922,20
0.039603610009539415,0.8,1.5114526748657227,40,0.0070532876453967,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010220527648925781,40
0.043951443559727965,1.0,3.132631301879883,80,0.004180460333878699,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010228157043457031,75
0.0510693103421066,1.0,5.643927812576294,160,0.0024063759347104363,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010182619094848633,145
0.0677277331188074,1.0,10.222140550613403,320,0.001966722337838178,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009894371032714844,320
0.0712058798635555,0.8,0.2926597595214844,10,0.04711635262634256,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.010157346725463867,10
0.10622215951258673,1.0,0.45022058486938477,20,0.01967122286463957,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.009914875030517578,20
0.07598152147966487,0.8,1.0578351020812988,40,0.006668115749254022,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.009825468063354492,40
0.04472739199814633,1.0,2.802001953125,80,0.003151064616845778,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010186195373535156,80
0.0317383402850566,1.0,5.326130628585815,160,0.002145502610842287,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010557413101196289,150
0.03591639353313242,1.0,11.082840204238892,320,0.0020310436296884227,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009907007217407227,320
0.15231216591943578,1.0,0.33623409271240234,10,0.042812326932954725,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.010434150695800781,10
0.03763591051384534,1.0,0.6492812633514404,20,0.014585854043939417,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.011041641235351562,20
0.06249647030896174,0.8,1.5495195388793945,40,0.006049531967139088,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.011019468307495117,40
0.032796075529721615,1.0,2.8613133430480957,80,0.0035119676302873826,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010291576385498047,79
0.040525501041993185,1.0,5.80164909362793,160,0.0027116102752261506,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.01014566421508789,148
0.02465462715027264,1.0,11.015862464904785,320,0.001993117314371351,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009867429733276367,320
0.1356279566386777,1.0,0.4200904369354248,10,0.03794938636709372,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.010411262512207031,10
0.154929883525696,0.8,0.5642514228820801,20,0.01514524738228018,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010290384292602539,20
0.05679870585384284,1.0,1.5292549133300781,40,0.006119626010014478,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010528802871704102,40
0.047763461259184375,1.0,3.205402374267578,80,0.003523533180786742,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010304927825927734,79
0.04750773204318124,0.8,5.62075662612915,160,0.0023186235464260907,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010672569274902344,149
0.04748293950069545,1.0,12.211561918258667,320,0.002358359964751866,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.010478496551513672,320
