mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.030272329771177286,0.917236328125,58.9457061290741,10,0.0454800052537766,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.010226249694824219,10
0.02501737468971864,0.934521484375,92.40710854530334,20,0.019255352066890496,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010008096694946289,20
0.020317045972856353,0.9425781250000002,156.4489142894745,40,0.008145082398362757,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.01016545295715332,40
0.015612861704844305,0.9531738281250002,280.87547969818115,80,0.00414033654970003,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.009988069534301758,79
0.015616173177122725,0.9552246093750001,523.3928828239441,160,0.0025161908511546205,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010044097900390625,149
0.015584511528232882,0.9595214843750001,1009.5374710559845,320,0.002353336027271946,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009366989135742188,320
0.037163306615988774,0.8949707031250002,61.50827145576477,10,0.03365574239237834,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.009748458862304688,10
0.030367045720734048,0.9208496093750002,92.31209969520569,20,0.01818194166987641,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.009916543960571289,20
0.01682928526078159,0.95126953125,156.07305264472961,40,0.007639583584592768,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.009962320327758789,40
0.017135739810601815,0.951904296875,278.30099391937256,80,0.003812616302371341,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.009845256805419922,75
0.014248065045234916,0.9599609375,521.6496584415436,160,0.003093530622744478,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.009810209274291992,153
0.01430231489776135,0.9609375,1017.1376459598541,320,0.0027986157740513273,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009294271469116211,320
0.05908035946020548,0.8720703125000001,61.48875856399536,10,0.052753299442614976,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.009644031524658203,10
0.02612177074915976,0.9266113281250001,92.39843511581421,20,0.020611031757717058,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010166645050048828,20
0.019600881002558867,0.94296875,156.8307707309723,40,0.005930207229333517,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.01705145835876465,40
0.016751552075315198,0.9524414062500001,280.88457918167114,80,0.004293337366492844,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.012200117111206055,79
0.01319594028488757,0.96064453125,523.0057363510132,160,0.0023776645821490527,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.009811162948608398,146
0.014367873839549567,0.9604980468750001,1011.6294124126434,320,0.0024822107252341352,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009537696838378906,320
0.050790727527147056,0.8833984375000001,61.57329440116882,10,0.0510749507309296,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.009661197662353516,10
0.025249346641627497,0.9199707031250001,92.53699040412903,20,0.018127023712947166,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.009833097457885742,20
0.01693164839614608,0.9453125000000001,156.53135061264038,40,0.00577062391406763,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.009981870651245117,40
0.01469802784528655,0.956640625,278.52190041542053,80,0.003870781675756163,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.013638973236083984,79
0.014302356011376055,0.95810546875,521.5885531902313,160,0.0028421881684466133,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.009805440902709961,152
0.012012964243884034,0.9668945312500001,1012.0459604263306,320,0.002019797212689578,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009449481964111328,320
0.03892437526845666,0.9041992187500001,61.32945895195007,10,0.03995290010622671,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.016817808151245117,10
0.02285313958713534,0.9360351562500001,91.96139407157898,20,0.016816696921556407,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010044336318969727,20
0.0234217503532415,0.9363281250000002,156.2096152305603,40,0.007249906540524598,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010053873062133789,39
0.017249993976065737,0.9519042968750001,279.63365173339844,80,0.002918123195754796,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.013125896453857422,79
0.013883039802242885,0.9577636718750001,528.0728371143341,160,0.0030027151086396975,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.009850263595581055,152
0.012904100354244158,0.96162109375,1025.8808617591858,320,0.002130345638549691,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009358882904052734,320
0.04496375758781538,0.8942871093750002,61.87959170341492,10,0.04448542612633438,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.009685993194580078,10
0.029587009167557295,0.929150390625,93.5237877368927,20,0.016643264346217934,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.013439655303955078,20
0.0203388059391752,0.947705078125,158.34481406211853,40,0.008048393002435095,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.009980201721191406,40
0.015864648752161918,0.9503417968750001,281.83311772346497,80,0.0038384342739969934,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.01222848892211914,79
0.016766584425248823,0.9552734375,528.5538668632507,160,0.0029981246852122667,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010048389434814453,148
0.014349699453665044,0.9606445312500002,1019.4083366394043,320,0.0018812713108068424,shap,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009304523468017578,320
