mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.011190968591208085,0.672314453125,40.820841789245605,16,0.049290292258039825,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,31.1408634185791,1
0.009232893170382528,0.7027343749999999,75.24076175689697,32,0.0199322927588394,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,31.353205680847168,1
0.006755725576211764,0.7660156250000001,144.24458527565002,64,0.012229885257917017,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,31.35885214805603,1
0.005057564094488852,0.8134765625000001,284.3892056941986,128,0.0043414903500402224,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,31.634372234344482,1
0.004210612861134586,0.8496582031250002,556.8552668094635,256,0.0031310233612176774,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,32.14865279197693,1
0.013561993719458744,0.634521484375,40.38284611701965,16,0.05250301604601987,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,31.678778648376465,1
0.010318604114499873,0.6826171875,75.47612261772156,32,0.019598890245312084,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,31.510388612747192,1
0.007163820177874516,0.7544433593750001,144.2685616016388,64,0.019087738013594757,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,31.567689418792725,1
0.00568805838074618,0.8092285156250001,282.9191493988037,128,0.007405442249836192,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,31.288794994354248,1
0.004053768773101536,0.852001953125,549.0295741558075,256,0.004642136300236355,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,31.869165658950806,1
0.013583238114317699,0.614306640625,39.45108914375305,16,0.038142376261959654,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,31.60241675376892,1
0.008577693758974402,0.723388671875,74.62617182731628,32,0.023911678345834353,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,31.186131477355957,1
0.0070363125994018505,0.7593261718750002,144.35052037239075,64,0.008502276812591303,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,31.28934097290039,1
0.00495486140802091,0.8234375,284.98796248435974,128,0.0058130541223840315,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,31.285334825515747,1
0.004444662073313226,0.8458007812500001,557.5673997402191,256,0.0033433563777827136,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,31.112645626068115,1
0.011600604357327899,0.6641601562499999,40.1814661026001,16,0.04553971055721151,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,31.08117413520813,1
