mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.014869744546591937,0.6060546875,73.07405948638916,10,0.0454800052537766,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.010146379470825195,10
0.010455291909061845,0.7108886718749999,136.60375809669495,20,0.019255352066890496,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010443449020385742,20
0.007170681714017999,0.7848144531250001,271.072562456131,40,0.008145082398362757,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010400772094726562,40
0.004673143997995941,0.8354492187500001,550.0770168304443,80,0.00414033654970003,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010200023651123047,79
0.003869350038825866,0.8626464843750001,1097.179701089859,160,0.0025161908511546205,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010113000869750977,149
0.0033691049996962172,0.8809082031250002,2158.4236390590668,320,0.002353336027271946,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009695291519165039,320
0.014765426735905775,0.606201171875,72.50093817710876,10,0.03365574239237834,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.010913610458374023,10
0.011176341915344855,0.6939941406249999,138.66138887405396,20,0.01818194166987641,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.01697087287902832,20
0.007774229991546977,0.753369140625,273.4405868053436,40,0.007639583584592768,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010205984115600586,40
0.00493501966760097,0.8335449218750001,535.333375453949,80,0.003812616302371341,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010090112686157227,75
0.0039249511777703396,0.8636718750000001,1105.4771225452423,160,0.003093530622744478,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0103302001953125,153
0.0031663688787768097,0.886669921875,2163.9325201511383,320,0.0027986157740513273,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.014147281646728516,320
0.01692093892271253,0.60693359375,72.3643810749054,10,0.052753299442614976,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.010079145431518555,10
0.011469348136242634,0.67841796875,137.10403299331665,20,0.020611031757717058,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0100555419921875,20
0.00607921554719095,0.7979003906250001,273.29150319099426,40,0.005930207229333517,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.010182380676269531,40
0.005386161674809754,0.8226562500000001,557.0297012329102,80,0.004293337366492844,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010978221893310547,79
0.0035039330877163193,0.8733398437500001,1109.0469226837158,160,0.0023776645821490527,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010345220565795898,146
0.003091008070385599,0.892041015625,2169.6009261608124,320,0.0024822107252341352,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009601831436157227,320
0.016702709666099467,0.582568359375,70.95665621757507,10,0.0510749507309296,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.010565757751464844,10
0.009439414114585024,0.715087890625,137.29070162773132,20,0.018127023712947166,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.009861230850219727,20
0.006802960526362017,0.7851562500000001,273.40140295028687,40,0.00577062391406763,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.009894132614135742,40
0.005352817816668249,0.8164550781250001,553.5708274841309,80,0.003870781675756163,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.00983428955078125,79
0.004004804450339121,0.8603027343750002,1104.2986207008362,160,0.0028421881684466133,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010208368301391602,152
0.003368283038107536,0.8807617187500001,2171.256997823715,320,0.002019797212689578,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.011942625045776367,320
0.014718057281779749,0.63447265625,71.72570753097534,10,0.03995290010622671,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.010989904403686523,10
0.009704030850046064,0.7065429687500001,137.0148994922638,20,0.016816696921556407,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.009732246398925781,20
0.007267054862626906,0.777197265625,272.5891718864441,40,0.007249906540524598,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.009701728820800781,39
0.004812636554791048,0.83466796875,554.3544352054596,80,0.002918123195754796,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.010979413986206055,79
0.0035629835776097235,0.873291015625,1103.8486471176147,160,0.0030027151086396975,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.01026296615600586,152
0.0023573293492363794,0.9111328125,2172.9144949913025,320,0.002130345638549691,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009588956832885742,320
0.014878695000133814,0.6210449218749999,72.15539598464966,10,0.04448542612633438,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.012451887130737305,10
0.010118002249906999,0.7010253906250001,136.91663336753845,20,0.016643264346217934,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.010045766830444336,20
0.007993979622214908,0.753125,272.1342628002167,40,0.008048393002435095,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.009841680526733398,40
0.005153216304089646,0.831005859375,555.7125580310822,80,0.0038384342739969934,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.009796380996704102,79
0.003878007732174079,0.8669921875000002,1106.334201335907,160,0.0029981246852122667,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.00987863540649414,148
0.0030508070689896044,0.892041015625,2171.6819417476654,320,0.0018812713108068424,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009578704833984375,320
0.014297699153035233,0.618359375,72.36493229866028,10,0.03196550534808579,shapiq,kernel,kernel_thinning,stratified,Not needed,Not needed,Not needed,4,0.011065006256103516,10
