mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.022110388957426712,1.0,4.45074200630188,8,0.09129929462318415,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,8.242908716201782,1
0.005546333762491591,1.0,0.6261072158813477,16,0.07156116766178133,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,8.328856229782104,1
0.011494582634545308,1.0,0.8985958099365234,32,0.029547516371369154,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,8.15998363494873,1
0.0033600217664640094,1.0,1.8161847591400146,64,0.012398325890348227,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,8.328990459442139,1
0.007310876148280744,1.0,3.6469838619232178,128,0.007230698817446146,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,8.107137441635132,1
0.026302913933047803,1.0,0.23207688331604004,8,0.13396584371870912,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,8.031988620758057,1
0.02192827990023946,1.0,0.5371849536895752,16,0.04911543454277234,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,8.45990800857544,1
0.013152324785875271,1.0,0.8613088130950928,32,0.03396202599135095,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,8.145561933517456,1
0.004669519738246742,1.0,1.7715356349945068,64,0.013219580853694901,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,8.347931146621704,1
0.007598089661810553,1.0,3.6270148754119873,128,0.007188977291700649,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,8.113675117492676,1
0.04069503989860927,1.0,0.14877080917358398,8,0.13752852195295806,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,8.147457122802734,1
0.01911792206087161,1.0,0.3528127670288086,16,0.04763639399334557,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,8.367932319641113,1
0.00556141459636612,1.0,0.8564565181732178,32,0.025008089884580698,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,8.15372920036316,1
0.008859127691849166,1.0,1.759422779083252,64,0.01239545339512299,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,7.9692542552948,1
0.003977218718393929,1.0,3.639359474182129,128,0.006358795215818891,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,8.256292343139648,1
0.08405815502813589,1.0,0.16293120384216309,8,0.10676163911544301,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,8.047012567520142,1
0.01781337311410544,1.0,0.35012269020080566,16,0.044672643345205876,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,8.26319694519043,1
0.004478770735586581,1.0,0.8694639205932617,32,0.0403092646932961,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,8.08439016342163,1
0.004798900716642436,1.0,1.7685737609863281,64,0.00922873880962849,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,8.210845708847046,1
0.005587644972776243,1.0,3.631422758102417,128,0.007727164251934648,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,8.317460060119629,1
0.019581897501529104,1.0,0.22301578521728516,8,0.08877570110700927,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,8.124234437942505,1
0.01592439880734018,1.0,0.35912466049194336,16,0.03783956017296036,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,8.257317066192627,1
0.013166953771914198,1.0,0.8868052959442139,32,0.030143543990257426,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,8.04512906074524,1
0.005102560564460797,1.0,1.7653911113739014,64,0.014364433201517923,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,8.076133489608765,1
0.004655244233514238,1.0,3.6197385787963867,128,0.007837042541988137,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,8.34740424156189,1
0.040378656495303374,0.8,0.14667820930480957,8,0.11313095144832253,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,8.033332109451294,1
0.020620816951745443,1.0,0.35372447967529297,16,0.04455303305501279,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,8.293739557266235,1
0.006882102979794568,1.0,0.8793556690216064,32,0.028743867013833968,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,8.053495168685913,1
0.010089868504318042,1.0,1.7640831470489502,64,0.0122182358250979,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,8.245167970657349,1
0.002510827395608043,1.0,3.6307220458984375,128,0.005688300935130786,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,8.400913715362549,1
0.09565993850554785,0.8,0.15361475944519043,8,0.12317365268407021,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,8.183102369308472,1
0.012828084090064746,1.0,0.35594987869262695,16,0.04437616111546916,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,8.318986654281616,1
0.005784861216322441,1.0,1.3138267993927002,32,0.02108809435903075,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,8.097373723983765,1
0.006791560964251282,1.0,1.7666282653808594,64,0.012959214302773747,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,8.125099658966064,1
0.007921034544445989,1.0,3.6238956451416016,128,0.007099632805977529,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,8.382261037826538,1
0.02104899213776492,1.0,0.15397000312805176,8,0.08578562699317216,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,8.24702262878418,1
0.011440634926544697,1.0,0.5314669609069824,16,0.03730998763254095,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,8.139209270477295,1
0.00320876317422617,1.0,0.873039722442627,32,0.018527860149977815,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,8.328983068466187,1
0.0023035095795248643,1.0,1.7715990543365479,64,0.011017672135840373,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,8.073570013046265,1
0.0051018936791209,1.0,3.6223502159118652,128,0.004199645196451829,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,8.248905181884766,1
0.03462759567377888,0.8,0.14261102676391602,8,0.12222880935250124,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,8.15424370765686,1
0.020731689379790183,1.0,0.3534519672393799,16,0.047117011877674586,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,8.1082284450531,1
0.0030211070681168835,1.0,0.8853747844696045,32,0.016778544491176883,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,8.387636423110962,1
0.006788695137876828,1.0,2.6717679500579834,64,0.013663568711264007,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,8.14438772201538,1
0.006598328004495542,1.0,3.63596773147583,128,0.00994156094197235,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,8.381322622299194,1
0.025766342222379512,1.0,0.21742773056030273,8,0.11702628481481148,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,8,8.016655921936035,1
0.023559384232259343,0.8,0.34616780281066895,16,0.08067573636267061,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,8.144437789916992,1
0.00975309628843462,1.0,0.8701050281524658,32,0.02036232465394383,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,8.375890970230103,1
0.0059047972280585215,1.0,1.7665047645568848,64,0.013691396026826286,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,8.049798250198364,1
