mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.042346723278857815,0.709765625,33.51707124710083,8,0.11684205614722687,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.004843473434448242,8
0.038206977678129646,0.7308593750000001,60.58050489425659,16,0.07600882949339427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.008375883102416992,16
0.026502207795737618,0.7996093750000002,118.1979672908783,32,0.043906562121912907,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.015277385711669922,32
0.019358927662227954,0.8386718750000001,226.31654405593872,64,0.021661807541743516,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.027869462966918945,64
0.013190754013600462,0.87890625,444.31924700737,128,0.010112242976460295,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.058825016021728516,128
0.042346723278857815,0.709765625,33.39136815071106,8,0.11684205614722687,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0050487518310546875,8
0.038206977678129646,0.7308593750000001,60.72451615333557,16,0.07600882949339427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.008254289627075195,16
0.026502207795737618,0.7996093750000002,115.30727910995483,32,0.043906562121912907,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.015432119369506836,32
0.019358927662227954,0.8386718750000001,224.45265436172485,64,0.021661807541743516,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.029911041259765625,64
0.013190754013600462,0.87890625,441.43856739997864,128,0.010112242976460295,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.059557437896728516,128
0.042346723278857815,0.709765625,32.9094033241272,8,0.11684205614722687,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.004624843597412109,8
0.038206977678129646,0.7308593750000001,60.372825384140015,16,0.07600882949339427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.008298397064208984,16
0.026502207795737618,0.7996093750000002,115.30218386650085,32,0.043906562121912907,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.01533198356628418,32
0.019358927662227954,0.8386718750000001,224.6978039741516,64,0.021661807541743516,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06545591354370117,64
0.013190754013600462,0.87890625,440.4196946620941,128,0.010112242976460295,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.06752276420593262,128
0.042346723278857815,0.709765625,33.359800577163696,8,0.11684205614722687,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.004812479019165039,8
0.038206977678129646,0.7308593750000001,61.1796350479126,16,0.07600882949339427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.008124351501464844,16
