mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.025727501855580977,0.760986328125,341.30028533935547,16,0.051841409816679285,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,140.39279699325562,1
0.012398638692383496,0.873486328125,560.0457105636597,32,0.039301931232698706,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,142.5481436252594,1
0.012335303299852517,0.866650390625,1197.9726207256317,64,0.01709051940617068,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,177.7104880809784,1
0.0073794795162499885,0.9085937500000001,2224.7683806419373,128,0.010219391357382146,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,86.74071455001831,1
0.0045026805229336645,0.9467773437500001,4357.9236397743225,256,0.008304815927402842,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,114.72835898399353,1
0.009764273903444759,0.869873046875,335.06650471687317,16,0.034045577392113224,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,117.31258392333984,1
0.009787257973999094,0.894970703125,570.9315431118011,32,0.020612834288425252,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,112.74228048324585,1
0.015259628355525065,0.8426757812500001,1195.9531807899475,64,0.02675683411571228,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,112.4732494354248,1
0.006588491104556406,0.9240234375,2267.7850184440613,128,0.006792853824571066,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,110.78216528892517,1
0.004999217733056642,0.9405761718750001,4385.066295862198,256,0.0061749292351413465,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,111.75726342201233,1
0.012683662214021745,0.8528320312500002,339.6120619773865,16,0.04431082568125255,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,81.63661813735962,1
0.009834604666705781,0.883056640625,573.7421615123749,32,0.015134513106694558,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,110.67287540435791,1
0.0084902601757142,0.90009765625,1202.4214203357697,64,0.014714683331325307,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,80.34119129180908,1
0.00835436281105589,0.9100585937500001,2185.7525341510773,128,0.007024068634852387,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,140.19457030296326,1
0.0038190162089557275,0.95341796875,4371.655761957169,256,0.006146830924216251,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,81.37106370925903,1
0.012850168618007089,0.8693359375,335.5292317867279,16,0.038317136804509655,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,109.97623658180237,1
0.011145093909921347,0.8754882812500001,579.2223422527313,32,0.02396563215754005,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,80.7209861278534,1
0.008991143277627104,0.8984375000000001,1196.1649956703186,64,0.01338129578018421,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,141.04129433631897,1
0.007714928356654195,0.9171875,2343.1399376392365,128,0.008826606864272668,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,138.67739152908325,1
0.0051416589843703885,0.940625,4408.129497528076,256,0.00603568584877362,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,82.23758101463318,1
0.016698399793856383,0.8433593750000001,340.72411489486694,16,0.04981171972041887,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,112.28689932823181,1
0.020178759201075924,0.8126464843750001,564.6780564785004,32,0.01876358341818196,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,141.27643036842346,1
0.010386926164721247,0.8863281250000001,1193.7324314117432,64,0.017224431049163436,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,139.99102902412415,1
0.004575558451623744,0.9439941406250001,2282.6657593250275,128,0.00976971623669215,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,111.16578555107117,1
0.005146737430138405,0.93662109375,4423.86393404007,256,0.006246768287678783,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,142.86807322502136,1
0.014191110010075711,0.8221679687500001,337.1509602069855,16,0.04355037296860598,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,142.8608078956604,1
0.009138922658434431,0.9005371093750001,582.5115051269531,32,0.023386803263464317,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,141.31798911094666,1
0.007387394123953665,0.9150878906250001,1240.3921060562134,64,0.015303526334544737,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,81.64488458633423,1
0.006336849961229422,0.93037109375,2306.689843416214,128,0.006772764362203865,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,113.83369612693787,1
0.006845977917939216,0.920361328125,4399.649193286896,256,0.006795602979778381,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,80.92532896995544,1
0.020675749383900936,0.7649414062500001,327.39005517959595,16,0.05394605066964414,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,140.6982181072235,1
0.01170664881678046,0.8769531250000001,583.6518905162811,32,0.021866679057041205,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,139.62786054611206,1
0.008871031961168877,0.89228515625,1248.5570032596588,64,0.017790868684036176,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,111.8896017074585,1
0.006731919070091645,0.911572265625,2366.831017971039,128,0.008851405479916086,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,109.7388641834259,1
0.0052084460185317745,0.9363769531250001,4472.150464773178,256,0.005723751949907374,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,111.32164907455444,1
0.012574390351469575,0.85615234375,331.54607796669006,16,0.0394049977156532,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,111.07538866996765,1
0.006330317728035935,0.9202636718750001,572.135509967804,32,0.02406655680381886,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,81.55727005004883,1
0.0065756703445291375,0.9174804687500001,1206.2132196426392,64,0.017385118292795765,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,81.1787097454071,1
0.007027833146485915,0.9216308593750001,2255.598365545273,128,0.005690130660942261,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,112.69602060317993,1
0.005309082071594935,0.93701171875,4416.01363825798,256,0.004030640213775194,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,169.69724440574646,1
0.013756020615609741,0.8411132812500002,335.15828824043274,16,0.06181762980248212,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,82.23726058006287,1
0.015266944641123088,0.8435546875000002,574.36359333992,32,0.03774474627933577,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,110.09160923957825,1
0.008936822452235559,0.8953125000000001,1226.475925207138,64,0.019263311148338236,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,169.8963348865509,1
0.004948564331924143,0.9441406250000001,2409.240489721298,128,0.005509546472375004,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,114.33459234237671,1
0.005879601898376312,0.930859375,4599.980028390884,256,0.005313346118920925,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,82.91269540786743,1
0.01744488135483437,0.804931640625,346.1592392921448,16,0.043941079095620506,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,123.14146041870117,1
0.010558769399058407,0.8834472656250001,587.5770123004913,32,0.022547696644627857,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,118.02990794181824,1
0.012751536017214555,0.8453613281250001,1208.054417848587,64,0.019590880987614745,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,87.10393524169922,1
0.005392778468345577,0.9346679687500001,2403.1119384765625,128,0.007307668966595071,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,120.1778712272644,1
0.006326157098018054,0.9266113281250001,4574.8982629776,256,0.004546587644824407,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,82.27382683753967,1
