mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.017699528293946533,0.8392089843750001,751.0084578990936,16,0.051841409816679285,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,139.215802192688,1
0.01706038842178828,0.81806640625,1289.3225903511047,32,0.039301931232698706,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,140.11038875579834,1
0.012137781565508928,0.889111328125,2516.830400466919,64,0.01709051940617068,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,167.26353859901428,1
0.009355319891057215,0.9083007812500001,4709.169375896454,128,0.010219391357382146,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,80.54324150085449,1
0.00899531882711462,0.90693359375,9307.19706773758,256,0.008304815927402842,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,109.18945384025574,1
0.016139853070864737,0.8359375000000002,708.3750877380371,16,0.034045577392113224,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,109.78325390815735,1
0.015296187068088607,0.8135742187500001,1288.0655031204224,32,0.020612834288425252,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,109.96397972106934,1
0.012638120563523883,0.8772949218750001,2498.2172808647156,64,0.02675683411571228,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,111.19575214385986,1
0.012706117884854973,0.8411132812500001,4706.0349361896515,128,0.006792853824571066,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,109.52386546134949,1
0.009101649823485379,0.8963378906250001,9368.671211957932,256,0.0061749292351413465,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,110.68407893180847,1
0.01710066900257402,0.832958984375,734.7939736843109,16,0.04431082568125255,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,81.2250907421112,1
0.015187268390364429,0.8400390625,1308.8730022907257,32,0.015134513106694558,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,109.00223779678345,1
0.013447238835797216,0.8677734375000001,2531.6290669441223,64,0.014714683331325307,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,85.30452513694763,1
0.014489038674173274,0.8475585937500001,4695.557553529739,128,0.007024068634852387,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,145.98345613479614,1
0.009834526936495256,0.893798828125,9497.137410640717,256,0.006146830924216251,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,81.04481935501099,1
0.020857441456452876,0.7760253906250001,729.5386023521423,16,0.038317136804509655,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,114.92755508422852,1
0.014859989033300925,0.8298828125000001,1329.556221485138,32,0.02396563215754005,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,81.6939857006073,1
0.013449087547331299,0.8544921875000002,2518.3521811962128,64,0.01338129578018421,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,138.3934304714203,1
0.009368163504602154,0.90205078125,4635.440635204315,128,0.008826606864272668,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,138.93667244911194,1
0.009117835045240587,0.8993164062500001,9244.188783884048,256,0.00603568584877362,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,81.10517859458923,1
0.019656024774524283,0.8137695312500001,707.4575927257538,16,0.04981171972041887,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,110.8399248123169,1
0.01748244902012706,0.8403808593750002,1321.2268435955048,32,0.01876358341818196,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,138.4320933818817,1
0.012359635916149464,0.8712402343750001,2439.771886587143,64,0.017224431049163436,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,139.55875658988953,1
0.009951695308084813,0.8938964843750001,4803.540597438812,128,0.00976971623669215,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,111.29334139823914,1
0.009712069365736785,0.8973632812500001,9459.754245758057,256,0.006246768287678783,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,139.31323337554932,1
0.01813730222035385,0.8211425781250001,750.9409215450287,16,0.04355037296860598,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,140.50607061386108,1
0.010474656875891717,0.8914062500000002,1301.599093914032,32,0.023386803263464317,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,140.6055610179901,1
0.01380288568308125,0.8454589843750001,2398.447125673294,64,0.015303526334544737,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,81.13719725608826,1
0.011441711676352346,0.86787109375,4621.850977420807,128,0.006772764362203865,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,109.37969970703125,1
0.008522000989898125,0.9056640625000001,9601.616248607635,256,0.006795602979778381,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,87.62508773803711,1
0.018319053615093978,0.8479492187500001,738.5403695106506,16,0.05394605066964414,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,139.68248057365417,1
0.015997113572044135,0.8167968750000001,1328.932188987732,32,0.021866679057041205,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,139.31497073173523,1
0.015662140349953776,0.8349609375000001,2431.9713096618652,64,0.017790868684036176,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,112.66417169570923,1
0.011393706340867688,0.8751464843750001,4719.368496417999,128,0.008851405479916086,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,110.41846895217896,1
0.009224389187395097,0.8994140625,9227.335841655731,256,0.005723751949907374,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,111.21565985679626,1
