mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.010774006106878339,0.8689453125000001,337.7448740005493,16,0.040451937981740294,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.06349658966064453,16
0.007824233968453206,0.904052734375,566.0914175510406,32,0.0195391692422352,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.0870661735534668,32
0.006573365136604095,0.9212890625000001,1160.0624361038208,64,0.01579414565885584,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.36684536933898926,64
0.007090292255117473,0.9089843750000001,2191.129401445389,128,0.011986320002281059,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.6511209011077881,128
0.009572411619612274,0.886572265625,4289.736458778381,256,0.01077809962309717,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.6215019226074219,256
0.010760019477722508,0.8674804687500001,335.7452266216278,16,0.040451937981740294,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.04129815101623535,16
0.007837230539677597,0.9043945312500001,587.6798493862152,32,0.0195391692422352,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.11028051376342773,32
0.006536716772405681,0.9217773437500001,1212.883676290512,64,0.01579414565885584,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.16846632957458496,64
0.006996710415378497,0.9129394531250001,2250.0095086097717,128,0.011986320002281059,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.32642269134521484,128
0.009578281693389354,0.8865722656250001,4307.418661594391,256,0.01077809962309717,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.638709306716919,256
0.010766118677752281,0.8697753906250001,332.6830415725708,16,0.040451937981740294,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.043695926666259766,16
0.007817973173184336,0.904150390625,582.5409345626831,32,0.0195391692422352,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.08166885375976562,32
0.006545173703566392,0.923291015625,1189.2416908740997,64,0.01579414565885584,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.16394805908203125,64
0.007058483191840512,0.911328125,2226.5665695667267,128,0.011986320002281059,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.3132443428039551,128
0.009609992347752479,0.8868652343750001,4302.441351175308,256,0.01077809962309717,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.6639537811279297,256
0.010754125624731594,0.8694335937500001,335.884309053421,16,0.040451937981740294,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.04251408576965332,16
0.007826272015940858,0.90244140625,579.4578113555908,32,0.0195391692422352,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.08863067626953125,32
0.006536733065109874,0.922607421875,1189.1004593372345,64,0.01579414565885584,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.15932393074035645,64
0.00703841977962352,0.9107421875000001,2220.449606180191,128,0.011986320002281059,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.3273661136627197,128
0.009598921890396683,0.885205078125,4300.8583381175995,256,0.01077809962309717,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.613353967666626,256
0.010763515212623522,0.8681640625,329.03652787208557,16,0.040451937981740294,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.04383039474487305,16
0.007815501615741295,0.9042968750000001,568.5655088424683,32,0.0195391692422352,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.09978580474853516,32
0.006539338705679231,0.9240234375,1196.0371327400208,64,0.01579414565885584,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.19271159172058105,64
0.007030925648541136,0.91318359375,2232.1341857910156,128,0.011986320002281059,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.31236720085144043,128
0.009624037315760527,0.8856445312500001,4290.187251806259,256,0.01077809962309717,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.6388194561004639,256
0.010757389906023821,0.8692871093750002,344.2307298183441,16,0.040451937981740294,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.04316544532775879,16
0.007860464144619527,0.9020996093750001,593.6904592514038,32,0.0195391692422352,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.08546090126037598,32
0.006540298482463705,0.9231445312500001,1184.923941373825,64,0.01579414565885584,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.15790796279907227,64
0.007055103339620187,0.9119140625000001,2222.8202493190765,128,0.011986320002281059,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.33247923851013184,128
0.009584692953542478,0.8851074218750001,4315.815860271454,256,0.01077809962309717,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.6388814449310303,256
0.010754543651152412,0.8681640625000001,334.00693583488464,16,0.040451937981740294,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.045252084732055664,16
0.007849946601350234,0.90380859375,566.3674867153168,32,0.0195391692422352,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.07761645317077637,32
0.006564414410172801,0.9209960937500001,1177.1455528736115,64,0.01579414565885584,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.1652519702911377,64
0.0070571511219535464,0.9122558593750001,2219.1910276412964,128,0.011986320002281059,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.31035780906677246,128
0.009584135241976923,0.8861328125000001,4293.9127650260925,256,0.01077809962309717,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.6385960578918457,256
0.010779008945118185,0.8684570312500001,329.82672452926636,16,0.040451937981740294,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.042017459869384766,16
0.007845533462908288,0.90400390625,568.274740934372,32,0.0195391692422352,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.08646392822265625,32
0.006525513871342632,0.921728515625,1174.4726552963257,64,0.01579414565885584,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.16416072845458984,64
0.007057891696819547,0.9126464843750001,2228.6060733795166,128,0.011986320002281059,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.33220458030700684,128
0.009611968583386296,0.8851074218750001,4315.794096708298,256,0.01077809962309717,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.7305781841278076,256
0.010781631313465663,0.8693847656250001,331.8719255924225,16,0.040451937981740294,shap,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.044913530349731445,16
