mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.004138468684222995,0.6716796875,3766.0377430915833,16,0.040451937981740294,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.06263256072998047,16
0.003586506985534504,0.737744140625,6356.168988466263,32,0.0195391692422352,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.1104898452758789,32
0.0032557795542249037,0.762109375,11319.165639400482,64,0.01579414565885584,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.16385483741760254,64
0.0030616408868153035,0.79326171875,22237.233279705048,128,0.011986320002281059,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.5313546657562256,128
0.002964442155901354,0.808544921875,44197.2767868042,256,0.01077809962309717,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,1.1020052433013916,256
0.0041348453814828885,0.673291015625,3908.1594653129578,16,0.040451937981740294,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.04553389549255371,16
0.003581638579896114,0.736767578125,6621.412473917007,32,0.0195391692422352,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.22182250022888184,32
0.0032577002710768525,0.7637695312500001,12003.855204820633,64,0.01579414565885584,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.30171728134155273,64
0.0030550662032249203,0.794140625,22870.250145435333,128,0.011986320002281059,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.3562431335449219,128
0.0029690626757202304,0.8087890625,45926.199434518814,256,0.01077809962309717,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.6851356029510498,256
0.0041352631710637215,0.674560546875,4213.516583442688,16,0.040451937981740294,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.04583930969238281,16
0.003582916236792483,0.737255859375,7116.7337164878845,32,0.0195391692422352,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.08581018447875977,32
0.003260666916641676,0.7637695312500001,12941.38679075241,64,0.01579414565885584,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.16931962966918945,64
0.0030560404957079967,0.7962890625000001,23882.858288049698,128,0.011986320002281059,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.6497156620025635,128
0.00296677913279538,0.8094238281250001,47252.89712357521,256,0.01077809962309717,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.9067387580871582,256
0.004135438272973446,0.6727539062500001,4198.664265394211,16,0.040451937981740294,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.0678863525390625,16
0.0035856666187067685,0.735546875,7147.78772854805,32,0.0195391692422352,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.17281508445739746,32
0.0032588118781266,0.761962890625,12977.514810562134,64,0.01579414565885584,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.20697999000549316,64
0.0030590722105538893,0.794921875,24689.974687337875,128,0.011986320002281059,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.3664734363555908,128
0.002967806191523011,0.8089355468750001,48164.20288181305,256,0.01077809962309717,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.8276140689849854,256
0.004136050265184518,0.671875,4231.189896345139,16,0.040451937981740294,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.04535102844238281,16
0.0035821536572759717,0.73701171875,7138.828636407852,32,0.0195391692422352,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.08753514289855957,32
0.0032592632905406676,0.763525390625,13053.789369821548,64,0.01579414565885584,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.17521190643310547,64
0.0030596122412293865,0.7945800781250001,24638.532799243927,128,0.011986320002281059,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.5837452411651611,128
0.002967540742438983,0.8089355468750001,47701.39898753166,256,0.01077809962309717,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.8068475723266602,256
0.00413473842870785,0.671826171875,4159.389135122299,16,0.040451937981740294,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.21754121780395508,16
0.0035768774959093314,0.736279296875,7049.388724088669,32,0.0195391692422352,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.08672142028808594,32
0.003256802359672111,0.7644531250000001,12582.686092853546,64,0.01579414565885584,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.1985180377960205,64
0.0030577183780772245,0.7940917968750001,23729.3719830513,128,0.011986320002281059,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.39763665199279785,128
0.002968399442581743,0.806884765625,45149.36851191521,256,0.01077809962309717,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.7684249877929688,256
0.004135058907337539,0.674365234375,3963.127234697342,16,0.040451937981740294,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.07504749298095703,16
0.0035790748633877842,0.737109375,6729.288864612579,32,0.0195391692422352,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.07831120491027832,32
0.0032609192026542737,0.7643066406250001,12200.989657402039,64,0.01579414565885584,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.20714020729064941,64
0.003057645080983443,0.792724609375,23215.855392456055,128,0.011986320002281059,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.4051854610443115,128
0.0029626800097772694,0.808935546875,45086.67358779907,256,0.01077809962309717,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.8244833946228027,256
0.0041379591441389005,0.67421875,3965.647547721863,16,0.040451937981740294,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.04668378829956055,16
0.0035808836368506737,0.735546875,6712.151476860046,32,0.0195391692422352,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.0955359935760498,32
0.0032572037351475975,0.7654296875000001,12258.688558340073,64,0.01579414565885584,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.2291243076324463,64
0.003058797174724477,0.7955078125000001,23250.53873205185,128,0.011986320002281059,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.42499208450317383,128
0.0029721755690658236,0.8077636718750001,45229.04331469536,256,0.01077809962309717,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.8131923675537109,256
0.00413380501790708,0.6729492187499999,3980.1485583782196,16,0.040451937981740294,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.10509610176086426,16
0.0035851780533727373,0.7365234375,6727.804605722427,32,0.0195391692422352,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.08170318603515625,32
0.003257478549244807,0.7638183593750001,12226.996065855026,64,0.01579414565885584,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.233262300491333,64
0.0030568857965867727,0.7955078125000001,23230.164844036102,128,0.011986320002281059,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.8158063888549805,128
0.0029745639263464517,0.8089843750000001,44153.82955169678,256,0.01077809962309717,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,1.1923513412475586,256
0.004135714664317702,0.67333984375,3869.4258196353912,16,0.040451937981740294,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.08558034896850586,16
0.0035794129637563826,0.7367187500000001,6514.485368013382,32,0.0195391692422352,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.08873295783996582,32
0.003254011402011575,0.7627929687500001,11894.5804169178,64,0.01579414565885584,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.20717310905456543,64
0.0030540255059508963,0.795849609375,22603.47144794464,128,0.011986320002281059,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.4084944725036621,128
0.0029672714312058966,0.8079589843750001,43983.79796171188,256,0.01077809962309717,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.8336749076843262,256
