mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.21429877787299453,0.4,15.44569444656372,16,0.052894227238270974,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,71.53832674026489,1
0.24738627169572325,0.6,26.95646023750305,32,0.02745513731847321,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,118.84374070167542,1
0.1705498212864909,0.8,51.242626667022705,64,0.012567397827329074,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,95.08117294311523,1
0.09897795762471309,0.8,99.02353143692017,128,0.005966041924309606,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,143.54801034927368,1
0.039467476033649404,1.0,202.02719640731812,256,0.003191003025034722,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,95.60983777046204,1
0.1126339901584073,0.8,14.417827367782593,16,0.04981772233259474,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,94.88269662857056,1
0.11977935130387776,1.0,26.478105068206787,32,0.040987474931421575,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,94.7919545173645,1
0.0801667896911387,1.0,52.83289861679077,64,0.009168651240583914,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,118.79643845558167,1
0.09823106137395261,0.8,104.85090517997742,128,0.00725420888911682,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,142.69794726371765,1
0.03627098184901996,0.8,199.54334163665771,256,0.0035577899939226443,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,94.58558630943298,1
0.09885339215799357,0.8,14.094696283340454,16,0.04299055303925631,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,120.20994520187378,1
0.11880547938740323,0.8,27.100772619247437,32,0.026718863577129492,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,167.2508316040039,1
0.13722509232645866,0.8,51.3215126991272,64,0.014643767230823168,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,94.70193672180176,1
0.05026899964233865,0.8,98.60028886795044,128,0.007791170487628618,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,119.57514071464539,1
0.07095768401742818,1.0,201.33162546157837,256,0.0039852049507367315,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,94.12813591957092,1
0.10437715024478501,0.8,13.767249584197998,16,0.052379303054834014,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,142.56372499465942,1
0.09074553365902929,0.8,26.90208148956299,32,0.026780616129671087,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,143.4505913257599,1
0.0854325312246493,0.8,52.71263933181763,64,0.010689787086803293,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,119.10585045814514,1
0.06530790104512285,1.0,103.16988587379456,128,0.00795692496155842,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,93.44710373878479,1
0.06020480086317827,0.8,198.9305682182312,256,0.00390404761850488,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,256,143.80271315574646,1
0.1590829411103042,0.8,14.310622930526733,16,0.04267268435371574,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,16,94.16400527954102,1
0.09682138181526039,0.8,25.625919818878174,32,0.02165488067478344,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,32,95.04456424713135,1
0.07146685548616165,0.8,51.04316306114197,64,0.015386786719313705,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,64,95.7647500038147,1
0.06694905429668782,0.8,102.99348950386047,128,0.006516369060303506,sage,permutation,arfpy,none,Not needed,Not needed,Not needed,128,95.4068558216095,1
