mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.009315785879191994,0.34223632812500004,2926.281714439392,16,0.052894227238270974,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,72.2139060497284,1
0.006342059694655,0.525390625,4812.771638631821,32,0.02745513731847321,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,121.16439270973206,1
0.005849591739793318,0.56171875,8397.08187866211,64,0.012567397827329074,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,97.25657272338867,1
0.004881465242941907,0.631298828125,15743.269483566284,128,0.005966041924309606,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,146.66576838493347,1
0.004402474162153589,0.67255859375,30159.611969947815,256,0.003191003025034722,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,97.13320350646973,1
0.00889238246311098,0.3787109375,2949.21067404747,16,0.04981772233259474,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,96.49447131156921,1
0.006648565725409408,0.517822265625,4767.413853883743,32,0.040987474931421575,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,96.6104166507721,1
0.0052058211024945625,0.60302734375,8405.628921747208,64,0.009168651240583914,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,122.31981992721558,1
0.005221127854856162,0.6201171875,15249.582077980042,128,0.00725420888911682,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,146.3523542881012,1
0.004488660489225556,0.6731445312500001,29160.409782886505,256,0.0035577899939226443,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,96.83449268341064,1
0.009668375091613121,0.345703125,2846.5548963546753,16,0.04299055303925631,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,121.40079832077026,1
0.0061615925041676204,0.525146484375,4603.474385976791,32,0.026718863577129492,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,169.7670774459839,1
0.0052535523690808526,0.589111328125,8115.242645740509,64,0.014643767230823168,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,96.39447522163391,1
0.004939016427989399,0.650048828125,15162.839496612549,128,0.007791170487628618,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,121.11965823173523,1
0.004561658475124533,0.671337890625,29227.983221530914,256,0.0039852049507367315,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,96.52117800712585,1
0.008270893170012993,0.388671875,2815.627191066742,16,0.052379303054834014,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,144.89636254310608,1
0.006458291774318944,0.5388671875,4593.541271209717,32,0.026780616129671087,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,146.6985125541687,1
0.005113683873885462,0.6146972656249999,8111.301831007004,64,0.010689787086803293,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,122.99905109405518,1
0.004794062272059713,0.63837890625,15028.936829566956,128,0.00795692496155842,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,97.44704413414001,1
0.004579635234415084,0.658984375,29096.262209892273,256,0.00390404761850488,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,145.97373485565186,1
0.007290664539962634,0.49287109375,2828.523045063019,16,0.04267268435371574,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,16,97.50552606582642,1
0.006152225596002561,0.537890625,4578.9017243385315,32,0.02165488067478344,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,96.07592415809631,1
0.005336774240118921,0.58720703125,8079.991760015488,64,0.015386786719313705,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,98.46359419822693,1
0.005110378755608897,0.6168457031250001,15127.348448753357,128,0.006516369060303506,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,101.16266012191772,1
