mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.3894706566169621,0.6,6.007329702377319,26,0.04681846373872045,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.007508516311645508,26
0.23884751835491366,0.8,1.9368035793304443,52,0.014214098627746863,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.00736236572265625,52
0.13312093323263674,1.0,3.210524320602417,104,0.0029491314155833392,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.007282257080078125,104
0.0941855808787519,1.0,7.474184274673462,208,0.0014821673798360857,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.007075071334838867,207
0.08326552276210193,1.0,12.959464311599731,416,0.001056262309446443,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.007920265197753906,416
0.36158047173733554,0.8,0.8266260623931885,26,0.05061481987634264,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0068585872650146484,26
0.27162062227254147,0.8,1.55897855758667,52,0.011077961326836139,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.007239818572998047,52
0.16126529421283237,1.0,2.9700474739074707,104,0.0027537091110704792,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.007161617279052734,104
0.1628025762725946,1.0,6.344752550125122,208,0.0027449881070407134,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.007418632507324219,203
0.07709288726237011,1.0,12.239583730697632,416,0.000989723125396469,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.005261898040771484,416
0.3660843547587783,0.6,0.6871392726898193,26,0.048836548032829774,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.007008552551269531,26
0.22432921745756132,0.8,1.5369503498077393,52,0.012470519708635164,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.011477231979370117,52
0.16022833575676843,1.0,3.288675546646118,104,0.004262180460040899,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0074956417083740234,104
0.11740667956355905,1.0,5.803119897842407,208,0.0013926095005685757,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.006995439529418945,207
0.10095594768335203,0.8,12.005950689315796,416,0.001409489025781141,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.005454301834106445,416
0.2942983461036719,0.8,0.7939822673797607,26,0.054040920033738615,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.0074002742767333984,26
0.2190833106831596,1.0,1.6022632122039795,52,0.012468412693619146,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.0075719356536865234,52
0.20120493200819112,1.0,3.030223846435547,104,0.004384146221400431,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.007377147674560547,104
0.09528364864373026,1.0,6.046827793121338,208,0.001500582385050353,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.0066301822662353516,206
0.09281844695678944,1.0,11.547415733337402,416,0.0013030283155908706,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.009163618087768555,416
0.3473483105912929,0.8,0.8044006824493408,26,0.04728830872958789,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.00711369514465332,26
0.21057345652364723,0.8,1.529674768447876,52,0.010345898773491402,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,16,0.007361888885498047,52
0.08977241648813478,1.0,3.019008159637451,104,0.0035231733176225855,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,32,0.0069463253021240234,104
0.10779093889168864,1.0,5.926530122756958,208,0.0016342062986717254,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,64,0.010992288589477539,208
0.05541494678078541,1.0,12.328042030334473,416,0.000819435770904986,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,128,0.005225658416748047,416
0.37995480456952313,0.8,0.701190710067749,26,0.05096892178966317,sage,permutation,kernel_thinning,stratified,Not needed,Not needed,Not needed,8,0.006987333297729492,26
