mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.01173141126381137,0.8932128906250001,11985.633098602295,16,0.04233655926061419,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,16,0.19011807441711426,16
0.009625237968293093,0.9128417968750001,24120.221310138702,32,0.023107123894188786,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.0641319751739502,32
0.006960545558495907,0.9383789062500001,47340.2783036232,64,0.013463953765071424,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.2678799629211426,64
0.005081209237601786,0.94990234375,94958.44201231003,128,0.006743928230383833,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.3403141498565674,128
0.004460343903789865,0.9548339843750001,195829.7120862007,256,0.004155035502159898,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,0.935166597366333,256
0.011730515886381727,0.8927246093750001,12718.491905450821,16,0.04233655926061419,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,16,0.04089522361755371,16
0.009608473826139167,0.9130859375000001,25814.88157725334,32,0.023107123894188786,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.06401276588439941,32
0.00696140670107928,0.9392578125000001,49414.84864807129,64,0.013463953765071424,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.1252913475036621,64
0.005049661339713666,0.9517089843750001,99379.47588038445,128,0.006743928230383833,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.2647707462310791,128
0.004434535819368009,0.9564453125000001,198427.81541609764,256,0.004155035502159898,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,0.6134765148162842,256
0.011710937940431555,0.8923828125000002,12939.689373970032,16,0.04233655926061419,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,16,0.04136061668395996,16
0.009626739086726895,0.9149414062500001,25245.890866994858,32,0.023107123894188786,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.0779726505279541,32
0.0069494736829519375,0.9381347656250001,50549.40847635269,64,0.013463953765071424,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.15352845191955566,64
0.0050779965976608145,0.95087890625,101351.96495604515,128,0.006743928230383833,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.3485684394836426,128
0.004436412866145517,0.9552734375,200604.022824049,256,0.004155035502159898,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,0.5915143489837646,256
0.011704756508583332,0.892822265625,14336.577528476715,16,0.04233655926061419,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,16,0.037174224853515625,16
0.009614561097027671,0.913037109375,27334.756392478943,32,0.023107123894188786,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.06622314453125,32
0.006978371214086034,0.938916015625,52860.85425782204,64,0.013463953765071424,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.154144287109375,64
0.005069236710579585,0.951611328125,101067.55912518501,128,0.006743928230383833,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,128,0.24936676025390625,128
0.004441148639343981,0.9552246093750001,204167.1925535202,256,0.004155035502159898,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,256,0.49056339263916016,256
0.011706171612663904,0.8934570312500001,13214.258976459503,16,0.04233655926061419,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,16,0.08036994934082031,16
0.009619216323895702,0.913037109375,26185.905304193497,32,0.023107123894188786,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,32,0.06773710250854492,32
0.006960784534749834,0.9393554687500001,51920.10297584534,64,0.013463953765071424,shap,kernel,stein_thinning,none,Not needed,Not needed,Not needed,64,0.12322306632995605,64
