mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.05257191750850197,0.8151593453919036,214.91592645645142,8,0.09058913310303157,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,60.35997414588928,1
0.03373314838408416,0.8457077232271032,369.1560516357422,16,0.03719091873410807,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,44.581461906433105,1
0.023161112088411727,0.9183462532299743,711.1617231369019,32,0.018162262161748266,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,44.757574796676636,1
0.020289567980400037,0.9032443296009187,1446.4997086524963,64,0.016052595260196312,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,60.139297008514404,1
0.012485081542143225,0.946712604076945,2859.858878850937,128,0.008003707001992377,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,60.69743609428406,1
0.06174644834736464,0.6749354005167958,211.73448276519775,8,0.1654955386071793,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,43.9377818107605,1
0.04521105970234389,0.8237151880562733,366.57770347595215,16,0.051352229059118404,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,44.565229177474976,1
0.03120948393078316,0.8635084697100202,714.2411527633667,32,0.023394970326001463,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,44.5047070980072,1
0.012537124248784176,0.9380993396497272,1447.164615392685,64,0.011849177869293182,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,44.90197777748108,1
0.011632531770423003,0.9444157335630206,2857.8779470920563,128,0.00597260896499785,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,44.2883939743042,1
0.03954658759403113,0.801435544071203,207.2894742488861,8,0.08148310741868431,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,60.382160902023315,1
0.03530855515767847,0.8605225380419179,369.842271566391,16,0.052990538176802326,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,44.80436325073242,1
0.02128791094649739,0.9159919609532012,714.2413568496704,32,0.02068870539573947,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,60.46184253692627,1
0.017285777028734618,0.9162216480045937,1446.812975883484,64,0.012880677060124301,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,44.41368341445923,1
0.014997165343268205,0.9362044214757393,2857.112748146057,128,0.009892895062328655,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,60.20981168746948,1
0.04077335854087217,0.7936836060867071,208.1100742816925,8,0.07521357137245832,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,8,44.86359357833862,1
