mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.009061053753267543,0.5275911570485213,1804.5022563934326,8,0.05719230105633122,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.016856908798217773,8
0.007308159550595013,0.5866781510192363,2880.0314524173737,16,0.048504085557641075,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.024033546447753906,16
0.0065071560531682416,0.7069193224231983,5049.051367998123,32,0.028414200052875982,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.05791139602661133,32
0.0049928251699300555,0.7745621590582832,9630.638379573822,64,0.01881719916991792,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.09713029861450195,64
0.0050932680033667355,0.7725523973585989,18193.966576099396,128,0.014482607938163028,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.19359111785888672,128
0.009050878847201183,0.5260407694516221,1863.7521674633026,8,0.05719230105633122,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.015060186386108398,8
0.007310961379951428,0.5872523686477175,2988.1513125896454,16,0.048504085557641075,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.025718212127685547,16
0.006505758874234496,0.7068619006603502,5382.824086904526,32,0.028414200052875982,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.04956674575805664,32
0.004987431455873199,0.7746195808211314,9959.069948911667,64,0.01881719916991792,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.09540367126464844,64
0.005092819465491094,0.7733563020384726,19136.116163253784,128,0.014482607938163028,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.26380157470703125,128
0.009053945375112765,0.5271317829457365,1922.1446166038513,8,0.05719230105633122,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.01432490348815918,8
0.0073070521420895785,0.5887453344817686,3067.8529608249664,16,0.048504085557641075,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.026499509811401367,16
0.006501343287638136,0.707206431237439,5353.672181367874,32,0.028414200052875982,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.10230469703674316,32
0.0049843604536103075,0.7754234855010049,9941.847069501877,64,0.01881719916991792,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.345689058303833,64
0.005099810025985308,0.7741602067183462,19137.269612789154,128,0.014482607938163028,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.365842342376709,128
0.009059389657388773,0.527361469997129,1930.80477976799,8,0.05719230105633122,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.01434779167175293,8
0.0073131912313898605,0.5880562733275911,3096.0888464450836,16,0.048504085557641075,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.05142045021057129,16
0.0065104395875339146,0.7055412001148434,5389.353455066681,32,0.028414200052875982,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.1398606300354004,32
0.004993385294819992,0.775480907263853,10005.432908773422,64,0.01881719916991792,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.18021178245544434,64
0.005094333470727479,0.7742750502440425,19080.143808603287,128,0.014482607938163028,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.24832463264465332,128
0.009053824916982893,0.5270743611828883,1912.436688899994,8,0.05719230105633122,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.016609907150268555,8
0.007308781330195019,0.5872523686477173,3062.5278704166412,16,0.048504085557641075,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.030147790908813477,16
0.006510808562058026,0.707206431237439,5352.683563709259,32,0.028414200052875982,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.048935890197753906,32
0.004989793869919343,0.7728969279356876,10650.908844470978,64,0.01881719916991792,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.09778761863708496,64
0.005095234267859751,0.7746770025839793,20569.320596933365,128,0.014482607938163028,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.2041327953338623,128
0.009049467241898606,0.5271317829457365,2069.949351787567,8,0.05719230105633122,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.023220300674438477,8
0.007313568890067534,0.5869078380706287,3291.9636051654816,16,0.048504085557641075,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.02918243408203125,16
0.006510436886429716,0.7055986218776916,5770.731228113174,32,0.028414200052875982,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.053540945053100586,32
0.004983282743565366,0.7738730979041056,10690.045382022858,64,0.01881719916991792,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.16469931602478027,64
0.005092818782936149,0.7750215331610679,19839.004206180573,128,0.014482607938163028,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.19458460807800293,128
0.009054850138037305,0.5281079529141545,1928.3342940807343,8,0.05719230105633122,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.01346278190612793,8
0.007306110119906771,0.5872523686477175,3095.4342510700226,16,0.048504085557641075,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.023050308227539062,16
0.006501556710821013,0.7065747918461097,5472.263509988785,32,0.028414200052875982,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.04758429527282715,32
0.004991424502111729,0.7746195808211312,10193.233609676361,64,0.01881719916991792,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.08951854705810547,64
0.005102197768862246,0.7735859890898651,20693.212133169174,128,0.014482607938163028,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.36167311668395996,128
0.009053410659111142,0.5266724088429515,2083.158764362335,8,0.05719230105633122,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.07762980461120605,8
0.007310219755972955,0.5861039333907551,3312.603764772415,16,0.048504085557641075,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.02499222755432129,16
0.006505858491108288,0.7073212747631352,5787.897794961929,32,0.028414200052875982,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.04678797721862793,32
0.0049875893787784155,0.7751363766867644,10788.201677322388,64,0.01881719916991792,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.27521610260009766,64
0.005091865992773404,0.77404536319265,20726.47861433029,128,0.014482607938163028,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.1985020637512207,128
0.009057062889418821,0.5270169394200402,2078.0420825481415,8,0.05719230105633122,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.02875971794128418,8
0.007309022603021059,0.587022681596325,3323.8075275421143,16,0.048504085557641075,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.024572134017944336,16
0.006511182881052795,0.7061728395061728,5791.179855585098,32,0.028414200052875982,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.04737567901611328,32
0.004989336565092623,0.7733563020384726,10777.841482162476,64,0.01881719916991792,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.09392952919006348,64
0.005090779095571241,0.7720930232558139,20702.858717918396,128,0.014482607938163028,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.21338987350463867,128
0.009053302282021664,0.5273040482342808,2079.292094230652,8,0.05719230105633122,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.025121688842773438,8
0.007311499016451082,0.5867929945449325,3322.6686642169952,16,0.048504085557641075,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.02417755126953125,16
0.00650991524759142,0.7064599483204134,5816.8740203380585,32,0.028414200052875982,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.050629377365112305,32
0.004986143045752687,0.7739305196669537,10796.817263364792,64,0.01881719916991792,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.10001540184020996,64
0.005093430612427204,0.7732414585127764,20758.523453235626,128,0.014482607938163028,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.3613901138305664,128
