mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.044024826882877274,0.8837131367292225,322.96458196640015,8,0.002984411148025612,shap,kernel,kernel_thinning,gaussian,4,32,8.0,0.010033845901489258,8
0.017877420092301914,0.939343163538874,534.0560190677643,16,0.0013098600305080366,shap,kernel,kernel_thinning,gaussian,4,32,16.0,0.009744882583618164,14
0.012846115470602985,0.9380697050938339,954.982048034668,32,0.0006247998012828271,shap,kernel,kernel_thinning,gaussian,4,32,32.0,0.009573936462402344,30
0.0107180526125836,0.9522117962466489,1745.7026171684265,64,0.0007642663318476739,shap,kernel,kernel_thinning,gaussian,4,32,64.0,0.009761810302734375,58
0.008664274751804767,0.9609919571045578,3360.275438785553,128,0.0006288689941026382,shap,kernel,kernel_thinning,gaussian,4,32,128.0,0.00994563102722168,99
0.499717976464267,0.7735924932975871,312.9181249141693,8,0.6511594336452741,shap,kernel,kernel_thinning,sobolev,4,32,8.0,0.01935601234436035,1
0.4996799973313363,0.7736595174262735,512.0237619876862,16,0.6511594336452741,shap,kernel,kernel_thinning,sobolev,4,32,16.0,0.01835322380065918,1
0.4996464306817965,0.7734584450402144,908.2534379959106,32,0.6511594336452742,shap,kernel,kernel_thinning,sobolev,4,32,32.0,0.018343448638916016,1
0.4996867254528741,0.7736595174262733,1689.0209019184113,64,0.6511594336452741,shap,kernel,kernel_thinning,sobolev,4,32,64.0,0.018300533294677734,1
0.4997549683836805,0.7734584450402144,3301.431056499481,128,0.6511594336452741,shap,kernel,kernel_thinning,sobolev,4,32,128.0,0.018074989318847656,1
0.043439086188723726,0.8935656836461127,321.7300977706909,8,0.002982937230869287,shap,kernel,kernel_thinning,inverse_multiquadric,4,32,8.0,0.008607864379882812,7
0.017698987174681664,0.9370643431635388,526.014945268631,16,0.0013884233298823156,shap,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.008729696273803711,15
0.015237385702033897,0.940549597855228,924.9180538654327,32,0.0009509423158078345,shap,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.00880742073059082,31
0.01497984095124296,0.9579088471849866,1736.028154373169,64,0.0008481916139855272,shap,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.019992589950561523,51
0.010392350134962425,0.9561662198391421,3358.462165117264,128,0.0006734051823639176,shap,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.01183319091796875,99
0.029068966615147802,0.8910857908847185,322.7151050567627,8,0.007095502035939116,shap,kernel,kernel_thinning,matern,4,32,8.0,0.014493703842163086,8
0.013916124940061789,0.946514745308311,534.8641030788422,16,0.00117786560859523,shap,kernel,kernel_thinning,matern,4,32,16.0,0.012427091598510742,16
0.0142645513147813,0.9563002680965147,936.4798352718353,32,0.0012726548618720024,shap,kernel,kernel_thinning,matern,4,32,32.0,0.012746334075927734,32
0.012743241779388174,0.9565683646112599,1793.1481447219849,64,0.000822799846166844,shap,kernel,kernel_thinning,matern,4,32,64.0,0.012598991394042969,64
0.00919130635348773,0.9628686327077748,3437.2155861854553,128,0.0006532601712260222,shap,kernel,kernel_thinning,matern,4,32,128.0,0.012680768966674805,128
0.04401392509214845,0.8827077747989276,315.07374477386475,8,0.002984411148025612,shap,kernel,kernel_thinning,gaussian,4,32,8.0,0.016971826553344727,8
0.01784317736672218,0.9412868632707776,524.1916282176971,16,0.0013098600305080366,shap,kernel,kernel_thinning,gaussian,4,32,16.0,0.010015249252319336,14
0.009130249214392417,0.9632707774798928,931.3015923500061,32,0.0005646371632315184,shap,kernel,kernel_thinning,gaussian,4,32,32.0,0.009885787963867188,32
0.009356633294893321,0.9623324396782843,1745.6060092449188,64,0.0006832888010733784,shap,kernel,kernel_thinning,gaussian,4,32,64.0,0.00973367691040039,55
0.011499409122389432,0.9539544235924934,3327.1094608306885,128,0.0006253808304532704,shap,kernel,kernel_thinning,gaussian,4,32,128.0,0.009769678115844727,111
0.49967644940242334,0.7734584450402144,312.5466673374176,8,0.6511594336452741,shap,kernel,kernel_thinning,sobolev,4,32,8.0,0.018253087997436523,1
0.49964162163683923,0.7733914209115282,505.9691677093506,16,0.6511594336452741,shap,kernel,kernel_thinning,sobolev,4,32,16.0,0.01776266098022461,1
0.332693615971316,0.8489276139410187,912.7472615242004,32,1.074449636064191,shap,kernel,kernel_thinning,sobolev,4,32,32.0,0.01810312271118164,1
0.49968671941306053,0.7737265415549597,1695.793298959732,64,0.6511594336452741,shap,kernel,kernel_thinning,sobolev,4,32,64.0,0.018158435821533203,1
0.4996914351566257,0.7738605898123324,3284.128063440323,128,0.6511594336452741,shap,kernel,kernel_thinning,sobolev,4,32,128.0,0.019260168075561523,1
0.04341298404985274,0.8971849865951742,321.5800700187683,8,0.002982937230869287,shap,kernel,kernel_thinning,inverse_multiquadric,4,32,8.0,0.010714292526245117,7
0.017687056467035413,0.9375335120643433,523.1594591140747,16,0.0013884233298823156,shap,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.008881092071533203,15
0.011710109765249836,0.950201072386059,920.321014881134,32,0.000529372987208232,shap,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.008702993392944336,28
0.010607390518453984,0.9591823056300269,1739.368330001831,64,0.0007174514456109726,shap,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.009015798568725586,54
0.009094070662537163,0.9644101876675604,3330.691227197647,128,0.0006893232160437579,shap,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.014768123626708984,101
0.029137205625909178,0.8908847184986596,321.3042633533478,8,0.007095502035939116,shap,kernel,kernel_thinning,matern,4,32,8.0,0.014296531677246094,8
0.013876433458452936,0.9464477211796246,517.2155470848083,16,0.00117786560859523,shap,kernel,kernel_thinning,matern,4,32,16.0,0.012832880020141602,16
0.011755647041585212,0.9473860589812333,917.5560717582703,32,0.0013525391894159133,shap,kernel,kernel_thinning,matern,4,32,32.0,0.01233673095703125,32
0.009121973398187428,0.9639410187667562,1724.824253320694,64,0.0006313156437716128,shap,kernel,kernel_thinning,matern,4,32,64.0,0.022470474243164062,64
0.009671206891459557,0.9611260053619303,3340.693085670471,128,0.000649874714101939,shap,kernel,kernel_thinning,matern,4,32,128.0,0.012494564056396484,128
0.039453292755835284,0.886662198391421,318.18043780326843,8,0.0030110133457494914,shap,kernel,kernel_thinning,gaussian,4,32,8.0,0.022623300552368164,8
0.01780339951970471,0.9410857908847184,519.0994656085968,16,0.0013098600305080366,shap,kernel,kernel_thinning,gaussian,4,32,16.0,0.009653806686401367,14
0.010697495342643625,0.9553619302949062,925.3436603546143,32,0.0005099697609388665,shap,kernel,kernel_thinning,gaussian,4,32,32.0,0.009727001190185547,29
0.009805523078378531,0.9674932975871313,1718.4982035160065,64,0.0007639879895855461,shap,kernel,kernel_thinning,gaussian,4,32,64.0,0.009639739990234375,54
0.010865770582166126,0.9569705093833781,3326.130448818207,128,0.0007301028523780673,shap,kernel,kernel_thinning,gaussian,4,32,128.0,0.010096549987792969,106
0.49960913114608074,0.7731233243967829,311.60470366477966,8,0.6511594336452741,shap,kernel,kernel_thinning,sobolev,4,32,8.0,0.019791603088378906,1
0.4996902392814017,0.7743297587131367,510.68859791755676,16,0.6511594336452741,shap,kernel,kernel_thinning,sobolev,4,32,16.0,0.017919063568115234,1
0.4997518432915347,0.7740616621983913,904.9423849582672,32,0.6511594336452742,shap,kernel,kernel_thinning,sobolev,4,32,32.0,0.017697811126708984,1
