mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.06424800400496153,0.8,6.689623117446899,8,0.6517386446718398,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.013861417770385742,5
0.03879404030996097,0.8,19.239225149154663,16,0.7287767647233885,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.019207239151000977,6
0.03180769438528866,0.8,25.05772590637207,32,0.5361542456830427,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.03633308410644531,15
0.023543672036147715,1.0,30.883373260498047,64,0.3898053766145969,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.13236212730407715,28
0.018057430096148554,1.0,78.34194946289062,128,0.37436380747691145,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.31511831283569336,47
0.05639209090757519,1.0,6.887280225753784,8,0.6517386446718398,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.00909423828125,5
0.045092620372973784,0.8,18.96258234977722,16,0.7287767647233885,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.02998185157775879,6
0.03449543671255554,0.8,24.610127925872803,32,0.5361542456830427,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.0932455062866211,15
0.02055452372160756,1.0,36.40162992477417,64,0.3898053766145969,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.07144355773925781,28
0.019800627734112803,1.0,75.315589427948,128,0.37436380747691145,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.1370537281036377,47
0.05429917445535047,1.0,6.444757461547852,8,0.6517386446718398,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.02430415153503418,5
0.04075033508633334,0.8,17.402323246002197,16,0.7287767647233885,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.02068352699279785,6
0.03320233231055898,0.8,24.281883716583252,32,0.5361542456830427,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.060799360275268555,15
0.02221596383014482,1.0,45.85108208656311,64,0.3898053766145969,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.07187628746032715,28
0.024101386610904767,1.0,66.20791530609131,128,0.37436380747691145,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.23619794845581055,47
0.06136102605882575,1.0,4.872082948684692,8,0.6517386446718398,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.025076866149902344,5
0.04427834383352979,0.8,19.125073432922363,16,0.7287767647233885,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.018693208694458008,6
0.030211222900236718,1.0,30.516373872756958,32,0.5361542456830427,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.04918813705444336,15
0.020552811838978214,1.0,37.85918188095093,64,0.3898053766145969,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.1480410099029541,28
0.019384437478733356,1.0,77.95940494537354,128,0.37436380747691145,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.34783029556274414,47
0.06388466247701291,1.0,5.745371580123901,8,0.6517386446718398,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.03365135192871094,5
0.04047017270616338,0.8,23.346942901611328,16,0.7287767647233885,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.04600095748901367,6
0.035428765895958454,0.8,22.987361907958984,32,0.5361542456830427,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.034394025802612305,15
0.02239188665357671,1.0,39.26674747467041,64,0.3898053766145969,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.0693819522857666,28
0.023282313671017043,1.0,66.71951007843018,128,0.37436380747691145,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.1302180290222168,47
0.05440754713426011,0.8,7.3581178188323975,8,0.6517386446718398,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.009199380874633789,5
0.038225453515197245,0.8,24.449840307235718,16,0.7287767647233885,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.017154693603515625,6
0.028868619506061826,0.8,32.65588092803955,32,0.5361542456830427,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.03789472579956055,15
0.027203475230116077,1.0,37.739455223083496,64,0.3898053766145969,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.07213854789733887,28
0.025682186252486115,1.0,62.55971384048462,128,0.37436380747691145,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.14201807975769043,47
0.05818536692450923,1.0,5.995859146118164,8,0.6517386446718398,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.009267091751098633,5
0.05916225322846185,1.0,12.451093196868896,16,0.7287767647233885,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.046380043029785156,6
0.027461213588693658,0.8,32.372771978378296,32,0.5361542456830427,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.0393829345703125,15
0.026179915978112086,1.0,34.21859049797058,64,0.3898053766145969,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.07559633255004883,28
0.02319382759034268,1.0,66.90985584259033,128,0.37436380747691145,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.2573881149291992,47
0.05606771043603114,1.0,5.7750489711761475,8,0.6517386446718398,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.009621858596801758,5
0.041840938576745756,0.8,19.138717651367188,16,0.7287767647233885,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,16,0.06780171394348145,6
0.031425088666593756,0.8,35.02802658081055,32,0.5361542456830427,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,32,0.12243795394897461,15
0.02485781235803704,1.0,28.316611766815186,64,0.3898053766145969,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,64,0.06699132919311523,28
0.02622427559308203,1.0,62.78515124320984,128,0.37436380747691145,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,128,0.1934645175933838,47
0.06491648518876554,0.8,5.940568447113037,8,0.6517386446718398,sage,permutation,stein_thinning,Not needed,Not needed,Not needed,8,0.026415348052978516,5
