mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.35947911997618925,0.5585790884718499,1266.3297877311707,8,0.6517386446718398,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.017221689224243164,5
0.39531212456609416,0.5428954423592494,1858.6300075054169,16,0.7287767647233885,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.025574922561645508,6
0.3217206489996143,0.6222520107238606,3050.8099772930145,32,0.5361542456830427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03879976272583008,15
0.2578951494739462,0.7146112600536192,5381.685000181198,64,0.3898053766145969,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07316899299621582,28
0.25518156889879284,0.7191018766756033,10076.3356320858,128,0.37436380747691145,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.141920804977417,47
0.3594466064485848,0.5585790884718499,1266.989356994629,8,0.6517386446718398,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.012644290924072266,5
0.39531773457539765,0.5400804289544235,1863.560846567154,16,0.7287767647233885,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.03957366943359375,6
0.3215482927474198,0.6238605898123324,3048.391578912735,32,0.5361542456830427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.08426165580749512,15
0.2580468011403783,0.7177613941018768,5488.138194561005,64,0.3898053766145969,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.12095856666564941,28
0.2551823464347527,0.7184316353887399,10144.038943767548,128,0.37436380747691145,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.14484858512878418,47
0.35950369953274197,0.5585120643431635,1234.5265662670135,8,0.6517386446718398,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.013037681579589844,5
0.3953488766929389,0.5382707774798928,1810.370311498642,16,0.7287767647233885,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.02652263641357422,6
0.3217373576383627,0.6227211796246648,2954.1948137283325,32,0.5361542456830427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.047312259674072266,15
0.2579491344758106,0.7113941018766755,5249.735957145691,64,0.3898053766145969,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07318615913391113,28
0.25521023048497715,0.7168900804289544,9965.990263700485,128,0.37436380747691145,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.14470887184143066,47
0.3594720898035758,0.5589142091152816,1332.2061049938202,8,0.6517386446718398,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.011596918106079102,5
0.39532431556823766,0.5419571045576408,1944.7175397872925,16,0.7287767647233885,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.021342992782592773,6
0.32169385586894206,0.6236595174262735,3215.92156791687,32,0.5361542456830427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.07362174987792969,15
0.2578791922647167,0.7174262734584451,5507.138120651245,64,0.3898053766145969,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07433366775512695,28
0.25520509133414504,0.7181635388739946,10117.092756271362,128,0.37436380747691145,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.18129658699035645,47
0.3593335607250596,0.5619973190348525,1250.2849054336548,8,0.6517386446718398,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.014267921447753906,5
0.39511519413154483,0.5430965147453084,1860.4149808883667,16,0.7287767647233885,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.023150920867919922,6
0.32184117594005696,0.6261394101876676,3020.7803525924683,32,0.5361542456830427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.0700232982635498,15
0.25792773657072265,0.7166219839142092,5291.5914397239685,64,0.3898053766145969,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.12465906143188477,28
0.2552513214903572,0.717225201072386,9813.762724637985,128,0.37436380747691145,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.2285759449005127,47
0.3595718787100145,0.5579088471849867,1229.8145892620087,8,0.6517386446718398,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.013363838195800781,5
0.39529881377987763,0.5450402144772118,1817.2973010540009,16,0.7287767647233885,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.020175933837890625,6
0.3216257707418561,0.6235924932975871,2964.295900583267,32,0.5361542456830427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.06563568115234375,15
0.25781402508817614,0.7173592493297585,5368.2136018276215,64,0.3898053766145969,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.12623023986816406,28
0.2551705275879994,0.71843163538874,10049.335448503494,128,0.37436380747691145,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.14866042137145996,47
0.3593667128212743,0.5587131367292225,1235.1008265018463,8,0.6517386446718398,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.011623382568359375,5
0.3952932620581638,0.5443029490616622,1810.530901670456,16,0.7287767647233885,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01995086669921875,6
0.3218069207606892,0.6219839142091153,3038.1368374824524,32,0.5361542456830427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.039945125579833984,15
0.2579617117711187,0.7176943699731904,5374.970576047897,64,0.3898053766145969,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.09443807601928711,28
0.2550864399496254,0.7197721179624665,9899.434314250946,128,0.37436380747691145,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.1414482593536377,47
0.3596732992668242,0.5540214477211796,1236.7146961688995,8,0.6517386446718398,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010408639907836914,5
0.39517375496064044,0.5421581769436998,1849.2448463439941,16,0.7287767647233885,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01902914047241211,6
0.3217838758469556,0.6207104557640751,2955.473567724228,32,0.5361542456830427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.036530256271362305,15
0.2579442870609497,0.7190348525469167,5289.785131692886,64,0.3898053766145969,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07233119010925293,28
0.2551640435478138,0.7197050938337801,9890.400703668594,128,0.37436380747691145,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.15916919708251953,47
0.35961156683967704,0.5585790884718499,1239.9288892745972,8,0.6517386446718398,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.020358562469482422,5
0.3952075504517005,0.5414879356568364,1845.4093594551086,16,0.7287767647233885,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.044751644134521484,6
0.3217384136398064,0.6208445040214476,2978.101502418518,32,0.5361542456830427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.04800271987915039,15
0.2578348835477865,0.7164879356568364,5263.92388176918,64,0.3898053766145969,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07803010940551758,28
0.2552057935007665,0.7177613941018768,9835.796820640564,128,0.37436380747691145,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.2821512222290039,47
0.3595698207652833,0.5584450402144773,1223.0014247894287,8,0.6517386446718398,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.024036645889282227,5
0.3952428028648526,0.543029490616622,1840.865442276001,16,0.7287767647233885,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.023026466369628906,6
0.3217471891673068,0.6205764075067024,3096.2234444618225,32,0.5361542456830427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03805279731750488,15
0.25773283655815465,0.7202412868632707,5442.367072105408,64,0.3898053766145969,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.09462904930114746,28
0.25516056069150506,0.7176943699731904,9886.630451440811,128,0.37436380747691145,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.18471765518188477,47
